salary_id,employee_id,salary_amount,currency,effective_date,bonus_amount,pay_frequency,exchange_rate_to_usd,salary_amount_usd,bonus_amount_usd,annual_salary_usd,salary_band
500080,100030,123438.35,USD,2021-11-05,5771.4,Monthly,1.0,123438.35,5771.4,123438.35,Executive
500081,100031,24943.34,USD,2026-02-26,3005.45,Annual,1.0,24943.34,3005.45,24943.34,Low
500082,100032,71505.87,USD,2017-09-23,12361.99,Annual,1.0,71505.87,12361.99,71505.87,High
500083,100032,73536.33,USD,2018-02-08,9849.09,Monthly,1.0,73536.33,9849.09,73536.33,High
500084,100032,76178.0,USD,2018-12-19,2203.34,Annual,1.0,76178.0,2203.34,76178.0,High
500085,100033,40135.79,JOD,2016-04-13,6805.14,Annual,1.41,56591.46,9595.25,56591.46,Medium
500086,100033,43256.64,USD,2018-05-25,5110.04,Monthly,1.0,43256.64,5110.04,43256.64,Medium
500087,100033,44430.51,USD,2024-03-07,6490.53,Annual,1.0,44430.51,6490.53,44430.51,Medium
500088,100033,46470.35,USD,2024-04-11,1966.76,Annual,1.0,46470.35,1966.76,46470.35,Medium
500089,100034,38229.76,USD,2019-06-19,5172.79,Monthly,1.0,38229.76,5172.79,38229.76,Medium
500090,100034,39710.57,USD,2020-07-07,2674.48,Annual,1.0,39710.57,2674.48,39710.57,Medium
500091,100034,40969.04,USD,2020-07-12,1182.22,Annual,1.0,40969.04,1182.22,40969.04,Medium
500092,100034,44525.11,USD,2021-02-14,5853.1,Monthly,1.0,44525.11,5853.1,44525.11,Medium
500093,100034,47109.16,USD,2021-08-28,3485.6,Annual,1.0,47109.16,3485.6,47109.16,Medium
500094,100035,3886.41,USD,2023-10-09,0.0,Annual,1.0,,0.0,,Unknown
500095,100035,4106.25,USD,2024-04-22,0.0,Annual,1.0,,0.0,,Unknown
500096,100036,19355.17,JOD,2023-06-26,0.0,Annual,1.41,27290.79,0.0,27290.79,Low
500097,100036,20253.54,USD,2024-07-03,0.0,Annual,1.0,20253.54,0.0,20253.54,Low
500098,100036,21667.93,USD,2024-08-19,0.0,Monthly,1.0,21667.93,0.0,21667.93,Low
500099,100037,43443.42,USD,2017-11-11,5592.51,Annual,1.0,43443.42,5592.51,43443.42,Medium
500100,100037,46947.64,USD,2021-07-28,4685.51,Annual,1.0,46947.64,4685.51,46947.64,Medium
500101,100037,51308.17,USD,2023-11-16,2691.34,Annual,1.0,51308.17,2691.34,51308.17,Medium
500102,100037,53081.88,USD,2024-08-06,3673.94,Annual,1.0,53081.88,3673.94,53081.88,Medium
500103,100037,54941.93,USD,2025-12-12,3284.07,Annual,1.0,54941.93,3284.07,54941.93,Medium
500104,100038,12886.46,USD,2021-07-02,0.0,Annual,1.0,12886.46,0.0,12886.46,Low
500105,100039,22669.1,USD,2017-03-20,1724.75,Annual,1.0,22669.1,1724.75,22669.1,Low
500106,100039,23852.9,USD,2017-07-19,3835.93,Monthly,1.0,23852.9,3835.93,23852.9,Low
500107,100039,24835.72,INR,2017-08-24,3017.0,Monthly,0.012,,36.2,,Unknown
500108,100040,22655.44,USD,2022-06-08,0.0,Annual,1.0,22655.44,0.0,22655.44,Low
500109,100040,23927.48,USD,2023-04-11,0.0,Annual,1.0,23927.48,0.0,23927.48,Low
500110,100041,24456.0,USD,2024-04-06,616.84,Annual,1.0,24456.0,616.84,24456.0,Low
500111,100041,26560.1,USD,2025-10-03,2395.21,Annual,1.0,26560.1,2395.21,26560.1,Low
500112,100042,30057.57,USD,2020-12-08,0.0,Annual,1.0,30057.57,0.0,30057.57,Medium
500113,100042,30988.68,USD,2022-07-07,0.0,Annual,1.0,30988.68,0.0,30988.68,Medium
500114,100043,43000.0,USD,2019-06-29,4373.7,Annual,1.0,43000.0,4373.7,43000.0,Medium
500115,100044,29548.38,USD,2026-03-14,4280.61,Annual,1.0,29548.38,4280.61,29548.38,Low
500116,100045,30893.77,USD,2025-12-29,1598.41,Annual,1.0,30893.77,1598.41,30893.77,Medium
500117,100046,31966.01,USD,2022-09-18,1442.21,Annual,1.0,31966.01,1442.21,31966.01,Medium
500118,100046,33280.96,USD,2024-04-08,693.93,Annual,1.0,33280.96,693.93,33280.96,Medium
500119,100046,35035.91,JOD,2025-04-27,1538.92,Annual,1.41,49400.63,2169.88,49400.63,Medium
500120,100046,36791.09,USD,2026-02-15,2986.59,Annual,1.0,36791.09,2986.59,36791.09,Medium
500121,100047,21877.17,INR,2022-04-23,0.0,Monthly,0.012,,0.0,,Unknown
500122,100047,22496.88,USD,2022-10-15,0.0,Annual,1.0,22496.88,0.0,22496.88,Low
500123,100047,,USD,2025-09-12,0.0,Monthly,1.0,,0.0,,Unknown
500124,100047,24506.64,USD,2026-02-17,0.0,Annual,1.0,24506.64,0.0,24506.64,Low
500125,100047,25493.11,JOD,2026-03-15,0.0,Monthly,1.41,35945.29,0.0,35945.29,Medium
500126,100048,19752.23,EGP,2025-08-03,0.0,Annual,0.021,,0.0,,Unknown
500127,100048,21328.1,USD,2025-08-24,0.0,Annual,1.0,21328.1,0.0,21328.1,Low
500128,100049,69993.81,USD,2025-09-20,2582.61,Annual,1.0,69993.81,2582.61,69993.81,Medium
500129,100049,74522.89,JOD,2025-10-09,9000.0,Annual,1.41,105077.27,12690.0,105077.27,High
500130,100050,11550.2,USD,2018-10-28,0.0,Annual,1.0,11550.2,0.0,11550.2,Low
500131,100051,130360.0,USD,2024-11-21,22659.56,Annual,1.0,130360.0,22659.56,130360.0,Executive
500132,100051,141977.55,USD,2026-03-15,17126.54,Annual,1.0,141977.55,17126.54,141977.55,Executive
500133,100052,36939.02,USD,2022-10-27,1499.92,Monthly,1.0,36939.02,1499.92,36939.02,Medium
500134,100053,67757.94,USD,2019-09-05,12184.28,Monthly,1.0,67757.94,12184.28,67757.94,Medium
500135,100054,19603.23,USD,2024-03-24,0.0,Annual,1.0,19603.23,0.0,19603.23,Low
500136,100055,150562.16,USD,2019-11-02,18664.16,Monthly,1.0,150562.16,18664.16,150562.16,Executive
500137,100055,156634.93,USD,2021-04-01,24157.55,Annual,1.0,156634.93,24157.55,156634.93,Executive
500138,100056,6652.5,USD,2020-07-08,7886.44,Annual,1.0,6652.5,7886.44,6652.5,Low
500139,100056,7265.19,USD,2021-04-04,536.91,Annual,1.0,7265.19,536.91,7265.19,Low
500140,100056,7532.54,USD,2023-10-26,804.95,Annual,1.0,7532.54,804.95,7532.54,Low
500141,100057,96186.82,USD,2026-02-03,11381.69,Annual,1.0,96186.82,11381.69,96186.82,High
500142,100058,34271.74,USD,2018-08-20,3714.35,Annual,1.0,34271.74,3714.35,34271.74,Medium
500143,100058,35657.33,INR,2021-07-01,2930.3,Annual,0.012,,35.16,,Unknown
500144,100058,37119.62,USD,2023-08-02,4561.06,Monthly,1.0,37119.62,4561.06,37119.62,Medium
500145,100058,39175.94,USD,2025-12-24,1187.97,Annual,1.0,39175.94,1187.97,39175.94,Medium
500146,100059,51000.0,USD,2025-05-25,5034.76,Annual,1.0,51000.0,5034.76,51000.0,Medium
500147,100059,55542.42,USD,2025-07-03,1963.35,Annual,1.0,55542.42,1963.35,55542.42,Medium
500148,100059,59728.04,USD,2025-11-27,6914.73,Annual,1.0,59728.04,6914.73,59728.04,Medium
500149,100060,13390.75,USD,2022-08-22,0.0,Annual,1.0,13390.75,0.0,13390.75,Low
500150,100060,14246.58,EGP,2024-01-06,0.0,Annual,0.021,,0.0,,Unknown
500151,100060,74126.43,USD,2025-11-10,0.0,Annual,1.0,74126.43,0.0,74126.43,High
500152,100060,77814.81,USD,2026-02-09,0.0,Annual,1.0,77814.81,0.0,77814.81,High
500153,100060,81624.83,USD,2026-03-25,0.0,Annual,1.0,81624.83,0.0,81624.83,High
500154,100061,18332.68,USD,2014-09-07,0.0,Annual,1.0,18332.68,0.0,18332.68,Low
500155,100061,19296.99,USD,2016-02-02,0.0,Monthly,1.0,19296.99,0.0,19296.99,Low
500156,100061,20310.64,USD,2017-01-04,0.0,Annual,1.0,20310.64,0.0,20310.64,Low
500157,100061,21576.5,JOD,2018-06-04,0.0,Annual,1.41,30422.86,0.0,30422.86,Medium
500158,100062,19377.12,INR,2020-01-20,0.0,Annual,0.012,,0.0,,Unknown
500159,100062,20659.55,AED,2020-03-14,0.0,Monthly,0.27,5578.08,0.0,5578.08,Low
500160,100062,21411.12,USD,2021-06-29,0.0,Annual,1.0,21411.12,0.0,21411.12,Low
500161,100062,,USD,2022-01-14,0.0,Annual,1.0,,0.0,,Unknown
500162,100062,,USD,2022-04-15,0.0,Monthly,1.0,,0.0,,Unknown
500163,100063,70388.0,USD,2020-04-01,9443.59,Annual,1.0,70388.0,9443.59,70388.0,High
500164,100063,,USD,2023-01-20,4623.13,Annual,1.0,,4623.13,,Unknown
500165,100063,78053.46,USD,2023-08-19,10242.85,Annual,1.0,78053.46,10242.85,78053.46,High
500166,100063,82050.93,USD,2025-06-16,8325.97,Annual,1.0,82050.93,8325.97,82050.93,High
500167,100064,51123.03,EGP,2015-07-02,3856.41,Annual,0.021,,80.98,,Unknown
500168,100065,21458.31,USD,2026-04-26,0.0,Annual,1.0,21458.31,0.0,21458.31,Low
500169,100066,20583.57,USD,2015-03-31,0.0,Annual,1.0,20583.57,0.0,20583.57,Low
500170,100066,22382.5,USD,2015-06-21,0.0,Annual,1.0,22382.5,0.0,22382.5,Low
500171,100066,23172.13,USD,2016-01-23,0.0,Annual,1.0,23172.13,0.0,23172.13,Low
500172,100066,24739.6,USD,2017-09-16,0.0,Annual,1.0,24739.6,0.0,24739.6,Low
500173,100066,25534.33,USD,2017-11-22,0.0,Annual,1.0,25534.33,0.0,25534.33,Low
500174,100067,,USD,2023-04-24,0.0,Annual,1.0,,0.0,,Unknown
500175,100067,13970.38,USD,2023-07-05,0.0,Annual,1.0,13970.38,0.0,13970.38,Low
500176,100067,14461.88,USD,2023-09-20,0.0,Annual,1.0,14461.88,0.0,14461.88,Low
500177,100067,15138.02,USD,2023-12-09,0.0,Annual,1.0,15138.02,0.0,15138.02,Low
500178,100067,16397.18,USD,2025-04-07,0.0,Annual,1.0,16397.18,0.0,16397.18,Low
500179,100068,25778.0,USD,2021-07-10,0.0,Annual,1.0,25778.0,0.0,25778.0,Low
500180,100068,27696.85,USD,2022-02-09,0.0,Annual,1.0,27696.85,0.0,27696.85,Low
500181,100068,28536.03,USD,2025-04-03,0.0,Annual,1.0,28536.03,0.0,28536.03,Low
500182,100069,114236.07,USD,2020-10-30,5695.79,Annual,1.0,114236.07,5695.79,114236.07,High
500183,100069,117791.93,USD,2024-04-10,13394.59,Monthly,1.0,117791.93,13394.59,117791.93,High
500184,100069,,USD,2025-07-29,20724.17,Annual,1.0,,20724.17,,Unknown
500185,100070,18384.09,USD,2017-09-11,0.0,Annual,1.0,18384.09,0.0,18384.09,Low
500186,100070,19596.93,USD,2018-02-27,0.0,Annual,1.0,19596.93,0.0,19596.93,Low
500187,100070,21255.71,USD,2018-06-26,0.0,Annual,1.0,21255.71,0.0,21255.71,Low
500188,100071,61607.05,USD,2023-06-23,6760.15,Annual,1.0,61607.05,6760.15,61607.05,Medium
500189,100071,66577.04,USD,2025-04-10,3147.35,Annual,1.0,66577.04,3147.35,66577.04,Medium
500190,100071,71216.97,USD,,2721.8,Annual,1.0,71216.97,2721.8,71216.97,High
500191,100072,40000.0,USD,2021-07-17,7149.33,Monthly,1.0,40000.0,7149.33,40000.0,Medium
500192,100072,42000.0,USD,2022-01-03,4782.99,Annual,1.0,42000.0,4782.99,42000.0,Medium
500193,100072,45141.41,USD,2023-03-12,5956.64,Annual,1.0,45141.41,5956.64,45141.41,Medium
500194,100073,95000.0,EGP,2026-02-22,11764.4,Monthly,0.021,,247.05,,Unknown
500195,100074,14234.52,USD,2014-11-21,0.0,Annual,1.0,14234.52,0.0,14234.52,Low
500196,100074,1816.56,JOD,2015-08-09,0.0,Annual,1.41,,0.0,,Unknown
500197,100074,1964.68,AED,2017-05-18,0.0,Annual,0.27,,0.0,,Unknown
500198,100074,2111.0,USD,2019-03-04,0.0,Annual,1.0,,0.0,,Unknown
500199,100075,34081.0,USD,2019-01-19,5668.33,Annual,1.0,34081.0,5668.33,34081.0,Medium
500200,100075,37071.96,USD,2022-02-01,782.25,Annual,1.0,37071.96,782.25,37071.96,Medium
500201,100075,39862.05,AED,2022-04-30,5498.62,Annual,0.27,10762.75,1484.63,10762.75,Low
500202,100075,42582.3,USD,2022-12-21,7088.16,Annual,1.0,42582.3,7088.16,42582.3,Medium
500203,100075,45580.41,USD,2026-03-12,5816.97,Annual,1.0,45580.41,5816.97,45580.41,Medium
500204,100076,30547.35,USD,2024-12-05,0.0,Annual,1.0,30547.35,0.0,30547.35,Medium
500205,100076,32435.0,USD,2024-12-23,0.0,Annual,1.0,32435.0,0.0,32435.0,Medium
500206,100076,34461.28,USD,2025-01-30,0.0,Annual,1.0,34461.28,0.0,34461.28,Medium
500207,100077,12707.03,USD,2022-01-09,0.0,Annual,1.0,12707.03,0.0,12707.03,Low
500208,100077,13699.44,USD,2025-02-05,0.0,Monthly,1.0,13699.44,0.0,13699.44,Low
500209,100077,15000.0,JOD,2025-11-16,0.0,Annual,1.41,21150.0,0.0,21150.0,Low
500210,100077,15437.71,AED,2026-02-21,0.0,Annual,0.27,,0.0,,Unknown
500211,100078,98649.0,USD,2019-08-20,11694.01,Annual,1.0,98649.0,11694.01,98649.0,High
500212,100078,105887.5,USD,2022-07-04,,Annual,1.0,105887.5,,105887.5,High
500213,100078,112083.55,USD,2024-11-30,11523.9,Monthly,1.0,112083.55,11523.9,112083.55,High
500214,100078,121502.05,EGP,2026-03-29,4750.15,Monthly,0.021,,99.75,,Unknown
500215,100079,85619.92,USD,2025-09-15,6544.09,Annual,1.0,85619.92,6544.09,85619.92,High
500216,100079,89734.77,USD,2026-01-04,14691.57,Annual,1.0,89734.77,14691.57,89734.77,High
500217,100080,26192.16,USD,2025-01-10,0.0,Annual,1.0,26192.16,0.0,26192.16,Low
500218,100081,65857.13,USD,2024-01-05,9663.1,Annual,1.0,65857.13,9663.1,65857.13,Medium
500219,100081,68923.52,EGP,2025-04-26,12374.76,Annual,0.021,,259.87,,Unknown
500220,100081,74203.9,USD,2025-08-31,6535.52,Annual,1.0,74203.9,6535.52,74203.9,High
500221,100082,38855.6,USD,2019-10-04,2640.84,Annual,1.0,38855.6,2640.84,38855.6,Medium
500222,100082,41436.1,USD,2021-10-30,3083.29,Annual,1.0,41436.1,3083.29,41436.1,Medium
500223,100082,42559.3,USD,2022-06-23,5403.74,Annual,1.0,42559.3,5403.74,42559.3,Medium
500224,100082,43674.18,USD,2022-07-15,5728.38,Annual,1.0,43674.18,5728.38,43674.18,Medium
500225,100082,,USD,2025-01-04,5930.78,Annual,1.0,,5930.78,,Unknown
500226,100083,56478.1,USD,2016-06-20,9854.18,Annual,1.0,56478.1,9854.18,56478.1,Medium
500227,100083,59290.29,USD,2017-08-27,2333.14,Annual,1.0,59290.29,2333.14,59290.29,Medium
500228,100083,61457.39,USD,2018-01-01,4716.28,Annual,1.0,61457.39,4716.28,61457.39,Medium
500229,100083,63014.88,JOD,2018-06-15,3113.11,Annual,1.41,88850.98,4389.49,88850.98,High
500230,100084,36000.0,USD,2022-08-17,3846.83,Annual,1.0,36000.0,3846.83,36000.0,Medium
500231,100084,37408.16,EGP,2022-09-11,3866.15,Monthly,0.021,,81.19,,Unknown
500232,100085,30784.1,USD,2018-07-30,2874.99,Annual,1.0,30784.1,2874.99,30784.1,Medium
500233,100085,32126.72,USD,2025-12-20,3948.65,Monthly,1.0,32126.72,3948.65,32126.72,Medium
500234,100086,17595.6,INR,2019-07-14,0.0,Annual,0.012,,0.0,,Unknown
500235,100086,18325.63,USD,2022-07-21,0.0,Annual,1.0,18325.63,0.0,18325.63,Low
500236,100087,29000.0,USD,2018-05-13,1200.55,Annual,1.0,29000.0,1200.55,29000.0,Low
500237,100087,30048.69,USD,2019-03-26,2273.82,Annual,1.0,30048.69,2273.82,30048.69,Medium
500238,100087,31295.68,USD,2021-06-18,1603.02,Annual,1.0,31295.68,1603.02,31295.68,Medium
500239,100087,32848.16,USD,2024-11-17,4548.7,Monthly,1.0,32848.16,4548.7,32848.16,Medium
500240,100087,34559.23,USD,2025-04-14,3383.82,Annual,1.0,34559.23,3383.82,34559.23,Medium
500241,100088,109025.65,USD,2021-08-19,3892.73,Annual,1.0,109025.65,3892.73,109025.65,High
500242,100088,572940.64,JOD,2024-09-09,8788.04,Annual,1.41,807846.3,12391.14,807846.3,Executive
500243,100089,30426.0,USD,2023-03-05,2694.17,Annual,1.0,30426.0,2694.17,30426.0,Medium
500244,100089,31885.24,USD,2024-04-14,771.86,Annual,1.0,31885.24,771.86,31885.24,Medium
500245,100089,34491.04,USD,2025-10-19,1231.98,Annual,1.0,34491.04,1231.98,34491.04,Medium
500246,100089,35773.56,USD,2026-04-14,6005.23,Monthly,1.0,35773.56,6005.23,35773.56,Medium
500247,100090,16679.66,USD,2018-12-14,0.0,Annual,1.0,16679.66,0.0,16679.66,Low
500248,100090,,USD,2021-11-28,0.0,Annual,1.0,,0.0,,Unknown
500249,100090,18559.23,USD,2022-04-30,0.0,Annual,1.0,18559.23,0.0,18559.23,Low
500250,100090,20073.8,USD,2024-09-28,0.0,Annual,1.0,20073.8,0.0,20073.8,Low
500251,100091,44755.19,USD,2020-12-08,911.41,Annual,1.0,44755.19,911.41,44755.19,Medium
500252,100091,47911.47,EGP,2023-01-08,3245.8,Annual,0.021,,68.16,,Unknown
500253,100091,50389.41,USD,2023-07-28,7306.05,Annual,1.0,50389.41,7306.05,50389.41,Medium
500254,100091,53515.7,USD,2025-11-10,4735.31,Annual,1.0,53515.7,4735.31,53515.7,Medium
500255,100092,20881.14,USD,2024-04-12,0.0,Annual,1.0,20881.14,0.0,20881.14,Low
500256,100092,22292.24,USD,2026-01-09,0.0,Annual,1.0,22292.24,0.0,22292.24,Low
500257,100093,28222.69,USD,2019-07-18,0.0,Annual,1.0,28222.69,0.0,28222.69,Low
500258,100093,3681.28,USD,2019-11-24,0.0,Annual,1.0,,0.0,,Unknown
500259,100094,16800.89,USD,2020-04-17,0.0,Annual,1.0,16800.89,0.0,16800.89,Low
500260,100095,42356.33,USD,2020-07-27,2290.34,Annual,1.0,42356.33,2290.34,42356.33,Medium
500261,100095,44646.45,AED,2022-05-19,3563.07,Annual,0.27,12054.54,962.03,12054.54,Low
500262,100095,47755.38,USD,2024-04-22,8593.45,Annual,1.0,47755.38,8593.45,47755.38,Medium
500263,100095,51282.78,USD,2024-09-13,6920.54,Monthly,1.0,51282.78,6920.54,51282.78,Medium
500264,100096,27006.07,INR,2019-03-16,0.0,Annual,0.012,,0.0,,Unknown
500265,100096,28988.09,USD,2025-01-22,0.0,Monthly,1.0,28988.09,0.0,28988.09,Low
500266,100097,,JOD,2025-06-16,11292.11,Monthly,1.41,,15921.88,,Unknown
500267,100097,68695.81,USD,2025-10-01,9574.89,Annual,1.0,68695.81,9574.89,68695.81,Medium
500268,100097,71756.78,USD,2025-12-19,7366.99,Annual,1.0,71756.78,7366.99,71756.78,High
500269,100098,27484.53,USD,2025-02-28,2824.28,Annual,1.0,27484.53,2824.28,27484.53,Low
500270,100098,29270.31,USD,2026-03-14,668.36,Annual,1.0,29270.31,668.36,29270.31,Low
500271,100099,22821.57,AED,2023-08-05,0.0,Annual,0.27,6161.82,0.0,6161.82,Low
500272,100099,24000.0,USD,2025-05-07,0.0,Monthly,1.0,24000.0,0.0,24000.0,Low
500273,100100,21124.76,USD,2021-03-13,0.0,Annual,1.0,21124.76,0.0,21124.76,Low
500274,100101,16975.98,USD,2025-02-18,0.0,Annual,1.0,16975.98,0.0,16975.98,Low
500275,100101,17641.49,USD,2025-12-27,0.0,Monthly,1.0,17641.49,0.0,17641.49,Low
