review_id,employee_id,review_date,performance_score,manager_score,goals_met_percentage,promotion_recommended,reviewer_id,performance_category
700051,100020,2025-03-10,3.61,3.37,54.7,False,100016,Strong Performer
700052,100021,2025-04-26,2.94,3.07,54.8,False,100019,Meets Expectations
700053,100021,2025-05-05,2.82,2.67,75.2,False,100019,Meets Expectations
700054,100021,2025-09-06,2.48,2.13,54.9,False,100019,Low Performer
700055,100021,2025-09-12,2.45,2.06,45.0,False,100019,Low Performer
700056,100022,2022-06-17,3.9,3.56,93.7,True,100002,Strong Performer
700057,100022,2024-08-29,3.65,4.04,71.4,False,100002,Strong Performer
700058,100022,2025-01-24,3.08,3.06,57.8,False,100002,Meets Expectations
700059,100023,2024-11-29,2.92,2.5,47.2,False,100477,Meets Expectations
700060,100024,2025-05-20,3.38,3.75,58.4,False,100003,Meets Expectations
700061,100024,2025-05-29,3.71,3.7,87.0,False,100003,Strong Performer
700062,100024,2025-06-15,3.72,3.86,79.4,False,100003,Strong Performer
700063,100024,2026-03-08,3.97,4.12,82.0,False,100003,Strong Performer
700064,100025,2021-07-28,3.74,3.86,51.7,False,100002,Strong Performer
700065,100025,2021-09-03,3.42,3.17,48.1,False,100002,Meets Expectations
700066,100025,2022-01-10,4.0,4.46,86.2,False,100002,Strong Performer
700067,100025,2022-04-07,2.97,3.07,85.9,False,100002,Meets Expectations
700068,100026,2025-11-30,3.28,3.8,86.2,False,100018,Meets Expectations
700069,100026,2025-12-09,4.24,4.13,99.9,False,100018,Strong Performer
700070,100026,2025-12-18,3.4,3.8,55.1,False,100018,Meets Expectations
700071,100027,2023-07-06,3.87,3.7,71.0,True,100219,Strong Performer
700072,100027,2024-08-14,4.09,4.14,88.6,True,100647,Strong Performer
700073,100027,2026-01-28,3.9,4.27,79.4,True,101724,Strong Performer
700074,100028,2024-03-30,3.71,3.34,88.1,False,100352,Strong Performer
700075,100029,2024-03-16,3.34,3.45,61.8,False,100022,Meets Expectations
700076,100029,2024-12-11,3.2,3.1,62.4,False,100022,Meets Expectations
700077,100030,2021-12-22,2.63,3.04,45.5,False,101518,Meets Expectations
700078,100030,2024-03-02,2.32,2.46,38.9,False,101590,Low Performer
700079,100030,2025-02-17,3.14,2.95,41.6,False,101332,Meets Expectations
700080,100030,2025-04-24,2.72,2.87,64.4,False,100382,Meets Expectations
700081,100032,2021-10-21,3.55,3.32,61.7,False,100896,Strong Performer
700082,100032,2022-07-31,3.48,3.29,69.0,False,100553,Meets Expectations
700083,100032,2023-07-31,3.88,3.72,67.4,True,100226,Strong Performer
700084,100032,2025-02-23,3.33,3.39,65.8,False,101339,Meets Expectations
700085,100033,2022-11-10,3.85,3.74,71.5,True,100018,Strong Performer
700086,100034,2021-01-07,4.13,4.06,88.1,False,100023,Strong Performer
700087,100034,2021-03-11,3.13,3.36,71.5,False,100023,Meets Expectations
700088,100034,2021-03-16,4.05,4.35,91.9,True,100023,Strong Performer
700089,100035,2021-05-07,3.57,4.25,76.6,False,100021,Strong Performer
700090,100035,2022-05-14,4.06,3.61,92.7,False,100021,Strong Performer
700091,100035,2025-11-03,3.51,3.94,55.6,False,100021,Strong Performer
700092,100035,2026-04-09,3.25,2.9,74.8,False,100021,Meets Expectations
700093,100036,2022-07-15,3.34,3.2,50.0,False,100018,Meets Expectations
700094,100036,2024-08-11,4.09,5.0,66.8,True,100018,Strong Performer
700095,100036,2025-05-02,3.97,3.63,78.3,False,100018,Strong Performer
700096,100036,2025-12-07,3.67,2.82,80.3,False,100018,Strong Performer
700097,100037,2022-08-01,3.59,4.14,69.0,False,100032,Strong Performer
700098,100037,2023-10-24,3.74,3.73,85.1,False,100032,Strong Performer
700099,100037,2023-12-25,4.04,4.06,65.3,False,100032,Strong Performer
700100,100037,2025-06-02,3.35,3.1,65.9,False,100032,Meets Expectations
700101,100038,2021-07-12,4.18,4.8,76.7,True,100025,Strong Performer
700102,100038,2023-06-03,3.66,3.77,90.7,False,100025,Strong Performer
700103,100038,2024-01-25,4.23,4.16,74.9,False,100025,Strong Performer
700104,100040,2023-08-29,2.88,2.4,74.2,False,100025,Meets Expectations
700105,100040,2023-09-01,2.94,2.88,57.0,False,100025,Meets Expectations
700106,100040,2026-02-18,2.67,2.25,41.9,False,100025,Meets Expectations
700107,100041,2024-10-03,4.1,4.66,76.2,False,101670,Strong Performer
700108,100042,2022-05-30,2.56,2.41,47.8,False,100016,Meets Expectations
700109,100042,2023-07-10,2.88,3.38,62.4,False,100016,Meets Expectations
700110,100045,2026-04-24,3.3,3.54,70.6,False,100016,Meets Expectations
700111,100046,2022-05-30,3.52,3.21,90.6,False,100018,Strong Performer
700112,100046,2022-06-26,3.49,1.74,64.8,False,100018,Meets Expectations
700113,100046,2024-03-23,3.19,3.65,70.7,False,100018,Meets Expectations
700114,100046,2024-10-22,2.9,3.59,50.9,False,100018,Meets Expectations
700115,100047,2023-12-20,3.62,3.28,67.8,False,100002,Strong Performer
700116,100047,2025-03-27,3.83,3.33,94.4,False,100002,Strong Performer
700117,100047,2025-07-24,3.53,3.53,63.7,False,100002,Strong Performer
700118,100048,2025-06-12,3.17,2.2,58.4,False,100025,Meets Expectations
700119,100048,2025-12-08,3.68,3.6,83.2,False,100025,Strong Performer
700120,100049,2024-01-06,3.05,2.9,41.0,False,100019,Meets Expectations
700121,100050,2021-01-29,3.47,4.02,50.0,False,100025,Meets Expectations
700122,100050,2024-08-28,3.19,3.79,79.8,False,100025,Meets Expectations
700123,100050,2024-09-07,2.82,2.86,51.1,False,100025,Meets Expectations
700124,100050,2024-10-12,3.72,3.35,57.1,False,100025,Strong Performer
700125,100051,2024-07-01,3.56,3.26,73.4,False,100887,Strong Performer
700126,100051,2024-07-01,4.02,4.33,90.3,False,100627,Strong Performer
700127,100051,2024-07-14,3.32,3.62,69.3,False,100293,Meets Expectations
700128,100051,2025-01-27,3.8,4.03,65.5,False,100265,Strong Performer
700129,100052,2025-05-04,2.61,2.75,87.2,False,100016,Meets Expectations
700130,100052,2025-08-18,2.51,2.36,48.2,False,100016,Meets Expectations
700131,100052,2026-01-10,3.29,2.65,58.4,False,100016,Meets Expectations
700132,100053,2022-02-25,4.07,4.01,69.9,True,100032,Strong Performer
700133,100053,2023-01-11,4.09,3.18,76.4,True,100032,Strong Performer
700134,100053,2025-04-04,3.67,3.75,69.0,False,100032,Strong Performer
700135,100053,2025-11-02,3.81,4.5,66.9,False,100032,Strong Performer
700136,100054,2023-06-18,3.18,3.04,52.4,False,100016,Meets Expectations
700137,100054,2024-02-02,3.57,4.1,78.3,False,100016,Strong Performer
700138,100054,2024-07-09,3.12,2.4,65.3,False,100016,Meets Expectations
700139,100054,2024-07-20,2.66,2.83,45.1,False,100016,Meets Expectations
700140,100055,2023-01-05,2.97,3.17,25.9,False,100019,Meets Expectations
700141,100055,2023-12-13,3.82,3.13,78.7,True,100019,Strong Performer
700142,100056,2021-01-10,3.49,3.97,47.1,False,101836,Meets Expectations
700143,100056,2025-05-13,4.0,4.14,93.0,True,100172,Strong Performer
700144,100057,2025-10-06,4.0,,92.6,True,100023,Strong Performer
700145,100057,2026-02-28,3.89,3.93,81.3,False,100023,Strong Performer
700146,100057,2026-04-20,3.84,3.99,94.5,False,100023,Strong Performer
700147,100058,2021-08-22,4.98,4.34,96.9,True,100016,High Performer
700148,100058,2025-06-02,5.0,4.32,92.2,True,100016,High Performer
700149,100059,2025-08-14,4.29,3.48,92.7,True,100016,Strong Performer
700150,100060,2022-12-06,3.54,2.9,76.5,False,100002,Strong Performer
700151,100060,2023-09-27,3.1,2.59,59.2,False,100002,Meets Expectations
700152,100060,2024-05-28,4.22,4.16,90.0,False,100002,Strong Performer
700153,100061,2025-07-01,3.24,3.01,46.1,False,100059,Meets Expectations
700154,100061,2025-09-12,3.35,3.86,65.9,False,100059,Meets Expectations
700155,100061,2025-11-02,3.82,3.75,93.6,True,100059,Strong Performer
700156,100062,2021-06-26,4.07,4.18,74.6,True,100002,Strong Performer
700157,100062,2022-01-08,3.95,4.1,91.4,True,100002,Strong Performer
700158,100062,2022-07-15,4.11,3.41,79.4,True,100002,Strong Performer
700159,100063,2021-04-12,4.47,4.32,,True,100999,Strong Performer
700160,100063,2021-10-29,4.27,3.48,,False,101746,Strong Performer
700161,100063,2021-12-31,4.74,5.0,,True,100368,High Performer
700162,100064,2025-10-30,3.4,3.01,,False,100019,Meets Expectations
700163,100064,2025-11-07,3.28,2.86,88.0,False,100019,Meets Expectations
700164,100067,2023-07-25,3.13,2.65,67.1,False,100022,Meets Expectations
700165,100068,2022-01-07,3.56,2.64,53.3,False,100059,Strong Performer
700166,100069,2021-08-14,3.26,3.4,80.6,False,100021,Meets Expectations
700167,100069,2022-05-07,3.52,4.05,66.9,False,100021,Strong Performer
700168,100069,2022-07-30,4.09,3.88,80.5,False,100021,Strong Performer
700169,100070,2022-06-12,4.34,3.49,,False,100056,Strong Performer
700170,100070,2023-05-02,4.66,5.0,87.1,True,100056,High Performer
700171,100071,2023-10-23,3.62,4.11,88.3,False,100064,Strong Performer
700172,100071,2024-06-10,3.43,3.84,55.8,False,100064,Meets Expectations
700173,100071,2025-04-21,3.53,3.84,58.8,False,100064,Strong Performer
700174,100071,2025-07-30,3.41,3.25,89.6,False,100064,Meets Expectations
700175,100072,2023-12-20,4.77,4.43,,False,100030,High Performer
700176,100073,2026-02-28,4.76,4.55,84.0,True,100021,High Performer
700177,100075,2023-09-01,2.87,3.02,54.1,False,100059,Meets Expectations
700178,100076,2024-11-05,3.1,2.86,77.2,False,100003,Meets Expectations
700179,100076,2025-02-02,2.65,2.36,41.7,False,100003,Meets Expectations
700180,100076,2025-10-30,3.03,3.02,63.5,False,100003,Meets Expectations
700181,100077,2023-07-27,3.07,3.14,53.7,False,100025,Meets Expectations
700182,100078,2021-07-06,3.24,3.5,66.4,False,100073,Meets Expectations
700183,100078,2022-06-14,3.07,3.43,68.6,False,100073,Meets Expectations
700184,100078,2024-03-20,3.8,3.12,86.8,False,100073,Strong Performer
700185,100078,2026-01-13,3.63,3.07,66.6,False,100073,Strong Performer
700186,100079,2024-11-26,2.89,2.91,73.7,False,100057,Meets Expectations
700187,100079,2026-01-02,2.69,2.19,54.5,False,100057,Meets Expectations
700188,100079,2026-04-09,3.38,3.44,52.2,False,100057,Meets Expectations
700189,100080,2021-06-15,3.39,2.88,61.1,False,100059,Meets Expectations
700190,100080,2026-03-04,3.69,4.24,88.2,False,100059,Strong Performer
700191,100081,2024-05-12,3.63,3.4,83.3,False,100002,Strong Performer
700192,100082,2021-05-26,3.56,3.61,71.1,False,100016,Strong Performer
700193,100084,2022-06-07,3.48,3.34,72.2,False,100056,Meets Expectations
700194,100084,2023-08-18,2.84,2.36,55.9,False,100056,Meets Expectations
700195,100084,2024-12-21,3.97,2.99,80.2,False,100056,Strong Performer
700196,100085,2021-03-23,4.09,4.93,92.0,True,100059,Strong Performer
700197,100085,2022-05-08,3.95,3.95,70.9,True,100059,Strong Performer
700198,100085,2023-03-13,3.92,4.26,76.8,False,100059,Strong Performer
700199,100085,2023-07-17,3.93,3.93,79.9,False,100059,Strong Performer
700200,100086,2023-10-30,3.74,3.48,83.1,False,100022,Strong Performer
700201,100086,2024-10-29,3.54,2.55,44.9,False,100022,Strong Performer
700202,100087,,3.05,2.9,67.9,False,100063,Meets Expectations
700203,100087,2025-08-09,3.24,2.62,79.5,False,100063,Meets Expectations
700204,100087,2025-09-18,2.97,2.77,46.1,False,100063,Meets Expectations
700205,100087,2025-11-09,2.48,2.29,70.4,False,100063,Low Performer
700206,100088,2023-03-27,3.73,3.69,94.1,False,100013,Strong Performer
700207,100088,2024-07-18,3.97,3.27,87.2,False,100013,Strong Performer
700208,100089,2022-02-03,3.0,3.62,70.4,False,100635,Meets Expectations
700209,100089,2022-10-09,3.56,3.53,86.5,False,100815,Strong Performer
700210,100089,2025-07-25,2.75,2.42,47.1,False,100777,Meets Expectations
700211,100090,2021-03-23,4.09,3.68,93.1,False,100039,Strong Performer
700212,100091,2023-07-13,4.24,4.04,65.7,False,100063,Strong Performer
700213,100091,2025-12-12,4.11,3.3,85.8,False,100063,Strong Performer
700214,100092,2022-02-18,4.2,3.75,83.9,True,100025,Strong Performer
700215,100092,2022-06-19,3.93,2.96,89.5,False,100025,Strong Performer
700216,100092,2025-12-24,4.29,4.42,82.5,False,100025,Strong Performer
700217,100093,2022-05-12,3.56,3.01,67.2,False,100022,Strong Performer
700218,100093,2023-10-15,3.5,4.04,67.7,False,100022,Strong Performer
700219,100094,2022-03-06,2.62,2.62,45.0,False,100022,Meets Expectations
700220,100095,2023-09-03,3.34,3.41,70.0,False,100055,Meets Expectations
700221,100096,2024-05-23,3.64,2.37,65.0,False,100022,Strong Performer
700222,100096,2024-05-24,3.76,3.42,71.0,False,100022,Strong Performer
700223,100096,2025-09-30,3.46,3.0,68.3,False,100022,Meets Expectations
700224,100097,2025-10-02,3.52,3.51,71.6,False,100055,Strong Performer
700225,100097,2026-01-05,3.08,2.29,67.5,False,100055,Meets Expectations
700226,100097,2026-02-14,3.37,3.77,51.9,False,100055,Meets Expectations
700227,100098,2024-08-06,3.84,4.11,85.2,False,100187,Strong Performer
700228,100098,2024-10-27,3.81,3.44,88.0,False,100065,Strong Performer
700229,100099,2021-08-25,2.14,1.73,42.1,False,100059,Low Performer
700230,100099,2021-09-07,2.92,2.66,63.4,False,100059,Meets Expectations
700231,100099,2023-12-06,2.77,3.13,54.2,False,100059,Meets Expectations
700232,100099,2026-04-03,3.21,2.66,60.9,False,100059,Meets Expectations
700233,100100,2022-03-30,4.51,5.0,,False,100016,High Performer
700234,100100,2022-09-11,4.98,4.92,92.4,False,100016,High Performer
700235,100101,2025-05-20,4.04,4.31,67.5,True,100083,Strong Performer
700236,100102,2025-01-10,3.99,3.64,74.7,True,100091,Strong Performer
700237,100103,2021-05-21,3.73,3.25,70.7,False,100022,Strong Performer
700238,100103,2023-05-03,3.87,4.43,75.2,True,100022,Strong Performer
700239,100104,2022-01-31,4.86,4.87,,False,100056,High Performer
700240,100105,2024-11-07,3.05,2.76,51.0,False,100069,Meets Expectations
700241,100105,2025-10-13,4.23,4.63,88.5,False,100069,Strong Performer
700242,100105,2026-01-26,3.03,2.65,75.6,False,100069,Meets Expectations
700243,100106,2025-02-14,3.67,3.7,64.1,False,100053,Strong Performer
700244,100107,2025-09-23,2.37,1.81,79.9,False,100030,Low Performer
700245,100108,2025-06-02,3.7,2.99,87.0,False,100083,Strong Performer
700246,100109,2024-02-15,2.71,2.71,45.7,False,100016,Meets Expectations
700247,100109,2025-09-10,2.57,2.49,44.9,False,100016,Meets Expectations
700248,100109,2025-09-20,3.13,3.47,42.7,False,100016,Meets Expectations
700249,100110,2022-10-27,3.48,3.37,64.4,False,101811,Meets Expectations
700250,100111,2021-10-24,2.95,2.88,72.5,False,100474,Meets Expectations
700251,100112,2023-11-05,3.57,3.68,71.6,False,100063,Strong Performer
700252,100112,2024-11-21,3.96,4.24,90.7,True,100063,Strong Performer
700253,100112,2024-12-05,3.72,3.74,65.7,False,100063,Strong Performer
700254,100113,2025-05-13,2.53,2.47,37.6,False,100056,Meets Expectations
700255,100114,2023-06-03,3.18,3.36,49.8,False,100997,Meets Expectations
700256,100114,2025-09-04,3.64,3.85,91.1,False,101687,Strong Performer
700257,100114,2025-10-27,3.54,3.18,58.5,False,101362,Strong Performer
700258,100114,2026-03-09,3.9,3.23,,False,100258,Strong Performer
700259,100115,2025-05-11,3.79,4.0,81.6,False,100018,Strong Performer
700260,100115,2025-11-20,3.58,2.94,60.4,False,100018,Strong Performer
700261,100115,2026-03-07,2.97,2.48,57.8,False,100018,Meets Expectations
700262,100115,2026-03-14,3.86,4.41,72.8,True,100018,Strong Performer
700263,100116,2023-04-23,4.38,3.84,62.7,True,100010,Strong Performer
700264,100116,2024-09-28,3.94,4.12,79.1,True,100010,Strong Performer
700265,100116,2024-11-10,4.92,5.0,82.3,False,100010,High Performer
700266,100117,2023-11-09,3.07,2.97,34.3,False,100056,Meets Expectations
700267,100117,2025-06-10,2.9,2.71,70.9,False,100056,Meets Expectations
700268,100118,2024-07-05,2.57,2.07,42.7,False,100478,Meets Expectations
700269,100118,2024-08-20,3.01,3.28,39.8,False,100440,Meets Expectations
700270,100118,2025-07-31,3.04,2.43,67.9,False,100454,Meets Expectations
700271,100118,2025-08-26,3.68,3.62,,False,100311,Strong Performer
700272,100119,2025-08-10,3.38,2.93,85.8,False,100083,Meets Expectations
700273,100120,2022-10-29,3.01,2.14,57.9,False,100056,Meets Expectations
700274,100120,2026-02-24,3.6,3.92,69.7,False,100056,Strong Performer
700275,100121,2022-05-16,3.43,3.3,70.5,False,100116,Meets Expectations
700276,100122,2024-04-14,3.94,4.03,82.5,True,100115,Strong Performer
700277,100122,2025-04-18,4.37,4.0,,False,100115,Strong Performer
700278,100122,2025-05-02,4.39,4.84,82.7,False,100115,Strong Performer
700279,100123,2022-06-08,3.89,3.28,,True,100102,Strong Performer
700280,100123,2024-03-19,4.21,4.31,,True,100102,Strong Performer
700281,100124,2021-11-12,3.91,3.53,80.1,True,100088,Strong Performer
700282,100124,2025-09-02,3.07,3.61,41.8,False,100088,Meets Expectations
700283,100124,2025-09-02,3.77,2.81,100.0,False,100088,Strong Performer
700284,100125,2024-10-31,3.55,2.63,87.9,False,100083,Strong Performer
700285,100126,2021-03-05,3.35,3.42,66.9,False,100091,Meets Expectations
700286,100126,2021-05-16,2.49,,28.9,False,100091,Low Performer
700287,100126,2022-04-28,3.42,2.25,58.5,False,100091,Meets Expectations
700288,100127,2022-08-31,4.5,4.99,,False,100089,High Performer
700289,100128,2021-10-14,1.49,1.38,20.0,False,100088,Low Performer
700290,100128,2021-10-12,2.29,1.94,,False,100088,Low Performer
700291,100128,2025-03-26,2.32,2.15,53.6,False,100088,Low Performer
700292,100128,2026-04-13,1.72,1.19,24.8,False,100088,Low Performer
700293,100129,2022-07-29,3.72,3.77,88.0,False,100018,Strong Performer
700294,100129,2024-07-09,4.37,4.39,91.3,True,100018,Strong Performer
700295,100130,2022-07-29,2.96,3.42,77.2,False,100112,Meets Expectations
700296,100130,2023-03-16,2.81,2.0,64.5,False,100112,Meets Expectations
700297,100131,2022-03-01,4.21,4.18,46.0,False,100016,Strong Performer
700298,100131,2022-03-23,4.21,4.02,94.4,False,100016,Strong Performer
700299,100131,2023-03-24,4.27,4.09,77.1,False,100016,Strong Performer
700300,100131,2023-07-15,3.76,3.8,70.5,False,100016,Strong Performer
700301,100132,2025-11-14,3.29,3.66,62.5,False,100079,Meets Expectations
700302,100133,2026-04-29,2.86,2.67,44.3,False,100108,Meets Expectations
700303,100134,2026-03-22,3.86,3.81,82.4,True,100016,Strong Performer
700304,100134,2026-04-04,3.38,3.21,80.1,False,100016,Meets Expectations
700305,100134,2026-04-05,4.1,4.04,73.1,True,100016,Strong Performer
700306,100134,2026-04-28,4.0,4.12,72.0,False,100016,Strong Performer
700307,100135,2023-10-25,2.8,2.42,51.9,False,100088,Meets Expectations
700308,100135,2023-10-26,3.17,3.09,46.3,False,100088,Meets Expectations
700309,100135,2025-11-24,3.18,2.98,68.1,False,100088,Meets Expectations
700310,100136,2021-11-17,2.81,2.51,68.4,False,100056,Meets Expectations
700311,100136,2022-01-25,2.74,2.11,39.5,False,100056,Meets Expectations
700312,100136,2024-09-30,,3.99,72.3,False,100056,Unknown
700313,100136,2025-06-09,2.95,2.19,71.8,False,100056,Meets Expectations
700314,100137,2021-05-02,1.78,1.0,42.7,False,100051,Low Performer
700315,100137,2021-08-23,1.6,1.05,44.0,False,100051,Low Performer
700316,100137,2023-03-23,2.56,2.18,,False,100051,Meets Expectations
700317,100138,2023-05-03,4.25,3.7,76.9,False,100135,Strong Performer
700318,100138,2024-09-14,3.6,3.63,58.5,False,100135,Strong Performer
700319,100139,2026-03-24,4.05,3.14,78.7,True,100640,Strong Performer
700320,100140,2023-09-14,4.6,4.78,95.3,True,100023,High Performer
700321,100141,2024-03-07,3.58,3.52,84.5,False,100025,Strong Performer
700322,100141,2024-03-31,3.72,3.55,95.7,False,100025,Strong Performer
700323,100141,2024-10-29,3.74,2.58,69.6,False,100025,Strong Performer
700324,100141,2026-02-13,3.69,4.23,69.7,False,100025,Strong Performer
700325,100142,2022-06-15,3.93,4.47,94.2,True,100064,Strong Performer
700326,100142,2023-03-23,3.63,3.61,66.3,False,100064,Strong Performer
700327,100142,2024-06-11,3.54,3.86,84.2,False,100064,Strong Performer
700328,100143,2022-04-15,4.72,4.52,,True,100016,High Performer
700329,100143,2023-05-19,4.48,4.41,78.9,True,100016,Strong Performer
700330,100143,,4.39,3.98,80.6,False,100016,Strong Performer
700331,100143,2025-07-16,4.52,3.35,92.2,True,100016,High Performer
700332,100144,2021-12-29,3.81,3.54,57.8,True,100091,Strong Performer
700333,100144,2022-03-23,3.23,4.02,70.0,False,100091,Meets Expectations
700334,100144,2025-05-25,3.61,3.05,,False,100091,Strong Performer
700335,100144,2025-12-24,4.01,3.94,82.3,False,100091,Strong Performer
700336,100145,2024-07-29,3.17,2.95,68.7,False,100055,Meets Expectations
700337,100145,2024-04-09,2.97,2.89,56.6,False,100055,Meets Expectations
700338,100145,2024-11-15,2.95,2.31,57.2,False,100055,Meets Expectations
700339,100145,2026-03-27,2.87,2.62,60.6,False,100055,Meets Expectations
700340,100146,2023-05-19,3.61,3.04,79.5,False,100039,Strong Performer
700341,100146,2025-02-09,3.33,3.62,37.2,False,100039,Meets Expectations
700342,100146,2025-08-04,3.75,3.71,73.9,False,100039,Strong Performer
700343,100146,2026-02-22,3.63,4.03,68.9,False,100039,Strong Performer
700344,100147,2021-08-31,3.77,4.03,70.4,False,100002,Strong Performer
700345,100147,2022-10-25,4.21,4.33,93.4,True,100002,Strong Performer
700346,100148,2023-09-01,2.72,2.73,62.0,False,100083,Meets Expectations
700347,100148,2024-08-23,3.16,3.02,67.0,False,100083,Meets Expectations
700348,100149,2024-12-31,3.03,3.02,69.6,False,100023,Meets Expectations
700349,100149,2025-08-25,3.25,3.51,58.7,False,100023,Meets Expectations
700350,100149,2025-09-02,3.27,2.31,72.6,False,100023,Meets Expectations
700351,100149,2025-12-22,3.6,3.43,68.6,False,100023,Strong Performer
700352,100150,2026-01-26,3.95,3.94,89.7,True,100064,Strong Performer
700353,100150,2026-03-17,3.66,3.52,64.8,False,100064,Strong Performer
700354,100151,2025-06-27,2.79,,62.7,False,100123,Meets Expectations
700355,100151,,1.99,1.94,42.9,False,100123,Low Performer
700356,100151,2025-12-16,2.76,1.98,67.2,False,100123,Meets Expectations
700357,100152,2024-04-26,3.7,3.79,69.8,False,100115,Strong Performer
700358,100152,2024-10-31,3.67,3.43,73.3,False,100115,Strong Performer
700359,100152,2024-11-19,3.45,3.33,77.1,False,100115,Meets Expectations
700360,100153,2024-10-19,4.03,4.29,67.0,False,101722,Strong Performer
700361,100153,2025-06-10,3.9,3.9,82.6,False,101119,Strong Performer
700362,100154,2021-01-09,4.79,5.0,80.2,True,100146,High Performer
700363,100154,2021-10-08,4.44,4.43,83.6,False,100146,Strong Performer
700364,100154,2023-05-01,4.47,4.05,81.3,False,100146,Strong Performer
700365,100155,2025-02-03,4.92,4.53,91.4,False,100016,High Performer
700366,100156,2023-01-31,4.21,4.53,88.1,False,100133,Strong Performer
700367,100158,2021-07-23,2.93,2.33,66.3,False,101533,Meets Expectations
700368,100158,2022-04-27,3.33,3.78,54.8,False,101735,Meets Expectations
700369,100158,2024-05-01,3.26,3.5,67.0,False,101491,Meets Expectations
700370,100159,2023-01-27,2.8,3.23,46.5,False,100091,Meets Expectations
700371,100159,2025-12-19,3.05,3.76,67.6,False,100091,Meets Expectations
700372,100160,2023-09-21,4.21,4.21,65.8,True,100025,Strong Performer
700373,100161,2021-07-22,1.84,1.49,20.0,False,100039,Low Performer
700374,100161,2026-01-05,1.82,1.18,36.0,False,100039,Low Performer
700375,100162,2025-05-22,2.78,2.11,72.9,False,100140,Meets Expectations
700376,100162,2025-09-05,3.44,2.99,94.5,False,100140,Meets Expectations
