survey_id,employee_id,survey_date,satisfaction_score,engagement_score,work_life_balance_score,manager_relationship_score,career_growth_score,compensation_satisfaction_score,overall_satisfaction_score,satisfaction_category
900147,100071,2024-11-12,4.0,3.0,4.0,4.0,4.0,4.0,3.83,High Satisfaction
900148,100071,2025-09-05,5.0,5.0,5.0,4.0,4.0,5.0,4.67,High Satisfaction
900149,100072,2022-08-12,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900150,100072,2023-01-28,3.0,3.0,3.0,3.0,,1.0,2.6,Medium Satisfaction
900151,100072,2023-06-02,2.0,3.0,3.0,2.0,3.0,2.0,2.5,Low Satisfaction
900152,100072,2023-12-03,2.0,2.0,3.0,3.0,3.0,2.0,2.5,Low Satisfaction
900153,100073,2025-08-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Satisfaction
900154,100075,2022-03-01,3.0,3.0,2.0,3.0,3.0,2.0,2.67,Medium Satisfaction
900155,100075,2022-05-16,3.0,3.0,3.0,3.0,4.0,3.0,3.17,Medium Satisfaction
900156,100075,2024-02-17,3.0,3.0,3.0,2.0,2.0,3.0,2.67,Medium Satisfaction
900157,100075,2024-10-03,2.0,2.0,2.0,1.0,2.0,3.0,2.0,Low Satisfaction
900158,100076,2025-11-02,5.0,4.0,5.0,5.0,5.0,5.0,4.83,High Satisfaction
900159,100076,2026-03-17,5.0,4.0,5.0,4.0,4.0,5.0,4.5,High Satisfaction
900160,100077,2022-04-19,3.0,3.0,3.0,3.0,2.0,3.0,2.83,Medium Satisfaction
900161,100077,2023-01-08,3.0,3.0,2.0,4.0,2.0,4.0,3.0,Medium Satisfaction
900162,100077,2023-11-05,3.0,3.0,2.0,3.0,4.0,3.0,3.0,Medium Satisfaction
900163,100078,2022-06-13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900164,100078,2024-09-27,4.0,4.0,4.0,4.0,3.0,3.0,3.67,High Satisfaction
900165,100078,2024-12-30,3.0,3.0,4.0,4.0,3.0,,3.4,Medium Satisfaction
900166,100079,2025-05-01,3.0,2.0,3.0,4.0,3.0,3.0,3.0,Medium Satisfaction
900167,100080,2024-04-07,2.0,2.0,3.0,3.0,3.0,2.0,2.5,Low Satisfaction
900168,100080,2024-09-18,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Low Satisfaction
900169,100080,2025-07-07,2.0,3.0,3.0,3.0,2.0,2.0,2.5,Low Satisfaction
900170,100081,2023-09-06,3.0,4.0,3.0,4.0,2.0,3.0,3.17,Medium Satisfaction
900171,100081,2023-08-12,3.0,2.0,4.0,2.0,3.0,3.0,2.83,Medium Satisfaction
900172,100081,2026-01-15,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900173,100082,2022-06-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Satisfaction
900174,100082,2022-07-18,4.0,4.0,,,4.0,5.0,4.25,High Satisfaction
900175,100082,2023-03-23,4.0,4.0,4.0,4.0,3.0,5.0,4.0,High Satisfaction
900176,100084,2023-10-21,3.0,3.0,2.0,,3.0,3.0,2.8,Medium Satisfaction
900177,100084,2025-06-01,4.0,4.0,5.0,,4.0,3.0,4.0,High Satisfaction
900178,100084,2025-08-12,3.0,3.0,3.0,2.0,3.0,3.0,2.83,Medium Satisfaction
900179,100084,2026-02-08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900180,100085,2024-01-26,4.0,4.0,4.0,4.0,4.0,3.0,3.83,High Satisfaction
900181,100086,2024-04-13,2.0,2.0,1.0,3.0,2.0,1.0,1.83,Low Satisfaction
900182,100087,2023-05-29,3.0,3.0,4.0,3.0,3.0,3.0,3.17,Medium Satisfaction
900183,100088,2022-08-24,2.0,2.0,2.0,3.0,2.0,2.0,2.17,Low Satisfaction
900184,100088,2023-08-20,3.0,4.0,4.0,4.0,2.0,2.0,3.17,Medium Satisfaction
900185,100089,2023-02-16,5.0,5.0,5.0,4.0,5.0,4.0,4.67,High Satisfaction
900186,100089,2023-03-20,4.0,4.0,4.0,3.0,4.0,3.0,3.67,High Satisfaction
900187,100090,2023-07-13,4.0,4.0,4.0,5.0,5.0,4.0,4.33,High Satisfaction
900188,100090,2024-02-17,5.0,5.0,5.0,5.0,4.0,4.0,4.67,High Satisfaction
900189,100090,2024-09-01,4.0,4.0,5.0,5.0,4.0,3.0,4.17,High Satisfaction
900190,100090,2025-04-25,3.0,4.0,3.0,,3.0,3.0,3.2,Medium Satisfaction
900191,100091,2024-06-10,4.0,5.0,4.0,4.0,4.0,4.0,4.17,High Satisfaction
900192,100092,2023-03-17,,2.0,2.0,3.0,3.0,3.0,2.6,Unknown
900193,100092,2023-11-13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900194,100092,2024-03-25,4.0,3.0,4.0,4.0,,4.0,3.8,High Satisfaction
900195,100092,2024-11-16,4.0,4.0,5.0,4.0,2.0,4.0,3.83,High Satisfaction
900196,100093,2026-03-06,3.0,3.0,3.0,3.0,4.0,2.0,3.0,Medium Satisfaction
900197,100094,2022-07-20,4.0,4.0,4.0,5.0,3.0,4.0,4.0,High Satisfaction
900198,100094,2022-09-19,3.0,4.0,3.0,3.0,3.0,3.0,3.17,Medium Satisfaction
900199,100095,2024-11-02,4.0,4.0,4.0,3.0,4.0,4.0,3.83,High Satisfaction
900200,100096,2023-03-16,5.0,5.0,,4.0,5.0,,4.75,High Satisfaction
900201,100096,2024-06-04,4.0,5.0,5.0,5.0,,5.0,4.8,High Satisfaction
900202,100096,2024-09-13,4.0,4.0,,5.0,5.0,5.0,4.6,High Satisfaction
900203,100096,2025-12-15,5.0,5.0,4.0,5.0,4.0,4.0,4.5,High Satisfaction
900204,100097,2025-06-27,4.0,4.0,4.0,4.0,3.0,3.0,3.67,High Satisfaction
900205,100097,2025-09-17,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900206,100098,2025-04-11,3.0,4.0,3.0,3.0,,4.0,3.4,Medium Satisfaction
900207,100098,2025-08-27,3.0,3.0,4.0,3.0,3.0,3.0,3.17,Medium Satisfaction
900208,100098,2026-01-22,3.0,3.0,4.0,4.0,3.0,4.0,3.5,Medium Satisfaction
900209,100099,2023-09-10,4.0,3.0,3.0,4.0,3.0,2.0,3.17,High Satisfaction
900210,100100,2023-01-20,3.0,3.0,4.0,2.0,3.0,3.0,3.0,Medium Satisfaction
900211,100100,2023-02-11,4.0,4.0,4.0,3.0,4.0,3.0,3.67,High Satisfaction
900212,100100,2024-01-13,2.0,2.0,1.0,2.0,2.0,2.0,1.83,Low Satisfaction
900213,100102,2022-11-05,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900214,100102,2024-06-21,3.0,3.0,3.0,3.0,1.0,2.0,2.5,Medium Satisfaction
900215,100103,2022-10-04,3.0,4.0,3.0,3.0,3.0,3.0,3.17,Medium Satisfaction
900216,100103,2025-03-06,3.0,3.0,3.0,5.0,4.0,3.0,3.5,Medium Satisfaction
900217,100103,2025-05-14,4.0,3.0,4.0,4.0,4.0,3.0,3.67,High Satisfaction
900218,100104,2022-04-17,2.0,2.0,2.0,3.0,2.0,1.0,2.0,Low Satisfaction
900219,100104,2022-05-05,2.0,1.0,2.0,1.0,1.0,1.0,1.33,Low Satisfaction
900220,100104,2022-10-28,2.0,1.0,2.0,2.0,1.0,1.0,1.5,Low Satisfaction
900221,100105,2023-07-20,3.0,3.0,4.0,2.0,4.0,3.0,3.17,Medium Satisfaction
900222,100105,2023-07-24,4.0,4.0,4.0,3.0,4.0,4.0,3.83,High Satisfaction
900223,100105,2024-01-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Satisfaction
900224,100105,2024-06-10,5.0,4.0,4.0,5.0,5.0,4.0,4.5,High Satisfaction
900225,100106,2025-09-13,5.0,5.0,5.0,5.0,4.0,5.0,4.83,High Satisfaction
900226,100107,2026-01-20,3.0,4.0,3.0,3.0,4.0,3.0,3.33,Medium Satisfaction
900227,100108,2023-01-03,3.0,3.0,3.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900228,100108,2023-08-22,3.0,2.0,4.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900229,100108,2024-09-12,2.0,2.0,2.0,3.0,2.0,1.0,2.0,Low Satisfaction
900230,100109,2024-09-01,3.0,4.0,4.0,4.0,3.0,3.0,3.5,Medium Satisfaction
900231,100109,2025-02-07,3.0,3.0,,3.0,2.0,3.0,2.8,Medium Satisfaction
900232,100110,2023-12-03,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900233,100111,2022-03-17,3.0,4.0,3.0,4.0,3.0,3.0,3.33,Medium Satisfaction
900234,100111,2023-08-01,3.0,3.0,4.0,3.0,3.0,3.0,3.17,Medium Satisfaction
900235,100111,2025-12-01,2.0,2.0,2.0,3.0,2.0,3.0,2.33,Low Satisfaction
900236,100112,2022-03-31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Low Satisfaction
900237,100112,2024-02-07,3.0,4.0,3.0,2.0,4.0,3.0,3.17,Medium Satisfaction
900238,100113,2024-11-22,2.0,2.0,2.0,,3.0,2.0,2.2,Low Satisfaction
900239,100113,2025-02-02,3.0,3.0,2.0,3.0,3.0,3.0,2.83,Medium Satisfaction
900240,100113,2025-05-29,3.0,4.0,3.0,4.0,3.0,2.0,3.17,Medium Satisfaction
900241,100113,2025-07-21,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900242,100114,2022-10-06,3.0,3.0,3.0,3.0,2.0,3.0,2.83,Medium Satisfaction
900243,100114,2023-08-21,3.0,3.0,2.0,1.0,3.0,2.0,2.33,Medium Satisfaction
900244,100114,2025-03-24,2.0,2.0,2.0,3.0,2.0,2.0,2.17,Low Satisfaction
900245,100114,2025-07-26,2.0,3.0,3.0,3.0,2.0,2.0,2.5,Low Satisfaction
900246,100115,2025-02-06,4.0,3.0,4.0,3.0,3.0,3.0,3.33,High Satisfaction
900247,100115,2025-04-19,4.0,4.0,4.0,3.0,3.0,4.0,3.67,High Satisfaction
900248,100115,2025-07-26,4.0,3.0,4.0,2.0,4.0,3.0,3.33,High Satisfaction
900249,100115,2025-08-29,2.0,2.0,3.0,2.0,1.0,3.0,2.17,Low Satisfaction
900250,100116,2023-04-26,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900251,100117,2023-05-15,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900252,100117,2023-07-31,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900253,100117,2025-03-08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900254,100118,2025-01-09,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900255,100118,2025-05-15,,3.0,3.0,4.0,3.0,4.0,3.4,Unknown
900256,100119,2025-12-12,3.0,2.0,3.0,3.0,,3.0,2.8,Medium Satisfaction
900257,100119,2026-04-07,4.0,4.0,4.0,3.0,4.0,4.0,3.83,High Satisfaction
900258,100120,2023-02-12,4.0,4.0,4.0,4.0,4.0,5.0,4.17,High Satisfaction
900259,100120,2023-10-24,5.0,5.0,,,5.0,4.0,4.75,High Satisfaction
900260,100120,2025-09-15,4.0,4.0,4.0,4.0,,3.0,3.8,High Satisfaction
900261,100121,2023-02-10,3.0,,3.0,2.0,4.0,2.0,2.8,Medium Satisfaction
900262,100121,2024-07-24,4.0,3.0,,4.0,4.0,3.0,3.6,High Satisfaction
900263,100121,2026-04-30,4.0,4.0,,4.0,5.0,4.0,4.2,High Satisfaction
900264,100122,2025-07-06,3.0,2.0,3.0,3.0,3.0,2.0,2.67,Medium Satisfaction
900265,100123,2022-10-21,3.0,2.0,3.0,4.0,3.0,2.0,2.83,Medium Satisfaction
900266,100123,2023-07-06,4.0,4.0,5.0,3.0,4.0,4.0,4.0,High Satisfaction
900267,100124,2022-09-28,3.0,3.0,3.0,5.0,3.0,4.0,3.5,Medium Satisfaction
900268,100124,2025-07-06,2.0,2.0,2.0,3.0,2.0,2.0,2.17,Low Satisfaction
900269,100125,2025-03-12,3.0,2.0,4.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900270,100126,2022-08-31,4.0,4.0,3.0,4.0,3.0,3.0,3.5,High Satisfaction
900271,100126,2024-08-10,3.0,3.0,4.0,3.0,3.0,3.0,3.17,Medium Satisfaction
900272,100126,2024-11-12,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900273,100127,2022-03-11,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900274,100128,2022-05-28,5.0,4.0,3.0,5.0,5.0,4.0,4.33,High Satisfaction
900275,100128,2024-02-22,5.0,,5.0,5.0,4.0,4.0,4.6,High Satisfaction
900276,100128,2024-11-27,4.0,3.0,4.0,5.0,,3.0,3.8,High Satisfaction
900277,100129,2022-04-24,5.0,5.0,5.0,5.0,4.0,4.0,4.67,High Satisfaction
900278,100129,2022-01-07,3.0,3.0,3.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900279,100129,2022-10-28,4.0,4.0,4.0,4.0,5.0,4.0,4.17,High Satisfaction
