attendance_id,employee_id,attendance_date,scheduled_hours,worked_hours,absence_flag,absence_type,late_minutes,absence_day_count,missed_hours
800038,100002,2026-02-10,8.0,7.3,False,None,0.0,0,0.7
800039,100002,2026-02-11,9.0,9.9,False,None,0.0,0,0.0
800040,100002,2026-02-17,8.0,7.7,False,None,0.0,0,0.3
800041,100002,2026-02-19,7.5,8.0,False,None,0.0,0,0.0
800042,100002,2026-02-04,9.0,8.3,False,None,10.0,0,0.7
800043,100002,2026-04-13,8.0,8.5,False,None,0.0,0,0.0
800044,100002,2026-04-20,7.5,7.6,False,None,0.0,0,0.0
800045,100002,2026-04-21,9.0,8.7,False,None,5.0,0,0.3
800046,100002,2026-04-22,8.0,7.3,False,None,0.0,0,0.7
800047,100002,2026-04-24,7.5,7.6,False,None,0.0,0,0.0
800048,100002,2026-04-29,8.0,0.0,True,No Show,0.0,1,8.0
800049,100002,2026-04-30,8.0,7.9,False,None,0.0,0,0.1
800050,100003,2025-09-03,8.0,7.7,False,None,30.0,0,0.3
800051,100003,2025-09-17,8.0,7.4,False,None,10.0,0,0.6
800052,100003,2025-09-25,8.0,7.9,False,None,0.0,0,0.1
800053,100003,2025-09-29,8.0,7.1,False,None,10.0,0,0.9
800054,100003,2025-01-10,7.5,7.8,False,None,0.0,0,0.0
800055,100003,2025-10-03,7.5,8.4,False,None,60.0,0,0.0
800056,100003,2025-10-09,8.0,6.9,False,None,0.0,0,1.1
800057,100003,2025-10-20,8.0,7.9,False,None,0.0,0,0.1
800058,100003,2025-10-21,7.5,8.7,False,None,0.0,0,0.0
800059,100003,2025-10-23,8.0,8.1,False,None,0.0,0,0.0
800060,100003,2025-10-29,7.5,9.1,False,None,0.0,0,0.0
800061,100003,2025-10-30,8.0,7.8,False,None,0.0,0,0.2
800062,100003,2025-11-06,8.0,8.5,False,None,0.0,0,0.0
800063,100003,2025-11-18,8.0,7.7,False,None,10.0,0,0.3
800064,100003,2025-11-24,8.0,0.0,True,None,0.0,1,8.0
800065,100003,2025-11-25,8.0,8.4,False,None,0.0,0,0.0
800066,100003,2025-12-05,8.0,7.9,False,None,0.0,0,0.1
800067,100003,2025-12-12,8.0,8.7,False,None,30.0,0,0.0
800068,100003,2025-12-15,9.0,9.0,False,None,0.0,0,0.0
800069,100003,2025-12-16,8.0,8.3,False,None,0.0,0,0.0
800070,100003,2025-12-18,8.0,8.1,False,None,0.0,0,0.0
800071,100003,2025-12-24,8.0,7.8,False,None,10.0,0,0.2
800072,100003,2026-01-14,8.0,7.1,False,None,0.0,0,0.9
800073,100003,2026-02-09,8.0,8.3,False,None,0.0,0,0.0
800074,100003,2026-02-10,7.5,6.7,False,None,0.0,0,0.8
800075,100003,2026-02-11,8.0,8.3,False,None,0.0,0,0.0
800076,100003,2026-02-17,8.0,7.9,False,None,0.0,0,0.1
800077,100003,2026-02-19,9.0,9.0,False,None,0.0,0,0.0
800078,100003,2026-04-02,9.0,10.3,False,None,0.0,0,0.0
800079,100003,2026-04-13,8.0,7.8,False,None,0.0,0,0.2
800080,100003,2026-04-20,9.0,8.9,False,None,0.0,0,0.1
800081,100003,2026-04-21,9.0,9.1,False,None,0.0,0,0.0
800082,100003,2026-04-22,8.0,7.6,False,None,5.0,0,0.4
800083,100003,2026-04-24,9.0,9.6,False,None,0.0,0,0.0
800084,100003,2026-04-29,8.0,8.2,False,None,0.0,0,0.0
800085,100003,2026-04-30,9.0,8.5,False,None,15.0,0,0.5
800086,100004,2025-12-12,8.0,7.9,False,None,30.0,0,0.1
800087,100004,2025-12-15,8.0,7.9,False,None,0.0,0,0.1
800088,100004,2025-12-16,8.0,8.3,False,None,0.0,0,0.0
800089,100004,2025-12-18,8.0,7.5,False,None,0.0,0,0.5
800090,100004,2025-12-24,8.0,0.0,True,Unknown,0.0,1,8.0
800091,100004,2026-01-14,8.0,7.8,False,None,0.0,0,0.2
800092,100004,2026-02-09,7.5,7.7,False,None,0.0,0,0.0
800093,100004,2026-02-10,8.0,8.3,False,None,0.0,0,0.0
800094,100004,2026-02-11,9.0,9.7,False,None,0.0,0,0.0
800095,100004,2026-02-17,9.0,0.0,True,Unknown,0.0,1,9.0
800096,100004,2026-02-19,8.0,8.0,False,None,0.0,0,0.0
800097,100004,2026-04-02,9.0,8.7,False,None,0.0,0,0.3
800098,100004,2026-04-13,8.0,7.6,False,None,10.0,0,0.4
800099,100004,2026-04-20,8.0,7.3,False,None,0.0,0,0.7
800100,100004,2026-04-21,7.5,8.2,False,None,30.0,0,0.0
800101,100004,2026-04-22,7.5,8.1,False,None,0.0,0,0.0
800102,100004,2026-04-24,8.0,8.4,False,None,0.0,0,0.0
800103,100004,2026-04-29,9.0,8.9,False,None,0.0,0,0.1
800104,100004,2026-04-30,8.0,7.5,False,None,0.0,0,0.5
800105,100006,2025-09-03,8.0,8.0,False,None,0.0,0,0.0
800106,100006,2025-09-17,8.0,9.1,False,None,0.0,0,0.0
800107,100006,2025-09-25,9.0,8.9,False,None,0.0,0,0.1
800108,100006,2025-09-29,8.0,8.7,False,None,0.0,0,0.0
800109,100006,2025-10-01,7.5,7.7,False,None,0.0,0,0.0
800110,100006,2025-10-03,8.0,8.5,False,None,0.0,0,0.0
800111,100006,2025-10-09,8.0,7.7,False,None,5.0,0,0.3
800112,100006,2025-10-20,9.0,9.4,False,None,0.0,0,0.0
800113,100006,2025-10-21,8.0,7.2,False,None,0.0,0,0.8
800114,100006,2025-10-23,8.0,8.4,False,None,0.0,0,0.0
800115,100006,2025-10-29,8.0,7.3,False,None,0.0,0,0.7
800116,100006,2025-10-30,8.0,8.7,False,None,45.0,0,0.0
800117,100006,2025-11-06,9.0,8.0,False,None,0.0,0,1.0
800118,100006,2025-11-18,8.0,7.3,False,None,0.0,0,0.7
800119,100006,2025-11-24,8.0,7.9,False,None,5.0,0,0.1
800120,100006,2025-11-25,8.0,8.6,False,None,45.0,0,0.0
800121,100006,2025-12-05,8.0,7.6,False,None,10.0,0,0.4
800122,100006,2025-12-12,8.0,8.9,False,None,45.0,0,0.0
800123,100006,2025-12-15,7.5,7.8,False,None,0.0,0,0.0
800124,100006,2025-12-16,9.0,9.0,False,None,10.0,0,0.0
800125,100006,2025-12-18,9.0,8.8,False,None,0.0,0,0.2
800126,100006,2025-12-24,7.5,7.1,False,None,0.0,0,0.4
800127,100006,2026-01-14,8.0,8.1,False,None,0.0,0,0.0
800128,100006,2026-02-09,7.5,8.4,False,None,0.0,0,0.0
800129,100006,2026-02-10,8.0,7.5,False,None,0.0,0,0.5
800130,100006,2026-02-11,7.5,8.0,False,None,0.0,0,0.0
800131,100006,2026-02-17,8.0,8.5,False,None,0.0,0,0.0
800132,100006,2026-02-19,8.0,7.5,False,None,0.0,0,0.5
800133,100006,2026-04-02,7.5,7.4,False,None,0.0,0,0.1
800134,100006,2026-04-13,7.5,7.0,False,None,0.0,0,0.5
800135,100006,2026-04-20,8.0,0.0,True,Unknown,0.0,1,8.0
800136,100006,2026-04-21,8.0,7.9,False,None,15.0,0,0.1
800137,100006,2026-04-22,8.0,6.8,False,None,0.0,0,1.2
800138,100006,2026-04-24,8.0,0.0,True,Unknown,0.0,1,8.0
800139,100006,2026-04-29,8.0,8.7,False,None,0.0,0,0.0
800140,100006,2026-04-30,8.0,7.2,False,None,0.0,0,0.8
800141,100008,2025-09-03,8.0,8.8,False,None,0.0,0,0.0
800142,100008,2025-09-17,8.0,7.6,False,None,0.0,0,0.4
800143,100008,2025-09-25,8.0,7.8,False,None,0.0,0,0.2
800144,100008,2025-09-29,8.0,7.7,False,None,10.0,0,0.3
800145,100008,2025-01-10,8.0,7.6,False,None,0.0,0,0.4
800146,100008,2025-10-03,9.0,8.4,False,None,0.0,0,0.6
800147,100008,2025-10-09,8.0,8.3,False,None,0.0,0,0.0
800148,100008,2025-10-20,8.0,8.1,False,None,15.0,0,0.0
800149,100008,2025-10-21,9.0,8.8,False,None,0.0,0,0.2
800150,100008,2025-10-23,7.5,7.6,False,None,15.0,0,0.0
800151,100008,2025-10-29,8.0,7.8,False,None,0.0,0,0.2
800152,100008,2025-10-30,8.0,7.7,False,None,10.0,0,0.3
800153,100008,2025-11-06,8.0,7.5,False,None,0.0,0,0.5
800154,100008,2025-11-18,7.5,8.3,False,None,0.0,0,0.0
800155,100008,2025-11-24,8.0,7.6,False,None,0.0,0,0.4
800156,100008,2025-11-25,9.0,8.5,False,None,0.0,0,0.5
800157,100008,2025-12-05,8.0,8.0,False,None,0.0,0,0.0
800158,100008,2025-12-12,9.0,9.4,False,None,0.0,0,0.0
800159,100008,2025-12-15,8.0,7.7,False,None,0.0,0,0.3
800160,100008,2025-12-16,7.5,7.0,False,None,0.0,0,0.5
800161,100008,2025-12-18,8.0,8.6,False,None,0.0,0,0.0
800162,100008,2025-12-24,9.0,0.0,True,Unknown,0.0,1,9.0
800163,100008,2026-01-14,8.0,8.0,False,None,10.0,0,0.0
800164,100008,2026-02-09,8.0,7.6,False,None,5.0,0,0.4
800165,100008,2026-02-10,9.0,9.4,False,None,5.0,0,0.0
800166,100008,2026-02-11,8.0,8.3,False,None,45.0,0,0.0
800167,100008,2026-02-17,8.0,0.0,True,None,0.0,1,8.0
800168,100008,2026-02-19,8.0,8.7,False,None,30.0,0,0.0
800169,100008,2026-04-02,8.0,7.9,False,None,60.0,0,0.1
800170,100008,2026-04-13,8.0,9.2,False,None,0.0,0,0.0
800171,100008,2026-04-20,8.0,7.7,False,None,5.0,0,0.3
800172,100008,2026-04-21,7.5,7.9,False,None,0.0,0,0.0
800173,100008,2026-04-22,8.0,7.8,False,None,5.0,0,0.2
800174,100008,2026-04-24,9.0,8.8,False,None,0.0,0,0.2
800175,100008,2026-04-29,8.0,8.4,False,None,0.0,0,0.0
800176,100008,2026-04-30,8.0,7.3,False,None,15.0,0,0.7
800177,100009,2025-09-03,8.0,7.5,False,None,0.0,0,0.5
800178,100009,2025-09-17,8.0,7.3,False,None,0.0,0,0.7
800179,100009,2025-09-25,7.5,6.8,False,None,0.0,0,0.7
800180,100009,2025-09-29,7.5,7.4,False,None,0.0,0,0.1
800181,100009,2025-10-01,9.0,9.9,False,None,5.0,0,0.0
800182,100009,2025-10-03,9.0,8.9,False,None,5.0,0,0.1
800183,100009,2025-10-09,8.0,8.3,False,None,0.0,0,0.0
800184,100009,2025-10-20,8.0,7.7,False,None,0.0,0,0.3
800185,100009,2025-10-21,8.0,7.9,False,None,0.0,0,0.1
800186,100009,2025-10-23,8.0,7.3,False,None,0.0,0,0.7
800187,100009,2025-10-29,8.0,0.0,True,Personal Leave,0.0,1,8.0
800188,100009,2025-10-30,7.5,7.6,False,None,0.0,0,0.0
800189,100009,2025-11-06,8.0,0.0,True,None,0.0,1,8.0
800190,100009,2025-11-18,7.5,7.8,False,None,0.0,0,0.0
800191,100009,2025-11-24,8.0,8.0,False,None,0.0,0,0.0
800192,100009,2025-11-25,7.5,7.7,False,None,0.0,0,0.0
800193,100009,2025-12-05,8.0,7.3,False,None,0.0,0,0.7
800194,100009,2025-12-12,8.0,7.7,False,None,0.0,0,0.3
800195,100009,2025-12-15,8.0,7.5,False,None,0.0,0,0.5
800196,100009,2025-12-16,9.0,9.3,False,None,5.0,0,0.0
800197,100009,2025-12-18,8.0,8.5,False,None,0.0,0,0.0
800198,100009,2025-12-24,8.0,8.6,False,None,45.0,0,0.0
800199,100009,2026-01-14,8.0,7.7,False,None,0.0,0,0.3
800200,100009,2026-09-02,7.5,6.7,False,None,5.0,0,0.8
800201,100009,2026-02-10,8.0,20.0,False,None,0.0,0,0.0
800202,100009,2026-02-11,8.0,7.6,False,None,5.0,0,0.4
800203,100009,2026-02-17,8.0,7.6,False,None,0.0,0,0.4
800204,100009,2026-02-19,8.0,7.7,False,None,0.0,0,0.3
800205,100009,2026-04-02,8.0,7.2,False,None,5.0,0,0.8
800206,100009,2026-04-13,9.0,7.9,False,None,15.0,0,1.1
800207,100009,2026-04-20,7.5,7.3,False,None,0.0,0,0.2
800208,100009,2026-04-21,9.0,9.5,False,None,0.0,0,0.0
800209,100009,2026-04-22,8.0,8.0,False,None,0.0,0,0.0
800210,100009,2026-04-24,7.5,7.2,False,None,0.0,0,0.3
800211,100009,2026-04-29,7.5,7.1,False,None,5.0,0,0.4
800212,100009,2026-04-30,9.0,0.0,True,Sick Leave,0.0,1,9.0
800213,100010,2025-09-03,8.0,8.0,False,None,0.0,0,0.0
800214,100010,2025-09-17,8.0,8.5,False,None,10.0,0,0.0
800215,100010,2025-09-25,9.0,8.9,False,None,0.0,0,0.1
800216,100010,2025-09-29,8.0,8.0,False,None,0.0,0,0.0
800217,100010,2025-10-01,8.0,0.0,True,None,0.0,1,8.0
800218,100010,2025-10-03,8.0,8.0,False,None,10.0,0,0.0
800219,100010,2025-09-10,9.0,8.6,False,None,0.0,0,0.4
800220,100010,2025-10-20,8.0,7.0,False,None,0.0,0,1.0
800221,100010,2025-10-21,8.0,7.3,False,None,0.0,0,0.7
800222,100010,2025-10-23,8.0,8.9,False,None,0.0,0,0.0
800223,100010,2025-10-29,8.0,7.0,False,None,0.0,0,1.0
800224,100010,2025-10-30,8.0,9.0,False,None,0.0,0,0.0
800225,100010,2025-11-06,7.5,7.7,False,None,5.0,0,0.0
800226,100010,2025-11-18,8.0,8.8,False,None,0.0,0,0.0
800227,100010,2025-11-24,8.0,0.0,True,None,0.0,1,8.0
800228,100010,2025-11-25,9.0,8.5,False,None,0.0,0,0.5
800229,100010,2025-12-05,8.0,8.2,False,None,0.0,0,0.0
800230,100010,2025-12-12,8.0,7.4,False,None,0.0,0,0.6
800231,100010,2025-12-15,8.0,7.4,False,None,0.0,0,0.6
800232,100010,2025-12-16,7.5,7.9,False,None,0.0,0,0.0
800233,100010,2025-12-18,9.0,9.3,False,None,0.0,0,0.0
800234,100010,2025-12-24,8.0,8.7,False,None,0.0,0,0.0
800235,100010,2026-01-14,8.0,9.0,False,None,0.0,0,0.0
800236,100010,2026-09-02,8.0,8.3,False,None,0.0,0,0.0
800237,100010,2026-02-10,9.0,8.4,False,None,0.0,0,0.6
800238,100010,2026-02-11,8.0,8.1,False,None,0.0,0,0.0
800239,100010,2026-02-17,8.0,8.8,False,None,0.0,0,0.0
800240,100010,2026-02-19,8.0,7.4,False,None,0.0,0,0.6
800241,100010,2026-04-02,9.0,9.1,False,None,0.0,0,0.0
800242,100010,2026-04-13,7.5,7.3,False,None,45.0,0,0.2
800243,100010,2026-04-20,8.0,7.9,False,None,0.0,0,0.1
800244,100010,2026-04-21,9.0,9.6,False,None,0.0,0,0.0
800245,100010,2026-04-22,9.0,9.1,False,None,30.0,0,0.0
800246,100010,2026-04-24,8.0,9.4,False,None,0.0,0,0.0
800247,100010,2026-04-29,7.5,7.5,False,None,10.0,0,0.0
800248,100010,2026-04-30,7.5,0.0,True,Unpaid Leave,0.0,1,7.5
800249,100011,2025-09-03,9.0,9.3,False,None,0.0,0,0.0
800250,100011,2025-09-17,9.0,9.1,False,None,0.0,0,0.0
800251,100011,2025-09-25,8.0,8.3,False,None,0.0,0,0.0
800252,100011,2025-09-29,8.0,8.7,False,None,0.0,0,0.0
800253,100011,2025-10-01,8.0,8.8,False,None,0.0,0,0.0
800254,100011,2025-10-03,8.0,7.9,False,None,0.0,0,0.1
800255,100011,2025-10-09,8.0,8.0,False,None,0.0,0,0.0
800256,100011,2025-10-20,8.0,8.0,False,None,0.0,0,0.0
800257,100011,2025-10-21,8.0,8.9,False,None,0.0,0,0.0
800258,100011,2025-10-23,8.0,8.3,False,None,0.0,0,0.0
800259,100011,2025-10-29,8.0,7.9,False,None,5.0,0,0.1
800260,100011,2025-10-30,8.0,8.0,False,None,0.0,0,0.0
800261,100011,2025-06-11,8.0,0.0,True,Personal Leave,0.0,1,8.0
800262,100011,2025-11-18,9.0,9.8,False,None,0.0,0,0.0
800263,100011,2025-11-24,8.0,8.0,False,None,60.0,0,0.0
800264,100011,2025-11-25,8.0,8.1,False,None,15.0,0,0.0
800265,100011,2025-12-05,7.5,7.6,False,None,0.0,0,0.0
800266,100011,2025-12-12,8.0,8.8,False,None,0.0,0,0.0
800267,100011,2025-12-15,8.0,8.1,False,None,15.0,0,0.0
800268,100011,2025-12-16,8.0,7.3,False,None,0.0,0,0.7
800269,100011,2025-12-18,9.0,9.0,False,None,0.0,0,0.0
800270,100011,2025-12-24,9.0,10.0,False,None,0.0,0,0.0
800271,100011,2026-01-14,8.0,8.4,False,None,0.0,0,0.0
800272,100011,2026-02-09,8.0,7.4,False,None,0.0,0,0.6
800273,100011,2026-02-10,8.0,8.0,False,None,0.0,0,0.0
800274,100011,2026-02-11,9.0,8.3,False,None,0.0,0,0.7
800275,100011,2026-02-17,9.0,10.0,False,None,0.0,0,0.0
800276,100011,2026-02-19,7.5,8.0,False,None,0.0,0,0.0
800277,100011,2026-04-02,7.5,7.2,False,None,10.0,0,0.3
800278,100011,2026-04-13,8.0,8.4,False,None,0.0,0,0.0
800279,100011,2026-04-20,8.0,8.4,False,None,0.0,0,0.0
800280,100011,2026-04-21,7.5,7.1,False,None,60.0,0,0.4
800281,100011,2026-04-22,7.5,0.0,True,Unpaid Leave,0.0,1,7.5
800282,100011,2026-04-24,9.0,8.9,False,None,60.0,0,0.1
800283,100011,2026-04-29,9.0,9.4,False,None,0.0,0,0.0
800284,100011,2026-04-30,7.5,6.8,False,None,0.0,0,0.7
800285,100012,2025-09-03,8.0,8.2,False,None,0.0,0,0.0
800286,100012,2025-09-17,8.0,8.3,False,None,0.0,0,0.0
800287,100012,2025-09-25,7.5,7.0,False,None,10.0,0,0.5
800288,100012,2025-09-29,7.5,7.8,False,None,5.0,0,0.0
800289,100012,2025-10-01,8.0,7.7,False,None,0.0,0,0.3
800290,100012,2025-03-10,7.5,7.0,False,None,10.0,0,0.5
800291,100012,2025-10-09,8.0,7.8,False,None,0.0,0,0.2
800292,100012,2025-10-20,9.0,8.8,False,None,0.0,0,0.2
800293,100012,2025-10-21,8.0,8.2,False,None,0.0,0,0.0
800294,100012,2025-10-23,8.0,8.0,False,None,0.0,0,0.0
800295,100012,2025-10-29,9.0,7.8,False,None,0.0,0,1.2
800296,100012,2025-10-30,7.5,7.7,False,None,0.0,0,0.0
800297,100012,2025-11-06,8.0,8.4,False,None,15.0,0,0.0
800298,100012,2025-11-18,8.0,7.7,False,None,5.0,0,0.3
800299,100012,2025-11-24,8.0,7.8,False,None,0.0,0,0.2
800300,100012,2025-11-25,8.0,8.3,False,None,0.0,0,0.0
800301,100012,2025-12-05,7.5,7.4,False,None,0.0,0,0.1
800302,100012,2025-12-12,8.0,8.4,False,None,0.0,0,0.0
800303,100012,2025-12-15,9.0,9.1,False,None,10.0,0,0.0
800304,100012,2025-12-16,8.0,7.7,False,None,30.0,0,0.3
800305,100012,2025-12-18,7.5,7.8,False,None,0.0,0,0.0
800306,100012,2025-12-24,7.5,7.0,False,None,0.0,0,0.5
800307,100012,2026-01-14,9.0,8.5,False,None,10.0,0,0.5
800308,100012,,8.0,8.0,False,None,0.0,0,0.0
800309,100012,2026-10-02,8.0,8.3,False,None,0.0,0,0.0
800310,100012,2026-02-11,8.0,8.8,False,None,0.0,0,0.0
800311,100012,2026-02-17,8.0,8.3,False,None,0.0,0,0.0
800312,100012,2026-02-19,7.5,8.5,False,None,0.0,0,0.0
800313,100012,2026-04-02,7.5,7.6,False,None,0.0,0,0.0
800314,100012,2026-04-13,8.0,8.0,False,None,0.0,0,0.0
800315,100012,2026-04-20,9.0,9.2,False,None,5.0,0,0.0
800316,100012,2026-04-21,9.0,8.7,False,None,0.0,0,0.3
800317,100012,2026-04-22,8.0,9.5,False,None,0.0,0,0.0
800318,100012,2026-04-24,8.0,8.0,False,None,0.0,0,0.0
800319,100012,2026-04-29,7.5,7.5,False,None,0.0,0,0.0
800320,100012,2026-04-30,8.0,7.3,False,None,0.0,0,0.7
800321,100013,2025-09-03,8.0,7.3,False,None,0.0,0,0.7
800322,100013,2025-09-17,7.5,7.4,False,None,0.0,0,0.1
800323,100013,2025-09-25,8.0,7.9,False,None,0.0,0,0.1
800324,100013,2025-09-29,8.0,8.4,False,None,0.0,0,0.0
800325,100013,2025-10-01,8.0,8.1,False,None,10.0,0,0.0
800326,100013,2025-03-10,8.0,7.1,False,None,30.0,0,0.9
800327,100013,2025-10-09,7.5,7.8,False,None,5.0,0,0.0
800328,100013,2025-10-20,8.0,8.2,False,None,0.0,0,0.0
800329,100013,2025-10-21,9.0,9.0,False,None,0.0,0,0.0
800330,100013,2025-10-23,7.5,7.5,False,None,30.0,0,0.0
800331,100013,2025-10-29,8.0,8.4,False,None,0.0,0,0.0
800332,100013,2025-10-30,7.5,6.1,False,None,0.0,0,1.4
800333,100013,2025-11-06,9.0,9.2,False,None,5.0,0,0.0
800334,100013,2025-11-18,9.0,7.9,False,None,0.0,0,1.1
800335,100013,2025-11-24,8.0,8.4,False,None,15.0,0,0.0
800336,100013,2025-11-25,8.0,7.0,False,None,0.0,0,1.0
800337,100013,2025-12-05,7.5,7.9,False,None,45.0,0,0.0
800338,100013,2025-12-12,9.0,9.3,False,None,30.0,0,0.0
800339,100013,2025-12-15,8.0,8.4,False,None,0.0,0,0.0
800340,100013,2025-12-16,8.0,8.6,False,None,5.0,0,0.0
800341,100013,2025-12-18,8.0,8.5,False,None,0.0,0,0.0
800342,100013,2025-12-24,7.5,0.0,True,Personal Leave,0.0,1,7.5
800343,100013,2026-01-14,8.0,7.0,False,None,0.0,0,1.0
800344,100013,2026-02-09,8.0,8.7,False,None,0.0,0,0.0
800345,100013,2026-02-10,9.0,9.4,False,None,0.0,0,0.0
800346,100013,2026-02-11,8.0,7.5,False,None,0.0,0,0.5
800347,100013,2026-02-17,9.0,10.6,False,None,0.0,0,0.0
800348,100013,2026-02-19,8.0,7.4,False,None,0.0,0,0.6
800349,100013,2026-02-04,8.0,6.8,False,None,0.0,0,1.2
800350,100013,2026-04-13,8.0,8.0,False,None,0.0,0,0.0
800351,100013,2026-04-20,8.0,8.2,False,None,15.0,0,0.0
800352,100013,2026-04-21,8.0,7.5,False,None,0.0,0,0.5
800353,100013,2026-04-22,8.0,8.2,False,None,0.0,0,0.0
800354,100013,,8.0,7.7,False,None,0.0,0,0.3
800355,100013,2026-04-29,8.0,9.0,False,None,0.0,0,0.0
800356,100013,2026-04-30,8.0,8.1,False,None,0.0,0,0.0
800357,100014,2025-09-03,8.0,8.5,False,None,0.0,0,0.0
800358,100014,2025-09-17,9.0,8.9,False,None,0.0,0,0.1
800359,100014,2025-09-25,8.0,8.0,False,None,0.0,0,0.0
800360,100014,2025-09-29,9.0,9.1,False,None,0.0,0,0.0
800361,100014,2025-10-01,8.0,8.8,False,None,60.0,0,0.0
800362,100014,2025-10-03,8.0,7.5,False,None,0.0,0,0.5
800363,100014,2025-10-09,8.0,8.3,False,None,0.0,0,0.0
800364,100014,2025-10-20,7.5,7.5,False,None,15.0,0,0.0
800365,100014,2025-10-21,7.5,8.6,False,None,10.0,0,0.0
800366,100014,2025-10-23,9.0,9.9,False,None,0.0,0,0.0
800367,100014,2025-10-29,7.5,7.0,False,None,0.0,0,0.5
800368,100014,2025-10-30,8.0,8.0,False,None,0.0,0,0.0
800369,100014,2025-11-06,8.0,8.3,False,None,0.0,0,0.0
800370,100014,2025-11-18,8.0,8.0,False,None,5.0,0,0.0
800371,100014,2025-11-24,9.0,7.8,False,None,0.0,0,1.2
800372,100014,2025-11-25,9.0,8.9,False,None,60.0,0,0.1
800373,100014,2025-12-05,8.0,8.4,False,None,0.0,0,0.0
800374,100014,2025-12-12,8.0,8.3,False,None,5.0,0,0.0
800375,100014,2025-12-15,9.0,8.7,False,None,0.0,0,0.3
800376,100014,2025-12-16,8.0,8.3,False,None,0.0,0,0.0
800377,100014,2025-12-18,7.5,7.7,False,None,0.0,0,0.0
800378,100014,2025-12-24,7.5,8.3,False,None,5.0,0,0.0
800379,100014,2026-01-14,8.0,7.5,False,None,0.0,0,0.5
800380,100014,2026-02-09,8.0,8.2,False,None,0.0,0,0.0
800381,100014,2026-02-10,7.5,7.1,False,None,0.0,0,0.4
800382,100014,2026-11-02,8.0,8.0,False,None,10.0,0,0.0
800383,100014,2026-02-17,9.0,9.2,False,None,0.0,0,0.0
800384,100014,2026-02-19,7.5,7.5,False,None,0.0,0,0.0
800385,100014,2026-04-02,8.0,8.7,False,None,30.0,0,0.0
800386,100014,2026-04-13,8.0,7.1,False,None,0.0,0,0.9
800387,100014,2026-04-20,8.0,7.8,False,None,0.0,0,0.2
800388,100014,2026-04-21,8.0,8.8,False,None,0.0,0,0.0
800389,100014,2026-04-22,8.0,8.6,False,None,0.0,0,0.0
800390,100014,2026-04-24,8.0,8.0,False,None,0.0,0,0.0
800391,100014,2026-04-29,7.5,7.1,False,None,60.0,0,0.4
800392,100014,2026-04-30,9.0,8.9,False,None,0.0,0,0.1
800393,100016,2025-09-03,7.5,8.3,False,None,0.0,0,0.0
800394,100016,2025-09-17,8.0,8.2,False,None,0.0,0,0.0
800395,100016,2025-09-25,9.0,8.6,False,None,10.0,0,0.4
