survey_id,employee_id,survey_date,satisfaction_score,engagement_score,work_life_balance_score,manager_relationship_score,career_growth_score,compensation_satisfaction_score
900041,100023,2024-05-11,3,4,3,3,3,4
900042,100023,2024-08-24,3,3,4,2,3,3
900043,100024,07/26/2025,2,2,2,,3,2
900044,100024,22-09-2025,2,2,2,2,2,2
900045,100024,2026-02-05,3,3,2,3,2,3
900046,100025,2022/02/09,3,3,3,2,3,2
900047,100025,2022-10-07,3,4,3,3,2,3
900048,100025,2023-01-11,3,3,3,4,,2
900049,100027,2025-10-01,3,3,2,3,3,2
900050,100028,2022-08-13,3,2,2,3,2,3
900051,100028,"Nov 29, 2023",2,,3,4,2,1
900052,100028,2024-09-20,2,2,2,2,3,1
900053,100028,19-05-2025,3,3,3,2,3,2
900054,100030,2023-11-29,4,4,4,5,4,4
900055,100030,2025-07-18,3,3,3,4,3,3
900056,100030,2025-08-30,3,3,3,4,3,3
900057,100031,2026-04-08,3,3,3,4,3,1
900058,100031,2026-04-10,2,3,2,3,1,2
900059,100031,2026-04-18,2,1,3,2,2,2
900060,100031,2026-04-28,2,3,3,3,2,2
900061,100032,2024-08-23,4,4,4,3,4,4
900062,100032,2024-11-17,4,4,4,5,4,4
900063,100032,2025-09-03,4,,4,4,4,4
900064,100032,04/30/2026,4,3,3,4,4,4
900065,100033,"Mar 05, 2024",4,4,5,5,4,3
900066,100033,2025-03-04,4,4,4,4,4,3
900067,100033,2025-09-07,4,4,4,5,4,5
900068,100035,2022-09-11,4,4,5,4,4,4
900069,100035,21-07-2023,4,4,4,4,3,3
900070,100036,09/05/2023,4,4,3,4,3,3
900071,100036,"Feb 15, 2025",3,4,,4,3,3
900072,100036,2025-10-13,4,4,4,4,4,4
900073,100037,11-09-2022,3,3,3,3,3,3
900074,100037,23-04-2023,3,3,3,3,3,2
900075,100037,2025-01-02,3,3,2,3,3,2
900076,100037,2026-03-27,2,3,2,,2,2
900077,100038,2022-05-15,4,3,3,4,3,3
900078,100038,11/24/2023,2,3,2,,3,2
900079,100040,2024-06-04,3,2,3,2,2,1
900080,100041,2024-03-29,2,2,3,2,2,2
900081,100041,2024-12-02,3,3,3,2,3,3
900082,100041,20-03-2025,3,3,3,3,3,
900083,100042,2023-11-02,3,4,3,2,3,4
900084,100044,2026-04-25,4,4,5,4,5,4
900085,100044,2026-04-26,4,3,4,4,4,3
900086,100045,2026-01-29,4,4,4,4,3,4
900087,100045,2026-02-14,4,4,4,5,4,5
900088,100046,"Oct 02, 2023",3,2,2,4,3,3
900089,100046,2025-09-30,3,3,3,2,4,2
900090,100047,2024-04-09,4,4,4,4,4,4
900091,100048,2024-11-20,3,3,4,3,2,2
900092,100048,2025-06-19,4,4,4,4,3,4
900093,100049,2024-08-31,5,4,5,4,4,5
900094,100050,2022-02-04,3,4,2,5,3,3
900095,100050,2022-02-15,4,4,5,4,4,3
900096,100050,2022-10-07,4,3,3,3,4,3
900097,100050,2026-03-22,4,4,4,5,,4
900098,100051,25-03-2024,4,4,3,4,4,4
900099,100051,2024-11-23,4,4,4,3,4,3
900100,100052,2022-06-02,4,4,3,4,4,2
900101,100052,2023-12-27,3,3,3,4,4,4
900102,100052,2025-09-04,4,4,4,5,4,5
900103,100052,2026-03-06,3,3,4,3,3,4
900104,100053,2024-11-15,4,3,3,3,,3
900105,100053,2025-11-07,5,4,5,5,4,4
900106,100054,2023-11-26,4,3,4,5,5,5
900107,100054,2023-12-13,3,3,3,4,3,4
900108,100056,2022-08-26,2,3,3,3,3,2
900109,100056,"Jul 19, 2025",2,2,2,2,2,2
900110,100056,2025-11-08,2,1,2,2,2,1
900111,100057,2026-04-16,3,3,3,3,3,3
900112,100058,2023-02-17,3,3,3,3,4,4
900113,100058,2023-03-06,4,4,4,4,5,4
900114,100058,2023-09-20,4,5,3,4,4,5
900115,100059,17-08-2025,4,3,,4,4,4
900116,100059,2026-03-09,3,3,4,3,3,4
900117,100060,2023-10-25,4,4,5,4,5,4
900118,100060,2024-12-19,4,4,5,4,3,3
900119,100060,2026-03-12,3,4,3,3,4,3
900120,100060,"Apr 17, 2026",3,,3,2,3,2
900121,100061,2022-09-14,3,3,3,2,3,2
900122,100062,"Jan 23, 2022",3,4,3,3,2,3
900123,100062,26-04-2022,4,4,4,4,5,5
900124,100062,2022-05-25,4,,4,3,3,4
900125,100062,2022-10-13,2,3,2,2,2,3
900126,100063,2024-09-01,4,4,4,5,4,4
900127,100063,2025-09-02,4,4,3,4,3,5
900128,100064,2024-04-27,4,4,3,3,4,5
900129,100064,2024-11-19,3,3,3,3,4,4
900130,100064,2024-12-21,4,4,5,4,3,4
900131,100064,"Mar 21, 2026",4,4,4,4,4,4
900132,100065,2026-04-09,3,3,3,2,3,2
900133,100065,"Apr 29, 2026",3,4,4,4,3,3
900134,100065,2026-05-01,2,2,2,2,3,2
900135,100067,08-04-2025,3,3,3,3,3,3
900136,100067,"Apr 29, 2025",3,3,3,3,3,2
900137,100069,11/06/2022,5,5,5,4,4,4
900138,100069,2024/01/30,5,3,5,5,5,5
900139,100069,2024-03-30,4,4,4,4,3,4
900140,100069,2024-04-05,5,5,5,5,4,5
900141,100070,2022-05-30,2,3,3,3,2,2
900142,100070,2023/05/11,3,3,4,3,4,3
900143,100070,2024-03-17,3,3,3,2,3,3
900144,100070,2024-08-15,3,3,3,3,4,3
900145,100071,2023-06-02,4,5,5,5,4,4
900146,100071,24-08-2023,4,3,4,3,4,4
900147,100071,2024-11-12,4,3,4,4,4,4
900148,100071,2025-09-05,5,5,5,4,4,5
900149,100072,2022-08-12,3,3,3,3,2,2
900150,100072,2023-01-28,3,3,3,3,,1
900151,100072,2023-06-02,2,3,3,2,3,2
900152,100072,2023-12-03,2,2,3,3,3,2
900153,100073,2025-08-16,5,5,5,5,5,5
900154,100075,2022-03-01,3,3,2,3,3,2
900155,100075,16-05-2022,3,3,3,3,4,3
900156,100075,2024-02-17,3,3,3,2,2,3
900157,100075,2024-10-03,2,2,2,1,2,3
900158,100076,2025/11/02,5,4,5,5,5,5
900159,100076,"Mar 17, 2026",5,4,5,4,4,5
900160,100077,2022-04-19,3,3,3,3,2,3
900161,100077,01-08-2023,3,3,2,4,2,4
900162,100077,2023-11-05,3,3,2,3,4,3
900163,100078,2022-06-13,3,3,3,3,3,3
900164,100078,2024/09/27,4,4,4,4,3,3
900165,100078,2024-12-30,3,3,4,4,3,
900166,100079,05/01/2025,3,2,3,4,3,3
900167,100080,2024-04-07,2,2,3,3,3,2
900168,100080,2024-09-18,2,2,2,2,2,2
900169,100080,2025-07-07,2,3,3,3,2,2
900170,100081,2023-09-06,3,4,3,4,2,3
900171,100081,08-12-2023,3,2,4,2,3,3
900172,100081,2026-01-15,3,3,3,3,3,3
900173,100082,2022-06-18,5,5,5,5,5,5
900174,100082,07/18/2022,4,4,,,4,5
900175,100082,2023-03-23,4,4,4,4,3,5
900176,100084,2023-10-21,3,3,2,,3,3
900177,100084,2025-06-01,4,4,5,,4,3
900178,100084,2025-08-12,3,3,3,2,3,3
900179,100084,02/08/2026,4,4,4,4,4,4
900180,100085,2024-01-26,4,4,4,4,4,3
900181,100086,2024-04-13,2,2,1,3,2,1
900182,100087,2023-05-29,3,3,4,3,3,3
900183,100088,2022-08-24,2,2,2,3,2,2
900184,100088,2023-08-20,3,4,4,4,2,2
900185,100089,2023-02-16,5,5,5,4,5,4
900186,100089,2023-03-20,4,4,4,3,4,3
900187,100090,2023-07-13,4,4,4,5,5,4
900188,100090,2024-02-17,5,5,5,5,4,4
900189,100090,09/01/2024,4,4,5,5,4,3
900190,100090,2025-04-25,3,4,3,,3,3
900191,100091,"Jun 10, 2024",4,5,4,4,4,4
900192,100092,2023-03-17,6,2,2,3,3,3
900193,100092,11/13/2023,3,3,3,3,3,3
900194,100092,03/25/2024,4,3,4,4,,4
900195,100092,2024-11-16,4,4,5,4,2,4
900196,100093,2026-03-06,3,3,3,3,4,2
900197,100094,07/20/2022,4,4,4,5,3,4
900198,100094,2022-09-19,3,4,3,3,3,3
900199,100095,2024-11-02,4,4,4,3,4,4
900200,100096,2023-03-16,5,5,,4,5,
900201,100096,2024-06-04,4,5,5,5,,5
900202,100096,2024-09-13,4,4,,5,5,5
900203,100096,12/15/2025,5,5,4,5,4,4
900204,100097,2025-06-27,4,4,4,4,3,3
900205,100097,2025-09-17,4,4,4,4,4,4
900206,100098,2025-04-11,3,4,3,3,,4
900207,100098,27-08-2025,3,3,4,3,3,3
900208,100098,2026-01-22,3,3,4,4,3,4
900209,100099,2023-09-10,4,3,3,4,3,2
900210,100100,2023-01-20,3,3,4,2,3,3
900211,100100,2023/02/11,4,4,4,3,4,3
900212,100100,13-01-2024,2,2,1,2,2,2
900213,100102,2022-11-05,3,3,3,3,2,2
900214,100102,"Jun 21, 2024",3,3,3,3,1,2
900215,100103,2022-10-04,3,4,3,3,3,3
900216,100103,2025-03-06,3,3,3,5,4,3
900217,100103,2025-05-14,4,3,4,4,4,3
900218,100104,2022-04-17,2,2,2,3,2,1
900219,100104,05/05/2022,2,1,2,1,1,1
900220,100104,2022-10-28,2,1,2,2,1,1
900221,100105,2023/07/20,3,3,4,2,4,3
900222,100105,2023-07-24,4,4,4,3,4,4
900223,100105,2024-01-15,5,5,5,5,5,5
900224,100105,"Jun 10, 2024",5,4,4,5,5,4
900225,100106,"Sep 13, 2025",5,5,5,5,4,5
900226,100107,2026-01-20,3,4,3,3,4,3
900227,100108,2023-01-03,3,3,3,3,3,2
900228,100108,2023-08-22,3,2,4,3,3,2
900229,100108,2024-09-12,2,2,2,3,2,1
900230,100109,09-01-2024,3,4,4,4,3,3
900231,100109,2025-02-07,3,3,,3,2,3
900232,100110,12-03-2023,3,3,3,3,2,2
900233,100111,2022-03-17,3,4,3,4,3,3
900234,100111,2023-08-01,3,3,4,3,3,3
900235,100111,"Dec 01, 2025",2,2,2,3,2,3
900236,100112,2022-03-31,2,2,2,2,2,2
900237,100112,2024-02-07,3,4,3,2,4,3
900238,100113,2024-11-22,2,2,2,,3,2
900239,100113,"Feb 02, 2025",3,3,2,3,3,3
900240,100113,2025-05-29,3,4,3,4,3,2
900241,100113,"Jul 21, 2025",3,3,3,3,2,2
900242,100114,2022-10-06,3,3,3,3,2,3
900243,100114,2023-08-21,3,3,2,1,3,2
900244,100114,2025-03-24,2,2,2,3,2,2
900245,100114,2025/07/26,2,3,3,3,2,2
900246,100115,2025-02-06,4,3,4,3,3,3
900247,100115,19-04-2025,4,4,4,3,3,4
900248,100115,07/26/2025,4,3,4,2,4,3
900249,100115,2025-08-29,2,2,3,2,1,3
900250,100116,2023/04/26,3,3,3,3,2,2
900251,100117,2023-05-15,3,3,3,3,3,3
900252,100117,2023-07-31,3,3,3,3,2,2
900253,100117,03-08-2025,4,4,4,4,4,4
900254,100118,2025-01-09,4,4,4,4,4,4
900255,100118,2025-05-15,,3,3,4,3,4
900256,100119,12/12/2025,3,2,3,3,,3
900257,100119,2026-04-07,4,4,4,3,4,4
900258,100120,"Feb 12, 2023",4,4,4,4,4,5
900259,100120,2023-10-24,5,5,,,5,4
900260,100120,2025-09-15,4,4,4,4,,3
900261,100121,2023-02-10,3,,3,2,4,2
900262,100121,07/24/2024,4,3,,4,4,3
900263,100121,2026-04-30,4,4,,4,5,4
900264,100122,2025-07-06,3,2,3,3,3,2
900265,100123,2022-10-21,3,2,3,4,3,2
900266,100123,2023/07/06,4,4,5,3,4,4
900267,100124,2022-09-28,3,3,3,5,3,4
900268,100124,2025-07-06,2,2,2,3,2,2
900269,100125,03/12/2025,3,2,4,3,3,2
900270,100126,2022-08-31,4,4,3,4,3,3
900271,100126,2024-08-10,3,3,4,3,3,3
900272,100126,2024-11-12,4,4,4,4,4,4
900273,100127,2022-03-11,3,3,3,3,3,3
900274,100128,28-05-2022,5,4,3,5,5,4
900275,100128,2024-02-22,5,,5,5,4,4
900276,100128,"Nov 27, 2024",4,3,4,5,,3
900277,100129,"Apr 24, 2022",5,5,5,5,4,4
900278,100129,01-07-2022,3,3,3,3,3,2
900279,100129,"Oct 28, 2022",4,4,4,4,5,4
900280,100129,2024-11-30,4,5,5,5,4,3
900281,100130,2025-08-28,3,4,3,3,3,
900282,100131,2022-08-23,5,5,5,5,5,5
900283,100131,2023-07-15,5,5,5,4,5,5
900284,100131,2024-11-14,4,4,4,5,5,
900285,100132,2022-05-28,2,2,2,3,1,2
900286,100132,2025-08-11,3,3,3,4,3,3
900287,100133,2025-09-09,2,2,1,2,,1
900288,100133,2025-09-21,2,2,3,2,2,2
900289,100133,2025-09-30,3,3,3,,3,3
900290,100134,2026-01-22,4,,4,5,4,4
900291,100134,2026-03-07,4,3,3,3,3,4
900292,100134,2026-04-02,2,3,3,2,1,2
900293,100135,2022-08-12,2,2,2,2,1,4
900294,100135,2023-01-07,3,3,4,2,2,3
900295,100135,"Sep 15, 2023",2,2,2,2,2,2
900296,100135,2024-01-11,3,3,3,3,3,2
900297,100136,2023-04-02,2,3,2,3,3,2
900298,100136,2023-08-26,2,1,2,1,2,1
900299,100137,2022-11-11,4,4,4,5,4,4
900300,100137,04-04-2024,4,4,4,4,3,4
900301,100138,10/30/2023,4,4,5,4,4,4
900302,100138,2024/01/23,4,4,4,5,4,4
900303,100139,2024-12-23,3,2,3,2,2,2
900304,100139,"Jan 16, 2025",3,,2,3,2,2
900305,100139,2025-06-07,3,3,3,3,3,3
900306,100139,2025-08-30,4,3,4,3,3,3
900307,100140,07/22/2023,3,3,3,3,2,3
900308,100141,2024-10-31,3,4,3,4,4,3
900309,100142,2022-07-26,3,3,4,3,2,2
900310,100142,2025/01/11,2,3,1,3,2,2
900311,100143,09-05-2025,3,3,3,4,2,1
900312,100144,2026-04-04,4,4,4,4,4,4
900313,100145,2023-12-12,4,4,4,3,4,4
900314,100145,"Jan 08, 2024",3,3,3,4,4,2
900315,100145,2024-08-21,3,2,3,4,3,2
900316,100145,2024-11-12,3,4,4,4,4,3
900317,100146,2024-03-27,2,3,3,,1,2
900318,100146,03/21/2026,2,1,2,1,2,1
900319,100147,2023/06/12,4,4,5,5,4,3
900320,100147,2023-08-16,4,5,4,4,5,4
900321,100147,2024/06/04,4,3,4,4,4,3
900322,100147,01/22/2025,4,3,3,4,3,4
900323,100148,2022-11-11,2,2,2,3,3,
900324,100148,2022-12-02,3,3,3,2,3,3
900325,100148,2024-01-18,3,2,2,3,3,3
900326,100149,12/28/2025,4,4,4,4,4,4
900327,100150,2024-10-03,3,3,3,4,3,4
900328,100150,2026-03-24,3,3,4,3,3,3
900329,100151,2026-02-26,3,,3,3,3,3
900330,100151,2026-03-05,3,3,3,4,3,3
900331,100152,"Nov 24, 2023",3,4,3,3,3,3
900332,100152,2024-06-07,3,3,4,3,3,3
900333,100153,2025-06-21,4,3,4,4,3,4
900334,100153,08/24/2025,3,3,3,3,4,4
900335,100153,2025-08-26,4,3,3,3,4,3
900336,100153,"Dec 23, 2025",3,4,3,4,3,2
900337,100154,"Feb 09, 2022",3,3,3,2,3,3
900338,100154,2022-04-23,2,3,3,3,2,2
900339,100154,2023-03-08,3,3,2,3,2,3
900340,100155,"Mar 10, 2024",4,4,5,4,4,5
900341,100155,2024-07-18,3,,3,3,3,3
900342,100155,18-12-2024,4,4,3,5,4,5
900343,100156,2023-03-24,1,1,1,1,1,2
900344,100156,2023-04-23,2,2,2,3,2,1
900345,100158,2023-11-27,5,5,5,5,5,4
900346,100158,2025-04-15,5,5,5,5,4,4
900347,100158,2025-12-29,4,4,4,4,5,5
900348,100160,2022/01/31,3,3,3,,3,3
900349,100160,2023-06-29,3,4,3,4,3,3
900350,100161,2023-04-05,4,4,4,5,4,5
900351,100161,2025-02-21,4,5,5,4,4,4
900352,100161,2025-04-23,5,5,4,5,5,5
900353,100162,2025/07/09,3,3,4,3,3,3
900354,100162,2025-08-04,2,2,2,2,2,3
900355,100162,2025-09-09,2,2,2,2,3,3
900356,100162,2026-04-08,3,4,2,3,3,2
900357,100163,2022-11-30,2,2,2,2,2,2
900358,100163,2024-09-01,2,2,2,2,2,2
900359,100163,2025-07-19,3,3,2,3,2,2
900360,100164,2022-04-21,3,3,3,3,3,2
900361,100164,2024-09-28,4,3,4,4,4,4
900362,100164,04/11/2025,4,4,3,3,3,3
900363,100164,2025-09-18,3,4,3,4,,2
900364,100165,"Nov 06, 2024",5,5,5,4,4,4
900365,100165,2025-05-12,3,3,4,3,3,3
900366,100166,10/07/2023,3,4,4,3,3,3
900367,100166,2024-05-31,4,3,4,3,4,3
900368,100166,"Aug 29, 2024",4,3,4,3,3,3
900369,100166,2025-01-30,4,,4,3,4,
900370,100167,2022-04-17,4,4,3,5,4,4
900371,100167,2022-06-03,3,3,3,4,4,4
900372,100167,2026-04-01,3,4,3,4,3,3
900373,100168,2024-09-06,5,5,5,5,4,4
900374,100168,19-08-2025,4,4,,4,4,4
900375,100169,2022-02-27,4,4,4,4,3,3
900376,100169,2022-07-06,4,4,4,4,3,3
900377,100169,2023-01-08,4,4,5,4,4,5
900378,100169,2023-07-08,4,4,3,5,5,5
900379,100170,15-09-2024,4,4,2,4,3,4
900380,100170,2024/10/02,3,4,2,3,3,3
900381,100170,2025-05-04,3,3,3,2,3,
900382,100171,2025-07-12,3,3,3,3,3,3
900383,100171,08/08/2025,3,2,2,2,3,3
900384,100171,27-04-2026,2,2,3,2,2,2
900385,100173,08/31/2022,2,3,1,1,2,2
900386,100173,2024-02-06,2,3,2,2,2,2
900387,100173,2024-11-16,2,2,2,2,2,1
900388,100173,2025-11-14,2,1,3,2,2,1
900389,100175,2025-05-29,2,3,2,2,3,2
900390,100175,2025-07-26,2,2,2,2,,2
900391,100176,2023-04-18,3,3,3,3,3,3
900392,100176,2024-05-30,3,4,4,3,2,3
900393,100176,2024-09-25,4,4,3,5,4,3
900394,100176,2024-12-07,3,3,3,3,3,3
900395,100177,2024-12-06,3,3,4,4,4,3
900396,100177,08/25/2025,4,4,4,4,4,4
900397,100177,"Sep 17, 2025",4,3,3,3,4,5
900398,100177,2025-11-20,3,2,2,3,3,2
900399,100180,2022-02-13,3,3,3,4,4,3
900400,100180,09/28/2022,4,3,3,5,4,3
900401,100180,2023/09/24,4,3,,3,4,3
900402,100180,16-09-2025,4,4,4,4,3,4
900403,100182,2024/01/09,2,3,2,3,2,2
900404,100184,2023-01-12,4,4,3,4,4,4
900405,100184,02-02-2023,3,3,3,3,3,3
900406,100184,2023-10-13,3,2,3,3,2,2
900407,100185,2023-06-09,3,3,3,3,2,3
900408,100185,2024-04-22,3,3,3,3,3,3
900409,100185,2026-04-13,3,2,,3,3,4
900410,100186,2025/12/17,5,5,5,5,5,5
900411,100186,2025-12-23,4,4,4,4,5,4
900412,100186,2026-01-10,5,5,4,5,5,5
900413,100187,2022-01-05,3,3,3,4,3,3
900414,100187,2024-01-02,3,3,2,2,3,2
900415,100187,2024-05-06,2,2,2,2,2,3
900416,100188,2024-03-07,4,5,4,4,4,4
900417,100188,2025-12-22,4,4,5,5,5,3
900418,100190,2025-04-14,3,2,4,2,3,4
900419,100191,2022/07/27,4,4,4,4,4,4
900420,100191,2022-12-24,4,3,5,4,,4
900421,100191,2026-01-15,4,4,4,4,3,3
900422,100192,2022-07-26,4,4,3,4,3,4
900423,100192,2023/03/28,3,3,3,3,4,3
900424,100192,07-03-2026,4,4,5,4,4,3
900425,100193,2022-10-23,4,5,4,,,5
900426,100193,2023-08-12,5,5,5,5,5,4
900427,100193,2024-04-12,4,4,4,3,4,5
900428,100194,2022-11-04,4,5,4,4,4,5
900429,100194,2024-08-27,4,4,5,5,4,5
900430,100194,2025/05/15,5,4,5,5,4,
900431,100195,2025-12-30,3,2,2,3,2,2
900432,100196,2022-09-24,3,3,3,3,3,3
900433,100197,2024-06-02,4,4,4,4,4,4
900434,100198,2022-02-24,3,3,3,3,3,2
900435,100198,06/02/2024,0,2,2,3,2,2
900436,100199,2024-07-20,4,4,4,5,3,3
900437,100200,2022-01-02,2,2,2,2,3,2
900438,100200,2023/06/13,2,1,2,2,3,2
900439,100200,2024-03-15,2,2,3,3,3,2
900440,100200,2025-09-20,2,2,1,3,1,2
900441,100201,2023-04-17,3,3,3,4,2,3
900442,100201,2023-06-18,4,4,4,5,4,3
900443,100201,2023-07-25,4,4,5,4,5,
900444,100202,20-10-2025,4,4,,4,3,3
900445,100202,2025-12-14,4,4,4,4,4,4
900446,100202,2026-01-31,4,4,4,4,3,3
900447,100202,2026-03-20,4,4,4,4,4,3
900448,100204,2025-07-02,4,4,,3,3,3
900449,100204,2025-11-29,3,3,3,3,3,3
900450,100204,2026-03-08,4,4,5,3,4,4
900451,100205,14-08-2024,3,2,3,2,2,1
900452,100205,2024-12-11,3,3,2,3,3,2
900453,100206,2023-06-10,3,3,3,3,2,2
900454,100206,2023-09-28,3,3,3,3,4,3
900455,100206,2023-12-18,4,4,4,4,4,4
900456,100206,2024-09-17,3,3,3,4,3,4
900457,100207,2022-09-19,5,5,4,4,4,4
900458,100207,2023-06-20,3,3,3,4,4,3
900459,100207,2023-12-25,4,4,5,4,4,5
900460,100208,2022-04-26,3,3,3,3,,3
900461,100208,2024-02-19,3,3,3,3,3,2
900462,100208,2025-02-07,3,3,2,3,2,3
900463,100208,"Jul 01, 2025",1,2,1,1,1,2
900464,100214,2024-10-08,3,3,3,2,3,1
900465,100214,2026-01-27,3,3,3,4,3,3
900466,100215,05/13/2022,3,3,3,3,3,2
900467,100216,2024-01-15,3,,3,4,3,3
900468,100216,2025-05-24,2,1,2,2,2,2
900469,100216,2026-02-08,3,3,2,2,3,3
900470,100216,2026-04-17,2,2,3,,2,2
900471,100217,2022-09-25,4,5,5,3,5,5
900472,100217,14-08-2025,4,3,4,4,4,4
900473,100218,2024-11-28,4,3,5,4,4,3
900474,100218,2025-07-04,3,4,3,4,3,3
900475,100219,29-06-2025,4,4,4,5,4,4
900476,100219,2025-09-07,4,5,5,4,4,4
900477,100219,2026-02-14,4,4,4,3,3,3
900478,100220,2024-09-15,2,1,1,2,2,2
900479,100220,"Nov 18, 2024",1,1,1,1,1,1
900480,100220,1900-01-01,1,2,2,1,,1
900481,100221,2024-12-05,5,4,4,5,5,5
900482,100221,09/27/2025,3,3,3,,3,3
900483,100222,2023-03-10,4,4,3,4,4,3
900484,100222,2024-09-19,4,5,5,5,4,
900485,100223,05/19/2023,1,1,1,1,1,1
900486,100223,2023-09-22,2,2,1,2,2,3
900487,100224,2025-05-23,2,2,2,2,2,1
900488,100225,2023-03-20,3,3,3,3,3,2
900489,100225,2023-07-22,3,3,3,,3,3
900490,100225,2025-05-03,3,2,3,3,2,2
900491,100225,2025-07-29,3,3,3,4,3,2
900492,100226,2023-06-25,5,5,5,5,5,4
900493,100226,2024-06-18,3,4,3,4,4,3
900494,100226,2026-02-27,4,3,4,3,3,4
900495,100227,2025-01-10,3,4,4,3,3,3
900496,100228,2025-01-04,1,2,1,1,2,1
900497,100229,2023/01/09,5,5,4,4,4,4
900498,100229,2024-03-02,4,4,4,4,4,4
900499,100232,2023-08-01,4,3,4,3,3,4
900500,100232,2024-02-08,4,4,4,4,4,4
900501,100233,"Apr 07, 2024",3,2,3,3,3,3
900502,100233,2024-11-08,2,2,2,2,2,2
900503,100233,"Apr 27, 2026",2,1,2,2,2,2
900504,100234,2023-08-13,3,3,4,2,3,3
900505,100234,2024-04-28,3,3,3,2,3,3
900506,100234,16-08-2024,3,4,3,3,3,3
900507,100235,2023-10-21,4,4,4,3,4,4
900508,100235,2025-01-07,3,3,3,3,3,2
900509,100236,02/17/2022,4,4,,4,4,4
900510,100236,2023-01-19,4,4,3,4,4,3
900511,100236,2025-08-04,4,4,4,4,4,4
900512,100237,2022-09-19,4,4,3,3,4,3
900513,100237,2023-04-25,4,5,4,4,4,5
900514,100237,2023-06-09,4,3,4,4,3,3
900515,100237,2023-10-24,3,4,3,3,,4
900516,100238,2023-05-31,4,4,3,4,3,4
900517,100238,03/11/2024,3,4,3,3,4,3
900518,100238,2024-12-03,3,3,3,3,3,3
900519,100238,2025-08-21,3,4,3,,3,2
900520,100239,2022-07-26,4,,3,4,3,4
900521,100239,2023-02-16,3,3,3,3,3,3
900522,100240,2022-11-20,2,3,2,3,2,1
900523,100240,04/02/2023,3,3,3,2,4,2
900524,100240,2023-04-10,2,3,2,1,2,2
900525,100240,"Apr 11, 2024",2,2,2,3,2,1
900526,100241,2022-03-09,3,2,3,2,3,2
900527,100241,23-12-2024,3,3,3,3,4,4
900528,100241,2025-13-40,3,3,3,4,3,4
900529,100241,2025-07-19,3,3,2,2,4,3
900530,100242,2022-02-16,2,2,2,3,2,2
900531,100242,2022-07-03,3,3,3,3,2,2
900532,100242,2024/01/27,3,3,3,1,2,3
900533,100242,26-09-2024,3,3,2,2,3,2
900534,100243,2023-06-09,4,4,3,3,4,4
900535,100243,09/05/2023,4,5,5,5,4,4
900536,100244,2025-04-17,3,3,2,2,3,2
900537,100245,"Jun 02, 2023",3,3,3,3,4,2
900538,100245,2024-02-20,3,4,3,2,3,3
900539,100245,2024-11-22,3,3,3,4,3,2
900540,100246,"Dec 07, 2022",3,4,,4,4,4
900541,100246,2026-04-13,3,4,4,3,3,3
900542,100248,18-02-2024,4,4,4,3,4,4
900543,100248,2024-06-18,3,3,4,4,4,3
900544,100248,2024-08-08,4,5,3,4,4,4
900545,100249,2022-01-01,2,2,2,2,2,1
900546,100249,2022-01-18,2,2,2,2,2,2
900547,100249,"Nov 24, 2022",2,2,2,2,2,1
900548,100249,2022-12-28,2,2,2,3,2,2
900549,100251,2022-01-17,4,4,4,4,,4
900550,100252,2022-07-08,2,2,3,3,2,3
900551,100252,2025-03-25,2,3,2,2,3,2
