training_id,employee_id,program_name,training_category,start_date,completion_date,completion_status,training_score,training_hours
300085,100024,Manager Coaching Skills,Leadership,2025-09-06,2025-09-16,Completed,83.9,13.0
300086,100024,Power BI Fundamentals,Technical,2026-03-26,,In Progress,,11.4
300087,100024,Advanced Customer Handling,Customer Experience,2025-01-24,24-02-2025,Completed,79.6,10.9
300088,100024,Enterprise Sales Methodology,Sales,09-07-2025,2025-08-07,Completed,79.9,17.1
300089,100024,New Hire Onboarding,Onboarding,2025-12-15,,Complete,57.0,6.8
300090,100025,New Hire Onboarding,Onboarding,2022-09-03,,Assigned,,9.5
300091,100025,Enterprise Sales Methodology,Sales,"Aug 19, 2022",25-09-2022,Completed,76.2,18.8
300092,100025,Manager Coaching Skills,Leadership,2022-09-11,2022-09-14,Completed,76.2,10.5
300093,100025,Cybersecurity Awareness,Compliance,11/26/2022,2022-11-28,Completed,83.6,1.7
300094,100025,Data Privacy and GDPR,Compliance,2021-12-27,2021-12-31,Completed,79.0,3.0
300095,100026,New Hire Onboarding,Onboarding,2025-10-26,20-11-2025,Completed,93.1,8.2
300096,100026,Secure Coding Basics,Technical,2025-10-08,01-11-2025,Completed,71.5,10.0
300097,100026,Data Privacy and GDPR,Compliance,2025-05-31,13-07-2025,Completed,72.9,2.7
300098,100027,New Hire Onboarding,Onboarding,2023-01-15,,In Progress,,8.5
300099,100027,Data Privacy and GDPR,Compliance,2025-12-06,,Dropped,,3.0
300100,100027,Enterprise Sales Methodology,Sales,2026-04-10,,Assigned,,16.7
300101,100027,Cybersecurity Awareness,Compliance,2025-10-15,10/19/2025,Completed,70.6,2.1
300102,100027,Product Discovery Basics,Product,2023-04-07,2023-04-20,Completed,76.8,13.5
300103,100027,Secure Coding Basics,Technical,2024-11-16,2024-11-28,Done,84.7,10.2
300104,100028,New Hire Onboarding,Onboarding,2025-03-29,"Apr 26, 2025",Completed,89.8,7.6
300105,100028,Manager Coaching Skills,Leadership,2026/01/10,2026-02-19,Completed,75.9,13.6
300106,100028,Advanced Customer Handling,Customer Experience,2024-05-13,05/17/2024,Completed,85.4,12.0
300107,100028,Enterprise Sales Methodology,Sales,2021-03-25,,Completed,100.0,14.4
300108,100028,New Hire Onboarding,Onboarding,2024-09-28,2024-09-30,Completed,57.9,8.8
300109,100029,Cybersecurity Awareness,Compliance,2023-11-27,2024-01-08,Complete,71.8,1.6
300110,100029,Leadership Essentials,Leadership,2025-05-20,,In Progress,,22.3
300111,100029,Secure Coding Basics,Technical,19-05-2023,2023-05-27,Completed,96.0,8.5
300112,100029,Advanced Customer Handling,Customer Experience,2024-05-14,,Not Started,,12.0
300113,100029,Data Privacy and GDPR,Compliance,2024-01-09,2024-02-19,Complete,78.3,2.6
300114,100030,New Hire Onboarding,Onboarding,2024-08-26,2024-09-11,Completed,75.1,10.0
300115,100030,Enterprise Sales Methodology,Sales,"Aug 20, 2021",2021/10/03,Completed,100.0,15.0
300116,100030,Leadership Essentials,Leadership,2025-01-09,,Assigned,,19.0
300117,100031,New Hire Onboarding,Onboarding,2026-04-29,04-06-2026,Completed,74.6,7.9
300118,100031,Secure Coding Basics,Technical,2026-03-31,,In Progress,,11.0
300119,100031,Manager Coaching Skills,Leadership,"Mar 03, 2026",2026/03/08,Completed,84.3,18.2
300120,100031,Enterprise Sales Methodology,Sales,04/08/2026,2026-05-12,Completed,67.1,12.4
300121,100031,SQL for Business Analysts,Technical,2026-04-13,,In Progress,,16.0
300122,100032,Conflict Resolution,Soft Skills,2022-08-22,2022-09-16,Completed,80.9,6.9
300123,100032,Data Privacy and GDPR,Compliance,2023-11-02,11/05/2023,Completed,76.8,2.9
300124,100032,Enterprise Sales Methodology,Sales,2026-04-17,2026-04-26,Completed,70.0,14.0
300125,100032,New Hire Onboarding,Onboarding,12-12-2023,2024-01-14,Completed,100.0,7.7
300126,100032,Power BI Fundamentals,Technical,2025-01-11,2025-02-03,Completed,87.0,14.3
300127,100032,Secure Coding Basics,Technical,07/02/2021,08/16/2021,Completed,84.4,7.2
300128,100032,Leadership Essentials,Leadership,2021-04-06,,Assigned,,20.8
300129,100033,New Hire Onboarding,Onboarding,2023-05-17,2023-06-21,Completed,91.5,6.7
300130,100033,Secure Coding Basics,Technical,12/23/2022,,In Progress,,9.1
300131,100033,Power BI Fundamentals,Technical,2021-03-31,2021-04-19,Done,99.5,15.4
300132,100034,New Hire Onboarding,Onboarding,2021-03-28,2021-04-22,Completed,77.5,6.0
300133,100034,Secure Coding Basics,Technical,2021-09-04,2021/10/11,Done,81.2,10.2
300134,100034,Leadership Essentials,Leadership,2021-08-06,,Dropped,,23.5
300135,100035,Secure Coding Basics,Technical,2022-02-23,2022-03-15,Done,76.6,9.6
300136,100035,Leadership Essentials,Leadership,2021-07-12,,Dropped,,18.6
300137,100035,Cybersecurity Awareness,Compliance,02/07/2021,2021-03-21,Completed,98.2,2.1
300138,100035,Data Privacy and GDPR,Compliance,2023-09-27,2023-11-11,Completed,85.8,2.6
300139,100035,Power BI Fundamentals,Technical,2023-07-16,"Aug 15, 2023",Completed,60.8,11.9
300140,100035,Advanced Customer Handling,Customer Experience,26-09-2022,,In Progress,,11.0
300141,100035,Enterprise Sales Methodology,Sales,2022-12-15,,Not Started,,16.4
300142,100036,New Hire Onboarding,Onboarding,01/27/2022,2022-02-11,Completed,73.1,8.7
300143,100036,Product Discovery Basics,Product,2024-01-11,,In Progress,,9.7
300144,100037,New Hire Onboarding,Onboarding,04/02/2021,,Assigned,,8.8
300145,100038,New Hire Onboarding,Onboarding,2024-09-22,09/28/2024,Completed,91.8,4.4
300146,100038,Power BI Fundamentals,Technical,2023-10-16,,Dropped,,14.7
300147,100038,Conflict Resolution,Soft Skills,2022-07-07,07/08/2022,Completed,80.4,5.8
300148,100038,Leadership Essentials,Leadership,2024-10-16,2024-11-03,Completed,89.3,19.9
300149,100038,SQL for Business Analysts,Technical,2024-06-26,2024-07-02,Completed,84.5,19.9
300150,100039,New Hire Onboarding,Onboarding,2021-01-01,2021-02-02,Completed,94.6,8.2
300151,100039,Secure Coding Basics,Technical,01-01-2021,2021-02-04,Completed,78.5,9.2
300152,100040,Cybersecurity Awareness,Compliance,2025-08-07,2025-08-17,Completed,67.0,1.8
300153,100040,SQL for Business Analysts,Technical,2025/06/15,2025-07-23,Completed,78.6,16.1
300154,100040,Conflict Resolution,Soft Skills,2022-10-14,2022-11-18,Completed,71.0,4.9
300155,100040,Power BI Fundamentals,Technical,2022/06/29,,Assigned,,13.1
300156,100040,Product Discovery Basics,Product,11/28/2024,,In Progress,,9.8
300157,100040,Leadership Essentials,Leadership,31-03-2025,28-04-2025,Completed,62.5,21.0
300158,100040,Manager Coaching Skills,Leadership,2022-05-26,2022-05-31,Completed,63.6,19.2
300159,100041,Manager Coaching Skills,Leadership,2026-02-02,2026-02-19,Complete,72.1,14.9
300160,100041,Secure Coding Basics,Technical,2025-10-11,,Not Started,,12.9
300161,100041,Leadership Essentials,Leadership,"Jan 28, 2024",2024-02-08,Completed,66.2,16.8
300162,100041,SQL for Business Analysts,Technical,2025-03-07,,In Progress,,14.8
300163,100041,New Hire Onboarding,Onboarding,01/30/2026,2026-03-08,Completed,70.6,6.6
300164,100042,New Hire Onboarding,Onboarding,2024-11-13,,Completed,51.7,6.8
300165,100042,Power BI Fundamentals,Technical,2023-04-21,,In Progress,,13.9
300166,100042,Advanced Customer Handling,Customer Experience,2024-09-11,10/08/2024,Completed,80.1,13.3
300167,100042,Product Discovery Basics,Product,15-09-2022,2022-09-18,Completed,58.9,7.6
300168,100042,Secure Coding Basics,Technical,2024-12-01,2024-12-16,Done,69.8,8.9
300169,100042,SQL for Business Analysts,Technical,"Sep 23, 2021",,Completed,93.3,13.7
300170,100042,Enterprise Sales Methodology,Sales,2021-01-25,11-03-2021,Completed,67.7,19.7
300171,100043,New Hire Onboarding,Onboarding,01/01/2021,06-02-2021,Completed,73.6,7.7
300172,100043,Product Discovery Basics,Product,"Jan 01, 2021",2021-02-15,Completed,91.6,8.6
300173,100043,New Hire Onboarding,Onboarding,2021-01-01,01/27/2021,Completed,100.0,6.2
300174,100043,SQL for Business Analysts,Technical,2021-01-01,,Not Started,,18.7
300175,100043,Enterprise Sales Methodology,Sales,2021-01-01,,Assigned,,10.6
300176,100043,Leadership Essentials,Leadership,01-01-2021,2021-01-25,Completed,58.6,19.6
300177,100044,New Hire Onboarding,Onboarding,2026-04-29,2026-04-30,Completed,86.0,7.3
300178,100044,Secure Coding Basics,Technical,2026-03-14,,Not Started,,12.0
300179,100044,New Hire Onboarding,Onboarding,2026-02-13,2026-03-27,Complete,68.0,9.1
300180,100044,Conflict Resolution,Soft Skills,2026-03-31,,In Progress,,7.4
300181,100044,Advanced Customer Handling,Customer Experience,04/19/2026,2026-05-11,Completed,63.1,11.0
300182,100045,New Hire Onboarding,Onboarding,03/15/2026,,Completed,100.0,8.2
300183,100045,New Hire Onboarding,Onboarding,2026-01-29,,Completed,64.9,7.5
300184,100045,Advanced Customer Handling,Customer Experience,2025-12-03,13-01-2026,Completed,84.3,12.7
300185,100045,Leadership Essentials,Leadership,2025-11-03,,Dropped,,20.1
300186,100046,Manager Coaching Skills,Leadership,07/06/2023,,In Progress,,16.1
300187,100046,SQL for Business Analysts,Technical,2022/03/27,2022/05/05,Completed,77.4,24.8
300188,100046,Advanced Customer Handling,Customer Experience,2023-04-18,,Not Started,,9.3
300189,100046,Data Privacy and GDPR,Compliance,11/28/2025,2025-12-20,Completed,99.4,2.0
300190,100046,Power BI Fundamentals,Technical,2025-01-09,,In Progress,,13.4
300191,100046,New Hire Onboarding,Onboarding,2022-03-12,"Apr 01, 2022",Completed,86.4,7.9
300192,100046,Conflict Resolution,Soft Skills,03/29/2022,,In Progress,,5.3
300193,100047,New Hire Onboarding,Onboarding,31/31/2024,,Complete,94.6,8.5
300194,100047,Enterprise Sales Methodology,Sales,2024-05-14,2024-05-19,Completed,81.7,15.0
300195,100047,Conflict Resolution,Soft Skills,2022-02-18,,In Progress,,6.2
300196,100047,Cybersecurity Awareness,Compliance,09/07/2023,2023/09/15,Completed,69.5,1.9
300197,100048,New Hire Onboarding,Onboarding,04-03-2025,2025/03/11,Complete,54.0,9.5
300198,100048,Cybersecurity Awareness,Compliance,2025-10-22,,In Progress,,2.0
300199,100049,Power BI Fundamentals,Technical,2026-03-04,2026-04-12,Done,73.6,14.9
300200,100049,Secure Coding Basics,Technical,20-03-2026,,Dropped,,7.0
300201,100049,Manager Coaching Skills,Leadership,2024-06-14,,In Progress,,20.8
300202,100049,Leadership Essentials,Leadership,2025-01-19,,Assigned,,25.1
300203,100049,Conflict Resolution,Soft Skills,2026-02-27,2026-03-14,Completed,60.9,6.4
300204,100049,SQL for Business Analysts,Technical,2024-03-15,2024-04-02,Completed,72.9,14.3
300205,100050,New Hire Onboarding,Onboarding,2021-11-11,12/19/2021,Complete,55.8,7.6
300206,100050,Manager Coaching Skills,Leadership,2024-04-19,,Not Started,,20.1
300207,100050,Data Privacy and GDPR,Compliance,01-05-2021,2021-05-14,Completed,89.4,4.3
300208,100051,New Hire Onboarding,Onboarding,2024-02-23,2024-03-03,Done,77.3,8.8
300209,100051,New Hire Onboarding,Onboarding,05/05/2024,,Assigned,,6.2
300210,100051,Data Privacy and GDPR,Compliance,2024-07-24,2024/07/26,Completed,64.3,2.6
300211,100051,Power BI Fundamentals,Technical,2024-11-26,,Completed,89.7,17.8
300212,100051,Conflict Resolution,Soft Skills,2025-05-11,2025-06-04,Complete,86.8,7.1
300213,100051,Product Discovery Basics,Product,"Oct 16, 2024",2024-11-19,Completed,48.8,9.5
300214,100052,Enterprise Sales Methodology,Sales,2022-04-28,,Completed,77.0,18.3
300215,100053,New Hire Onboarding,Onboarding,2023-09-24,2023-10-16,Completed,90.7,7.5
300216,100053,Secure Coding Basics,Technical,2022-06-05,,In Progress,,10.2
300217,100053,Advanced Customer Handling,Customer Experience,2025-09-14,,Not Started,,12.7
300218,100053,Leadership Essentials,Leadership,20-02-2024,2024-03-05,Complete,76.9,17.0
300219,100053,SQL for Business Analysts,Technical,03/26/2022,03-05-2022,Completed,58.7,14.0
300220,100054,New Hire Onboarding,Onboarding,2023-05-13,,Completed,67.5,8.7
300221,100054,Power BI Fundamentals,Technical,2024-02-24,,In Progress,,16.1
300222,100054,New Hire Onboarding,Onboarding,2023-09-27,2023-11-10,Completed,,8.7
300223,100054,SQL for Business Analysts,Technical,10-04-2024,2024-05-13,Complete,100.0,13.7
300224,100055,New Hire Onboarding,Onboarding,2023-01-22,2023-02-01,Completed,72.6,7.1
300225,100055,New Hire Onboarding,Onboarding,20-01-2021,,In Progress,,7.5
300226,100056,New Hire Onboarding,Onboarding,2025-10-19,2025-11-28,Complete,80.9,7.0
300227,100056,Leadership Essentials,Leadership,2023-06-05,2023-06-27,Completed,73.9,28.7
300228,100056,SQL for Business Analysts,Technical,2023-07-10,2023-08-23,Completed,67.3,15.4
300229,100056,Advanced Customer Handling,Customer Experience,2023-08-19,09/11/2023,Completed,81.6,11.0
300230,100056,Data Privacy and GDPR,Compliance,03/11/2024,,In Progress,,3.1
300231,100056,Power BI Fundamentals,Technical,2024-02-19,2024/03/04,Completed,66.5,13.0
300232,100056,Manager Coaching Skills,Leadership,2021-08-01,2021-08-11,Completed,90.4,18.9
300233,100057,New Hire Onboarding,Onboarding,"Dec 12, 2025",2025-12-19,Completed,69.4,11.0
300234,100057,Leadership Essentials,Leadership,11/22/2025,12/17/2025,Completed,77.1,13.9
300235,100057,New Hire Onboarding,Onboarding,07/01/2025,2025-08-12,Completed,57.5,7.8
300236,100057,Power BI Fundamentals,Technical,2026-01-08,2026-02-21,Completed,78.2,14.1
300237,100057,Enterprise Sales Methodology,Sales,01/15/2026,,In Progress,,16.0
300238,100057,Manager Coaching Skills,Leadership,2026-01-15,,Assigned,,11.3
300239,100058,New Hire Onboarding,Onboarding,2024-01-13,,Completed,90.4,8.6
300240,100059,New Hire Onboarding,Onboarding,2025/03/15,"Apr 13, 2025",Completed,69.9,8.1
300241,100060,New Hire Onboarding,Onboarding,2022-03-21,"Apr 27, 2022",Complete,80.7,5.0
300242,100060,Manager Coaching Skills,Leadership,2022-07-09,,Not Started,,14.6
300243,100061,New Hire Onboarding,Onboarding,11/25/2024,2024-12-04,Completed,80.8,8.1
300244,100062,New Hire Onboarding,Onboarding,2021-12-25,"Dec 31, 2021",Completed,71.7,9.6
300245,100062,Manager Coaching Skills,Leadership,04/27/2021,2021-05-10,Completed,76.8,19.1
300246,100062,Conflict Resolution,Soft Skills,2022-01-28,08-03-2022,Completed,83.8,6.4
300247,100063,Advanced Customer Handling,Customer Experience,2021-08-21,"Sep 29, 2021",Completed,66.8,11.1
300248,100063,SQL for Business Analysts,Technical,2022-03-20,,In Progress,,19.5
300249,100063,Manager Coaching Skills,Leadership,2026-02-14,2026-03-20,Completed,90.8,18.7
300250,100063,Leadership Essentials,Leadership,2023-08-16,,Completed,69.6,15.0
300251,100064,New Hire Onboarding,Onboarding,11/12/2021,,Completed,97.6,5.4
300252,100064,Product Discovery Basics,Product,2021-01-04,2021-01-13,Completed,94.8,10.0
300253,100064,Manager Coaching Skills,Leadership,2025-07-21,2025-07-24,Completed,58.9,21.5
300254,100065,New Hire Onboarding,Onboarding,2026-03-11,2026-04-01,Completed,88.8,9.4
300255,100065,Manager Coaching Skills,Leadership,2026-02-13,2026-03-22,Completed,,17.3
300256,100065,New Hire Onboarding,Onboarding,02/18/2026,,Done,69.8,8.2
300257,100065,Cybersecurity Awareness,Compliance,17-03-2026,2026-04-13,Complete,84.4,1.4
300258,100065,Product Discovery Basics,Product,2026-03-09,2026-03-11,Completed,89.6,8.8
300259,100065,Conflict Resolution,Soft Skills,2026/04/20,08-05-2026,Completed,78.8,7.3
300260,100065,Secure Coding Basics,Technical,2026-02-25,2026-04-06,Completed,69.7,10.6
300261,100066,New Hire Onboarding,Onboarding,2021-01-01,,Assigned,,9.4
300262,100066,Power BI Fundamentals,Technical,2021-01-01,2021-01-06,Done,80.0,10.9
300263,100066,Manager Coaching Skills,Leadership,01-01-2021,2021-01-29,Completed,100.0,16.5
300264,100067,New Hire Onboarding,Onboarding,2024-05-28,,Not Started,,10.7
300265,100067,Product Discovery Basics,Product,2025-12-31,26-01-2026,Completed,125.0,12.7
300266,100067,Power BI Fundamentals,Technical,2025-05-05,,In Progress,,16.4
300267,100067,Secure Coding Basics,Technical,2026-04-10,2026-05-11,Complete,80.6,8.7
300268,100067,Data Privacy and GDPR,Compliance,2023-06-23,,In Progress,,3.5
300269,100067,New Hire Onboarding,Onboarding,2023-09-20,2023-09-25,Completed,90.4,6.4
300270,100067,Advanced Customer Handling,Customer Experience,2025-06-15,,In Progress,,13.1
300271,100068,New Hire Onboarding,Onboarding,2025-05-05,2025-06-12,Completed,82.5,8.6
300272,100068,Data Privacy and GDPR,Compliance,2022-03-15,,Dropped,,3.4
300273,100069,New Hire Onboarding,Onboarding,2023-04-03,12-05-2023,Completed,86.8,9.1
300274,100069,Data Privacy and GDPR,Compliance,2022-11-03,2022-11-08,Completed,100.0,2.7
300275,100069,Manager Coaching Skills,Leadership,2024-10-11,,In Progress,,11.4
300276,100069,Product Discovery Basics,Product,2022-09-29,,Completed,76.6,7.7
300277,100069,Manager Coaching Skills,Leadership,2023-08-09,,Not Started,,9.9
300278,100070,New Hire Onboarding,Onboarding,13-05-2025,"Jun 13, 2025",Completed,89.9,6.2
300279,100070,Product Discovery Basics,Product,2023-04-26,,Dropped,,10.9
300280,100070,Power BI Fundamentals,Technical,2023-12-24,,Not Started,,13.0
300281,100070,Secure Coding Basics,Technical,"Jan 31, 2022",03/17/2022,Completed,93.5,10.3
300282,100071,New Hire Onboarding,Onboarding,2023-05-31,,In Progress,,7.8
300283,100071,Power BI Fundamentals,Technical,2024-01-10,01/28/2024,Completed,65.3,12.2
300284,100071,Secure Coding Basics,Technical,01/05/2025,2025-01-17,Complete,70.5,10.0
300285,100072,Leadership Essentials,Leadership,2023-07-19,,In Progress,,18.6
300286,100073,Secure Coding Basics,Technical,09/23/2024,,Dropped,,10.6
300287,100073,Conflict Resolution,Soft Skills,06/26/2025,2025-07-09,Completed,100.0,6.9
300288,100073,Product Discovery Basics,Product,23-07-2025,2025/08/17,Completed,76.3,12.0
300289,100073,Power BI Fundamentals,Technical,2025-03-12,2025-04-26,Completed,74.2,9.2
300290,100074,New Hire Onboarding,Onboarding,2021/01/01,,In Progress,,9.3
300291,100074,Secure Coding Basics,Technical,2021-01-01,"Jan 10, 2021",Completed,78.2,6.1
300292,100074,New Hire Onboarding,Onboarding,2021-01-01,2021-01-10,Completed,70.3,8.4
300293,100074,Advanced Customer Handling,Customer Experience,2021-01-01,,In Progress,,15.3
300294,100074,Data Privacy and GDPR,Compliance,"Jan 01, 2021",2021-02-15,Completed,87.8,2.5
300295,100074,Leadership Essentials,Leadership,2021-01-01,,Completed,63.7,15.2
300296,100074,Enterprise Sales Methodology,Sales,01/01/2021,,Not Started,,12.0
300297,100075,New Hire Onboarding,Onboarding,2024-05-09,"May 20, 2024",Completed,66.9,8.9
300298,100076,Conflict Resolution,Soft Skills,2025-04-02,"Apr 11, 2025",Completed,83.2,6.5
300299,100076,SQL for Business Analysts,Technical,2025-03-27,2025/03/30,Completed,76.2,17.8
300300,100076,Leadership Essentials,Leadership,2024-11-03,12/12/2024,Completed,81.7,18.4
300301,100076,Manager Coaching Skills,Leadership,2025-03-15,05-04-2025,Completed,76.1,17.3
300302,100076,Advanced Customer Handling,Customer Experience,2025/09/13,,In Progress,,9.9
300303,100077,New Hire Onboarding,Onboarding,2024-09-06,28-09-2024,Completed,85.2,6.9
300304,100077,Data Privacy and GDPR,Compliance,2024-01-29,2024-03-05,Completed,68.2,2.6
300305,100077,Cybersecurity Awareness,Compliance,2022-07-20,2022-08-31,Complete,83.8,2.2
300306,100077,SQL for Business Analysts,Technical,2023-04-18,2023-05-11,Done,84.4,19.2
300307,100077,Product Discovery Basics,Product,08-09-2023,,Dropped,,10.4
300308,100077,Conflict Resolution,Soft Skills,2024-06-25,2024-07-25,Completed,82.1,5.9
