review_id,employee_id,review_date,performance_score,manager_score,goals_met_percentage,promotion_recommended,reviewer_id
700165,100068,2022-01-07,3.56,2.64,53.3,0,100059
700166,100069,2021-08-14,3.26,3.40,80.6,0,100021
700167,100069,2022-05-07,3.52,4.05,66.9,No,100021
700168,100069,"Jul 30, 2022",4.09,3.88,80.5,No,100021
700169,100070,2022-06-12,4.34,3.49,100.3,No,100056
700170,100070,2023-05-02,4.66,5.00,87.1,Yes,100056
700171,100071,2023-10-23,3.62,4.11,88.3,No,100064
700172,100071,"Jun 10, 2024",3.43,3.84,55.8,0,100064
700173,100071,2025-04-21,3.53,3.84,58.8,No,100064
700174,100071,2025-07-30,3.41,3.25,89.6,0,100064
700175,100072,2023-12-20,4.77,4.43,102.3,FALSE,100030
700176,100073,2026-02-28,4.76,4.55,84.0,1,100021
700177,100075,2023-09-01,2.87,3.02,54.1,0,100059
700178,100076,2024-11-05,3.10,2.86,77.2,No,100003
700179,100076,2025-02-02,2.65,2.36,41.7,No,100003
700180,100076,2025-10-30,3.03,3.02,63.5,0,100003
700181,100077,2023-07-27,3.07,3.14,53.7,0,100025
700182,100078,"Jul 06, 2021",3.24,3.50,66.4,No,100073
700183,100078,2022-06-14,3.07,3.43,68.6,FALSE,100073
700184,100078,"Mar 20, 2024",3.80,3.12,86.8,FALSE,100073
700185,100078,2026/01/13,3.63,3.07,66.6,FALSE,100073
700186,100079,2024-11-26,2.89,2.91,73.7,FALSE,100057
700187,100079,2026-01-02,2.69,2.19,54.5,FALSE,100057
700188,100079,2026-04-09,3.38,3.44,52.2,0,100057
700189,100080,15-06-2021,3.39,2.88,61.1,FALSE,100059
700190,100080,2026-03-04,3.69,4.24,88.2,0,100059
700191,100081,2024-05-12,3.63,3.40,83.3,No,100002
700192,100082,2021-05-26,3.56,3.61,71.1,FALSE,100016
700193,100084,2022-06-07,3.48,3.34,72.2,No,100056
700194,100084,2023-08-18,2.84,2.36,55.9,FALSE,100056
700195,100084,2024-12-21,3.97,2.99,80.2,0,100056
700196,100085,2021-03-23,4.09,4.93,92.0,TRUE,100059
700197,100085,2022-05-08,3.95,3.95,70.9,Yes,100059
700198,100085,03/13/2023,3.92,4.26,76.8,0,100059
700199,100085,2023-07-17,3.93,3.93,79.9,0,100059
700200,100086,2023-10-30,3.74,3.48,83.1,No,100022
700201,100086,2024-10-29,3.54,2.55,44.9,No,100022
700202,100087,TBD,3.05,2.90,67.9,FALSE,100063
700203,100087,08/09/2025,3.24,2.62,79.5,FALSE,100063
700204,100087,2025-09-18,2.97,2.77,46.1,0,100063
700205,100087,11/09/2025,2.48,2.29,70.4,FALSE,100063
700206,100088,27-03-2023,3.73,3.69,94.1,No,100013
700207,100088,2024-07-18,3.97,3.27,87.2,0,100013
700208,100089,02-03-2022,3.00,3.62,70.4,FALSE,100635
700209,100089,2022-10-09,3.56,3.53,86.5,0,100815
700210,100089,2025-07-25,2.75,2.42,47.1,No,100777
700211,100090,2021-03-23,4.09,3.68,93.1,0,100039
700212,100091,"Jul 13, 2023",4.24,4.04,65.7,No,100063
700213,100091,12/12/2025,4.11,3.30,85.8,0,100063
700214,100092,2022-02-18,4.20,3.75,83.9,Yes,100025
700215,100092,2022-06-19,3.93,2.96,89.5,No,100025
700216,100092,12/24/2025,4.29,4.42,82.5,0,100025
700217,100093,2022-05-12,3.56,3.01,67.2,0,100022
700218,100093,2023-10-15,3.50,4.04,67.7,0,100022
700219,100094,2022-03-06,2.62,2.62,45.0,0,100022
700220,100095,09-03-2023,3.34,3.41,70.0,FALSE,100055
700221,100096,2024-05-23,3.64,2.37,65.0,FALSE,100022
700222,100096,2024-05-24,3.76,3.42,71.0,FALSE,100022
700223,100096,2025-09-30,3.46,3.00,68.3,No,100022
700224,100097,2025-10-02,3.52,3.51,71.6,No,100055
700225,100097,2026-01-05,3.08,2.29,67.5,FALSE,100055
700226,100097,2026-02-14,3.37,3.77,51.9,No,100055
700227,100098,2024-08-06,3.84,4.11,85.2,No,100187
700228,100098,2024-10-27,3.81,3.44,88.0,FALSE,100065
700229,100099,2021-08-25,2.14,1.73,42.1,0,100059
700230,100099,2021-09-07,2.92,2.66,63.4,0,100059
700231,100099,2023-12-06,2.77,3.13,54.2,0,100059
700232,100099,2026-04-03,3.21,2.66,60.9,FALSE,100059
700233,100100,2022-03-30,4.51,5.00,101.0,0,100016
700234,100100,2022-09-11,4.98,4.92,92.4,0,100016
700235,100101,2025-05-20,4.04,4.31,67.5,TRUE,100083
700236,100102,2025-01-10,3.99,3.64,74.7,1,100091
700237,100103,05/21/2021,3.73,3.25,70.7,No,100022
700238,100103,2023-05-03,3.87,4.43,75.2,Yes,100022
700239,100104,"Jan 31, 2022",4.86,4.87,106.1,FALSE,100056
700240,100105,11/07/2024,3.05,2.76,51.0,No,100069
700241,100105,2025-10-13,4.23,4.63,88.5,FALSE,100069
700242,100105,2026-01-26,3.03,2.65,75.6,No,100069
700243,100106,2025-02-14,3.67,3.70,64.1,0,100053
700244,100107,2025-09-23,2.37,1.81,79.9,0,100030
700245,100108,2025-06-02,3.70,2.99,87.0,FALSE,100083
700246,100109,2024-02-15,2.71,2.71,45.7,0,100016
700247,100109,09/10/2025,2.57,2.49,44.9,FALSE,100016
700248,100109,09/20/2025,3.13,3.47,42.7,FALSE,100016
700249,100110,2022-10-27,3.48,3.37,64.4,FALSE,101811
700250,100111,2021-10-24,2.95,2.88,72.5,FALSE,100474
700251,100112,11/05/2023,3.57,3.68,71.6,FALSE,100063
700252,100112,2024-11-21,3.96,4.24,90.7,TRUE,100063
700253,100112,2024-12-05,3.72,3.74,65.7,No,100063
700254,100113,2025-05-13,2.53,2.47,37.6,0,100056
700255,100114,06/03/2023,3.18,3.36,49.8,0,100997
700256,100114,2025-09-04,3.64,3.85,91.1,No,101687
700257,100114,2025-10-27,3.54,3.18,58.5,0,101362
700258,100114,2026-03-09,3.90,3.23,109.0,0,100258
700259,100115,2025-05-11,3.79,4.00,81.6,FALSE,100018
700260,100115,2025-11-20,3.58,2.94,60.4,FALSE,100018
700261,100115,2026-03-07,2.97,2.48,57.8,FALSE,100018
700262,100115,03/14/2026,3.86,4.41,72.8,TRUE,100018
700263,100116,2023-04-23,4.38,3.84,62.7,Yes,100010
700264,100116,2024/09/28,3.94,4.12,79.1,1,100010
700265,100116,2024-11-10,4.92,5.00,82.3,FALSE,100010
700266,100117,2023-11-09,3.07,2.97,34.3,0,100056
700267,100117,2025/06/10,2.90,2.71,70.9,No,100056
700268,100118,2024-07-05,2.57,2.07,42.7,No,100478
700269,100118,2024-08-20,3.01,3.28,39.8,0,100440
700270,100118,2025-07-31,3.04,2.43,67.9,No,100454
700271,100118,2025-08-26,3.68,3.62,100.3,FALSE,100311
700272,100119,2025-08-10,3.38,2.93,85.8,0,100083
700273,100120,2022-10-29,3.01,2.14,57.9,0,100056
700274,100120,2026-02-24,3.60,3.92,69.7,No,100056
700275,100121,2022-05-16,3.43,3.30,70.5,0,100116
700276,100122,2024-04-14,3.94,4.03,82.5,Yes,100115
700277,100122,2025-04-18,4.37,4.00,116.5,FALSE,100115
700278,100122,2025-05-02,4.39,4.84,82.7,0,100115
700279,100123,2022-06-08,3.89,3.28,,TRUE,100102
700280,100123,2024-03-19,4.21,4.31,101.6,TRUE,100102
700281,100124,2021-11-12,3.91,3.53,80.1,Yes,100088
700282,100124,2025-09-02,3.07,3.61,41.8,0,100088
700283,100124,"Sep 02, 2025",3.77,2.81,100.0,No,100088
700284,100125,10/31/2024,3.55,2.63,87.9,0,100083
700285,100126,"Mar 05, 2021",3.35,3.42,66.9,No,100091
700286,100126,2021-05-16,2.49,,28.9,No,100091
700287,100126,28-04-2022,3.42,2.25,58.5,No,100091
700288,100127,2022-08-31,4.50,4.99,104.0,0,100089
700289,100128,2021-10-14,1.49,1.38,20.0,0,100088
700290,100128,10-12-2021,2.29,1.94,,FALSE,100088
700291,100128,2025-03-26,2.32,2.15,53.6,0,100088
700292,100128,2026-04-13,1.72,1.19,24.8,No,100088
700293,100129,2022-07-29,3.72,3.77,88.0,FALSE,100018
700294,100129,2024-07-09,4.37,4.39,91.3,Yes,100018
700295,100130,2022-07-29,2.96,3.42,77.2,FALSE,100112
700296,100130,16-03-2023,2.81,2.00,64.5,FALSE,100112
700297,100131,03-01-2022,4.21,4.18,46.0,No,100016
700298,100131,03/23/2022,4.21,4.02,94.4,0,100016
700299,100131,2023-03-24,4.27,4.09,77.1,No,100016
700300,100131,2023/07/15,3.76,3.80,70.5,FALSE,100016
700301,100132,11/14/2025,3.29,3.66,62.5,No,100079
700302,100133,2026-04-29,2.86,2.67,44.3,FALSE,100108
700303,100134,2026-03-22,3.86,3.81,82.4,TRUE,100016
700304,100134,2026-04-04,3.38,3.21,80.1,FALSE,100016
700305,100134,2026-04-05,4.10,4.04,73.1,Yes,100016
700306,100134,2026-04-28,4.00,4.12,72.0,FALSE,100016
700307,100135,2023-10-25,2.80,2.42,51.9,No,100088
700308,100135,2023-10-26,3.17,3.09,46.3,No,100088
700309,100135,"Nov 24, 2025",3.18,2.98,68.1,FALSE,100088
700310,100136,2021-11-17,2.81,2.51,68.4,0,100056
700311,100136,2022/01/25,2.74,2.11,39.5,FALSE,100056
700312,100136,2024-09-30,-1,3.99,72.3,FALSE,100056
700313,100136,2025-06-09,2.95,2.19,71.8,0,100056
700314,100137,"May 02, 2021",1.78,1.00,42.7,FALSE,100051
700315,100137,2021-08-23,1.60,1.05,44.0,0,100051
700316,100137,2023-03-23,2.56,2.18,,No,100051
700317,100138,05/03/2023,4.25,3.70,76.9,FALSE,100135
700318,100138,14-09-2024,3.60,3.63,58.5,0,100135
700319,100139,"Mar 24, 2026",4.05,3.14,78.7,1,100640
700320,100140,2023-09-14,4.60,4.78,95.3,1,100023
700321,100141,2024-03-07,3.58,3.52,84.5,0,100025
700322,100141,2024-03-31,3.72,3.55,95.7,No,100025
700323,100141,2024-10-29,3.74,2.58,69.6,FALSE,100025
700324,100141,2026-02-13,3.69,4.23,69.7,0,100025
700325,100142,06/15/2022,3.93,4.47,94.2,TRUE,100064
700326,100142,"Mar 23, 2023",3.63,3.61,66.3,FALSE,100064
700327,100142,06/11/2024,3.54,3.86,84.2,FALSE,100064
700328,100143,2022-04-15,4.72,4.52,105.8,1,100016
700329,100143,2023-05-19,4.48,4.41,78.9,Yes,100016
700330,100143,0000-00-00,4.39,3.98,80.6,No,100016
700331,100143,2025-07-16,4.52,3.35,92.2,1,100016
700332,100144,2021-12-29,3.81,3.54,57.8,1,100091
700333,100144,2022-03-23,3.23,4.02,70.0,No,100091
700334,100144,2025-05-25,3.61,3.05,,No,100091
700335,100144,2025-12-24,4.01,3.94,82.3,0,100091
700336,100145,2024-07-29,3.17,2.95,68.7,0,100055
700337,100145,04-09-2024,2.97,2.89,56.6,FALSE,100055
700338,100145,2024-11-15,2.95,2.31,57.2,0,100055
700339,100145,2026-03-27,2.87,2.62,60.6,0,100055
700340,100146,19-05-2023,3.61,3.04,79.5,0,100039
700341,100146,2025-02-09,3.33,3.62,37.2,FALSE,100039
700342,100146,2025-08-04,3.75,3.71,73.9,No,100039
700343,100146,2026-02-22,3.63,4.03,68.9,FALSE,100039
700344,100147,2021-08-31,3.77,4.03,70.4,FALSE,100002
700345,100147,10/25/2022,4.21,4.33,93.4,TRUE,100002
700346,100148,2023-09-01,2.72,2.73,62.0,No,100083
700347,100148,2024-08-23,3.16,3.02,67.0,0,100083
700348,100149,"Dec 31, 2024",3.03,3.02,69.6,0,100023
700349,100149,"Aug 25, 2025",3.25,3.51,58.7,No,100023
700350,100149,2025/09/02,3.27,2.31,72.6,FALSE,100023
700351,100149,2025-12-22,3.60,3.43,68.6,No,100023
700352,100150,26-01-2026,3.95,3.94,89.7,Yes,100064
700353,100150,17-03-2026,3.66,3.52,64.8,0,100064
700354,100151,"Jun 27, 2025",2.79,,62.7,No,100123
700355,100151,2025-13-40,1.99,1.94,42.9,FALSE,100123
700356,100151,2025/12/16,2.76,1.98,67.2,No,100123
700357,100152,2024-04-26,3.70,3.79,69.8,No,100115
700358,100152,2024-10-31,3.67,3.43,73.3,FALSE,100115
700359,100152,2024-11-19,3.45,3.33,77.1,No,100115
700360,100153,10/19/2024,4.03,4.29,67.0,0,101722
700361,100153,06/10/2025,3.90,3.90,82.6,FALSE,101119
700362,100154,01-09-2021,4.79,5.00,80.2,1,100146
700363,100154,2021-10-08,4.44,4.43,83.6,0,100146
700364,100154,2023-05-01,4.47,4.05,81.3,No,100146
700365,100155,2025/02/03,4.92,4.53,91.4,FALSE,100016
700366,100156,01/31/2023,4.21,4.53,88.1,FALSE,100133
700367,100158,2021-07-23,2.93,2.33,66.3,No,101533
700368,100158,2022-04-27,3.33,3.78,54.8,FALSE,101735
700369,100158,05-01-2024,3.26,3.50,67.0,0,101491
700370,100159,"Jan 27, 2023",2.80,3.23,46.5,No,100091
700371,100159,12/19/2025,3.05,3.76,67.6,0,100091
700372,100160,2023-09-21,4.21,4.21,65.8,TRUE,100025
700373,100161,22-07-2021,1.84,1.49,20.0,0,100039
700374,100161,2026-01-05,1.82,1.18,36.0,0,100039
700375,100162,2025-05-22,2.78,2.11,72.9,0,100140
700376,100162,2025-09-05,3.44,2.99,94.5,FALSE,100140
700377,100162,2025-10-16,3.39,3.09,49.0,FALSE,100140
700378,100163,2023-12-12,2.79,2.05,72.0,FALSE,100024
700379,100164,2023-12-18,3.74,4.22,69.1,0,100156
700380,100164,2024-10-18,4.07,4.24,91.8,1,100156
700381,100165,2025-09-29,3.73,3.46,75.5,0,100163
700382,100165,"Mar 30, 2026",,3.49,73.8,Yes,100163
700383,100166,07-05-2024,2.99,2.47,61.0,No,100051
700384,100166,16-02-2025,3.60,3.56,59.3,0,100051
700385,100166,03-03-2026,3.00,3.08,50.6,FALSE,100051
700386,100167,2022-06-15,4.09,4.48,85.8,Yes,100078
700387,100167,2024/04/23,3.92,4.04,69.4,0,100078
700388,100167,2026-01-15,3.29,3.94,87.4,No,100078
700389,100168,"Jun 27, 2022",3.64,2.95,76.5,FALSE,100083
700390,100169,2022-09-30,1.47,1.00,26.4,No,100018
700391,100169,2026-03-27,1.95,1.00,20.0,FALSE,100018
700392,100170,13-06-2025,2.25,1.49,41.7,FALSE,100018
700393,100171,2022-06-29,2.87,2.24,57.6,0,100059
700394,100171,2022-08-17,2.60,2.77,76.9,0,100059
700395,100171,2024-12-26,2.55,2.22,45.7,No,100059
700396,100171,06-04-2026,2.18,2.62,20.0,0,100059
700397,100172,2021-12-22,2.77,3.54,43.1,0,100150
700398,100172,2025-01-31,2.76,2.94,31.9,FALSE,100150
700399,100173,2025-07-25,4.33,5.00,77.6,0,100115
700400,100175,15-11-2021,3.52,,56.3,0,100088
700401,100175,"Aug 27, 2025",3.51,3.47,49.7,FALSE,100088
700402,100176,2021-10-13,3.82,4.21,80.4,No,100122
700403,100176,2021/12/17,3.75,3.26,81.6,0,100122
700404,100176,2021-12-27,3.83,3.93,78.2,Yes,100122
700405,100176,2024-04-18,3.25,3.10,71.8,No,100122
700406,100177,2024-08-29,2.81,,67.1,FALSE,100030
700407,100177,28-09-2024,3.73,3.62,66.3,0,100030
700408,100177,2025-06-07,3.97,3.58,88.3,FALSE,100030
700409,100177,2026-03-18,3.54,3.85,88.0,No,100030
700410,100178,2022/03/23,3.95,3.94,55.5,FALSE,100073
700411,100178,2023-01-01,3.83,3.74,86.4,Yes,100073
700412,100178,2023-11-23,3.43,3.33,94.5,FALSE,100073
700413,100178,"Dec 04, 2023",3.73,3.91,,FALSE,100073
700414,100179,2021-11-11,3.90,4.05,85.9,FALSE,100088
700415,100179,2023-02-21,3.65,2.89,58.4,No,100088
700416,100179,04-04-2026,3.48,3.67,65.1,No,100088
700417,100180,2021-07-06,4.17,3.68,77.0,No,100056
700418,100180,2022-02-22,3.48,3.32,94.0,FALSE,100056
700419,100181,2021-02-20,3.26,2.98,72.7,FALSE,101465
700420,100181,2022-12-02,3.39,4.35,59.4,No,100449
700421,100181,2023-03-21,3.63,3.51,73.0,FALSE,100844
700422,100181,2025-10-11,3.77,4.35,75.3,0,100446
700423,100182,2022-07-15,2.40,1.57,25.4,0,100108
700424,100182,2023-08-19,2.41,2.75,55.7,FALSE,100108
700425,100182,2025-02-23,1.89,2.50,29.1,FALSE,100108
700426,100183,2022-04-16,3.80,4.10,55.7,TRUE,100059
700427,100183,2023-01-01,3.57,3.76,71.7,0,100059
700428,100184,2023-05-18,4.78,4.43,85.2,0,100168
700429,100184,2024-01-24,4.90,4.81,100.9,TRUE,100168
700430,100184,2025-08-24,4.68,4.67,98.7,FALSE,100168
700431,100185,2023-04-29,3.33,3.13,53.5,No,100160
700432,100186,2026-02-28,4.48,4.42,73.4,TRUE,100023
700433,100186,2026-03-27,4.88,5.00,87.3,No,100023
700434,100186,2026-03-27,4.90,4.75,117.8,Yes,100023
700435,100187,"Jun 16, 2024",2.67,3.04,50.5,No,100016
700436,100188,14-08-2022,4.85,4.69,89.5,1,100021
700437,100188,2025-09-30,4.59,4.83,102.0,Yes,100021
700438,100189,2022-05-08,3.60,3.64,69.4,FALSE,100154
700439,100189,2024-02-13,3.94,4.22,67.9,TRUE,100154
700440,100189,12-10-2024,3.48,3.13,69.9,No,100154
700441,100190,2024-12-29,4.19,3.37,63.9,0,100163
700442,100190,"Jan 01, 2025",2.99,2.93,67.5,FALSE,100163
700443,100190,2025-03-23,3.11,3.47,69.5,0,100163
