history_id,employee_id,department_id,job_role_id,start_date,end_date,change_reason
600057,100049,3,110,2023-08-29,,Original Assignment
600058,100050,1,101,"Oct 31, 2016",,Original Assignment
600059,100051,7,123,2023-12-26,2025-03-03,
600060,100051,10,134,03/04/2025,,Career Growth
600061,100052,2,106,2020/12/08,,Original Assignment
600062,100053,4,115,2018/05/28,,Original Assignment
600063,100054,2,105,2023-02-09,2024-08-09,Original Assignment
600064,100055,3,112,2017-07-29,2024-01-15,Original Assignment
600065,100056,7,125,2020-04-10,,Original Assignment
600066,100057,3,111,2025/06/07,,Original Assignment
600067,100058,2,106,2017-05-25,,Original Assignment
600068,100059,2,107,2024-12-19,2026-04-03,Original Assignment
600069,100060,1,101,2019-03-23,,Original Assignment
600070,100061,2,105,2014-03-17,,Original Assignment
600071,100062,1,101,2019-07-26,12/18/2022,Original Assignment
600072,100063,6,122,2018-11-25,,Original Assignment
600073,100064,3,111,2015-04-18,,Original Assignment
600074,100065,1,101,2026-02-04,,Original Assignment
600075,100066,1,101,2015-02-03,15-05-2018,Original Assignment
600076,100067,1,101,2023-02-27,,Original Assignment
600077,100068,2,105,"Jun 20, 2021",,Original Assignment
600078,100069,3,112,2019/11/07,,Original Assignment
600079,100070,7,123,2017/01/31,2025-09-13,Original Assignment
600080,100071,3,110,2023-02-09,,Original Assignment
600081,100072,8,128,04/15/2020,2024-02-12,Original Assignment
600082,100073,3,111,2024-02-08,,Original Assignment
600083,100074,1,101,2014-08-04,2019/10/06,Original Assignment
600084,100075,2,106,2017-01-14,,Original Assignment
600085,100076,9,129,2024/05/09,,Original Assignment
600086,100077,1,101,2021-12-18,,Original Assignment
600087,100078,3,111,2018-08-22,,Original Assignment
600088,100079,3,112,2024-01-31,,Original Assignment
600089,100080,2,105,2017-01-02,,Original Assignment
600090,100081,5,118,28-04-2023,,Original Assignment
600091,100082,6,120,2019-07-21,2025-01-02,
600092,100082,2,106,2025-01-03,,Manager Request
600093,100083,1,104,2016-02-20,2019-01-31,Original Assignment
600094,100084,7,124,2022-01-13,,Original Assignment
600095,100085,2,106,07-11-2015,,Original Assignment
600096,100086,1,101,2017-03-16,,Original Assignment
600097,100087,1,104,2018-03-26,02/01/2022,Original Assignment
600098,100087,6,121,02/02/2022,,Promotion
600099,100088,4,116,2020-06-04,,Original Assignment
600100,100089,1,102,2017-12-09,,Original Assignment
600101,100090,1,101,08/02/2016,,Original Assignment
600102,100091,6,121,01-05-2020,,Original Assignment
600103,100092,1,101,24-11-2020,2026-03-17,Original Assignment
600104,100093,1,101,2016/06/11,,Original Assignment
600105,100094,1,101,2019-08-09,2023-04-01,Original Assignment
600106,100095,3,110,2020-04-11,,Original Assignment
600107,100096,7,123,2018-11-30,2025/07/10,Initial Hire
600108,100096,1,101,2025-07-11,,Manager Request
600109,100097,3,110,2025-01-15,,Original Assignment
600110,100098,7,124,2023-10-19,,Original Assignment
600111,100099,2,105,2019-05-04,,Original Assignment
600112,100100,2,105,2014-06-14,,Original Assignment
600113,100101,1,101,04-01-2025,,Original Assignment
600114,100102,6,122,2017-05-23,,Original Assignment
600115,100103,1,101,2018-04-28,,Original Assignment
600116,100104,7,124,2020-06-01,23-04-2023,Original Assignment
600117,100105,3,109,2023-05-08,,Original Assignment
600118,100106,4,113,2022-11-26,,Original Assignment
600119,100107,8,128,2024-08-19,2026-02-11,Original Assignment
600120,100108,1,102,2020-09-13,,Original Assignment
600121,100109,2,106,01/23/2018,,Original Assignment
600122,100110,10,133,2017-05-20,2020-07-24,Initial Hire
600123,100110,1,101,2020-07-25,2023-03-18,Lateral Transfer
600124,100111,4,114,2014-05-27,,Original Assignment
600125,100112,6,122,2018-09-27,,Original Assignment
600126,100113,7,123,2023-05-25,2026-02-06,Original Assignment
600127,100114,1,101,22-08-2020,,Original Assignment
600128,100115,7,125,2024-09-22,,Original Assignment
600129,100116,10,134,09-01-2019,,Original Assignment
600130,100117,7,124,2023-01-17,2026-01-28,Original Assignment
600131,100118,1,101,2024-02-25,2025-08-26,Original Assignment
600132,100119,1,101,2025-03-10,,Original Assignment
600133,100120,5,119,2021-01-15,,Original Assignment
600134,100121,10,134,2017-08-11,,Original Assignment
600135,100122,7,125,2023-12-09,,Original Assignment
600136,100123,6,122,2015-02-21,,Original Assignment
600137,100124,4,116,2016-07-28,,Original Assignment
600138,100125,1,102,2015-06-21,,Original Assignment
600139,100126,6,122,2015-06-03,,Original Assignment
600140,100127,9,129,10/06/2016,2018-11-09,
600141,100127,1,101,2018-11-10,08/30/2023,Promotion
600142,100128,4,114,05/24/2020,,Original Assignment
600143,100129,7,123,2020-04-17,,Original Assignment
600144,100130,2,106,20-09-2017,2022-08-12,Original Assignment
600145,100130,6,120,2022-08-13,,Department Transfer
600146,100131,2,105,11/25/2017,,Original Assignment
600147,100132,3,112,2018-09-23,,Original Assignment
600148,100133,1,103,2025-06-16,,Original Assignment
600149,100134,2,108,2025-11-19,,Original Assignment
600150,100135,4,116,2022-03-15,,Original Assignment
600151,100136,7,124,2016-01-17,,Original Assignment
600152,100137,8,126,2015-12-13,"Nov 24, 2017",
600153,100137,10,133,25-11-2017,,Promotion
600154,100138,5,118,2019-08-12,,Original Assignment
600155,100139,2,106,08-09-2024,,Original Assignment
600156,100140,3,111,2020-02-29,25-11-2023,Original Assignment
600157,100141,1,101,"Jul 05, 2023",,Original Assignment
600158,100142,5,119,2019-09-15,2025-05-06,Original Assignment
600159,100142,3,109,2025-05-07,,Lateral Transfer
600160,100143,4,113,2021-07-26,2023-10-31,Original Assignment
600161,100143,2,108,2023-11-01,,Promotion
600162,100144,6,122,2014-08-04,,Original Assignment
600163,100145,1,102,2023-10-04,"Dec 04, 2025",Initial Hire
600164,100145,3,111,05-12-2025,,Manager Request
600165,100146,1,104,2022-11-08,,Original Assignment
600166,100147,5,119,2016-10-21,,Original Assignment
600167,100148,1,101,2014-10-02,,Original Assignment
600168,100149,9,130,2024-08-29,2025-03-23,
600169,100149,5,117,2025-03-24,,Lateral Transfer
600170,100150,3,112,2023-10-25,,Original Assignment
600171,100151,6,120,2025-02-27,2026-04-02,Original Assignment
600172,100152,7,124,2023/05/01,2025-05-01,Original Assignment
600173,100153,10,134,2023-12-09,2024-07-09,
600174,100153,9,130,2024-07-10,,Department Transfer
600175,100154,1,103,2021-01-23,"Dec 10, 2023",Original Assignment
600176,100155,2,105,2023-09-28,,Original Assignment
600177,100156,1,104,2019-11-21,2024-05-05,Original Assignment
600178,100157,9,129,2015-01-03,2018/01/19,Original Assignment
600179,100158,1,101,2020-02-01,,Original Assignment
600180,100159,5,118,2021-10-11,,Original Assignment
600181,100160,1,102,2016-12-15,,Original Assignment
600182,100161,1,103,2018-02-22,,Original Assignment
600183,100162,5,118,2024-12-27,2026-04-13,Original Assignment
600184,100163,3,112,2020-05-31,,Original Assignment
600185,100164,1,104,2016-10-09,,Original Assignment
600186,100165,3,112,2024/04/15,,Original Assignment
600187,100166,10,132,2023-05-09,,Original Assignment
600188,100167,3,111,2015-12-20,,Original Assignment
600189,100168,1,102,2018-10-06,,Original Assignment
600190,100169,7,124,2015-04-04,,Original Assignment
600191,100170,2,107,2024-02-20,2025-05-24,Original Assignment
600192,100170,7,124,2025-05-25,,Career Growth
600193,100171,2,106,12/15/2015,,Original Assignment
600194,100172,3,109,2014-08-26,,Original Assignment
600195,100173,7,124,2017-03-23,,Original Assignment
600196,100174,2,108,2015-06-26,2017-07-16,Original Assignment
600197,100175,4,116,16-04-2017,,Original Assignment
600198,100176,7,124,"Apr 30, 2020",,Original Assignment
600199,100177,8,128,2024-03-24,,Original Assignment
600200,100178,3,109,2020-04-08,,Original Assignment
600201,100179,4,115,2015-02-27,,Original Assignment
600202,100180,8,127,2017-06-16,2025-12-14,
600203,100180,7,124,15-12-2025,,Manager Request
600204,100181,1,103,2014-12-03,,Original Assignment
600205,100182,1,101,2019-08-26,,Original Assignment
600206,100183,2,107,2015-05-27,,Original Assignment
600207,100184,1,103,2022/10/04,,Original Assignment
600208,100185,7,125,2018-07-22,2023-12-20,Initial Hire
600209,100185,1,101,2023-12-21,,Department Transfer
600210,100186,3,110,2025-09-25,2026-04-06,Original Assignment
600211,100187,2,106,2017-01-30,,Original Assignment
600212,100188,3,112,2020-01-29,,Original Assignment
600213,100189,1,101,2017-12-15,,Original Assignment
600214,100190,3,109,2024-07-25,2025-07-10,Original Assignment
600215,100191,3,112,2018-11-09,,Original Assignment
600216,100192,2,106,2022-01-15,,Original Assignment
600217,100193,3,111,03/26/2015,,Original Assignment
600218,100194,3,109,2021/09/29,,Original Assignment
600219,100195,9,131,2023-05-06,,Original Assignment
600220,100196,2,106,2021-12-02,,Original Assignment
600221,100197,1,103,02-07-2017,,Original Assignment
600222,100198,1,104,07/04/2014,,Original Assignment
600223,100199,8,126,2023-07-05,2025-02-03,Initial Hire
600224,100199,5,118,04-02-2025,,Lateral Transfer
600225,100200,3,112,2020-10-25,,Original Assignment
600226,100201,1,101,10/28/2019,2025/04/11,Original Assignment
600227,100202,2,105,2024-11-16,,Original Assignment
600228,100203,6,120,2019-01-31,06-09-2022,Initial Hire
600229,100203,2,105,2022-09-07,11/04/2025,Career Growth
600230,100204,7,123,2025-03-25,,Original Assignment
600231,100205,1,101,2024-06-13,"Jul 19, 2025",Original Assignment
600232,100206,5,117,2022-12-26,,Original Assignment
600233,100207,1,101,2016-09-27,,Original Assignment
600234,100208,2,107,09/02/2016,,Original Assignment
600235,100209,8,127,2014-08-19,2017-05-31,Original Assignment
600236,100209,3,110,2017-06-01,2019-07-31,Promotion
600237,100210,3,111,2022-06-22,,Original Assignment
600238,100211,3,110,2025-11-29,,Original Assignment
600239,100212,1,101,09/18/2025,,Original Assignment
600240,100213,4,113,2017-12-12,2021-10-29,Original Assignment
600241,100214,1,101,2022-09-30,2024-11-10,
600242,100214,7,124,2024-11-11,,Lateral Transfer
600243,100215,3,111,2019-09-04,2022-06-17,Original Assignment
600244,100216,5,119,2017-08-06,,Original Assignment
600245,100217,1,103,2019-11-06,,Original Assignment
600246,100218,7,123,2024-03-05,,Original Assignment
600247,100219,10,133,2021-04-02,,Original Assignment
600248,100220,1,103,2024-07-01,2025-08-15,Original Assignment
600249,100221,1,101,2023-10-16,,Original Assignment
600250,100222,2,105,2022-11-04,,Original Assignment
600251,100223,7,124,2022-12-12,2023-07-05,Initial Hire
600252,100223,1,101,2023-07-06,2024-12-25,Department Transfer
600253,100224,9,131,24-06-2017,,Original Assignment
600254,100225,6,121,2016-07-22,,Original Assignment
600255,100226,7,125,2023-02-01,,Original Assignment
600256,100227,7,124,2014-06-10,,Original Assignment
600257,100228,1,101,2024-08-13,10/19/2025,Original Assignment
600258,100229,7,123,2016-04-06,,Original Assignment
600259,100230,7,123,2023-10-27,,Original Assignment
600260,100231,3,109,2020-06-07,,Original Assignment
600261,100232,1,104,2015-05-19,2017-11-04,Original Assignment
600262,100232,2,105,2017-11-05,2024-07-04,Promotion
600263,100233,8,126,2018-06-05,,Original Assignment
600264,100234,3,109,2020-09-06,,Original Assignment
600265,100235,1,101,2023/03/30,,Original Assignment
600266,100236,3,111,2017-07-08,2026-02-12,Initial Hire
600267,100236,9,130,2026-02-13,,Career Growth
600268,100237,3,111,2020-12-12,2024-03-19,Original Assignment
600269,100238,1,101,2015-11-29,,Original Assignment
600270,100239,10,134,2016/07/28,,Original Assignment
600271,100240,3,112,2021-02-20,,Original Assignment
600272,100241,4,114,06/27/2020,,Original Assignment
600273,100242,10,134,2019-11-12,,Original Assignment
600274,100243,7,123,2022-06-11,,Original Assignment
600275,100244,1,102,2025-01-29,2026-03-04,Original Assignment
600276,100245,3,109,2022-02-09,,Original Assignment
600277,100246,9,129,2019-05-07,,Original Assignment
600278,100247,1,101,2023/03/22,,Original Assignment
600279,100248,10,133,2025-13-40,21-10-2024,Initial Hire
600280,100248,3,111,2024-10-22,,Department Transfer
600281,100249,7,125,2021-06-05,02/19/2023,Original Assignment
600282,100250,1,101,2014/09/01,2015-06-06,Original Assignment
600283,100251,3,110,2021-02-17,,Original Assignment
600284,100252,5,119,"Mar 21, 2021",,Original Assignment
600285,100253,2,106,2021-07-18,09/20/2023,Original Assignment
600286,100254,1,101,2019-11-10,,Original Assignment
600287,100255,10,133,2022-05-28,10-06-2025,Initial Hire
600288,100255,1,101,2025-06-11,2025-08-15,Manager Request
600289,100256,1,101,2020-10-31,,Original Assignment
600290,100257,1,103,2024-08-25,2025-09-20,Original Assignment
600291,100258,3,110,2023-09-10,,Original Assignment
600292,100259,1,101,2024-05-14,2026-04-01,Original Assignment
600293,100260,5,119,2018-11-10,,Original Assignment
600294,100261,5,117,2017-10-07,,Original Assignment
600295,100262,7,123,2026-01-10,,Original Assignment
600296,100263,2,107,10/13/2015,2019-04-25,Initial Hire
600297,100263,1,101,"Apr 26, 2019",2023-10-01,Career Growth
600298,100264,1,101,2014-02-19,,Original Assignment
600299,100265,1,101,2022-06-22,25-08-2025,Original Assignment
600300,100266,2,105,2024-12-24,,Original Assignment
600301,100267,1,101,2017-08-15,,Original Assignment
600302,100268,1,101,01/11/2025,,Original Assignment
600303,100269,3,109,2019-04-08,,Original Assignment
600304,100270,10,133,2015-04-14,,Original Assignment
600305,100271,2,108,"Oct 29, 2015",,Original Assignment
600306,100272,1,101,2016-01-03,,Original Assignment
600307,100273,1,101,2020-07-11,2023-05-05,Original Assignment
600308,100274,2,106,2021/03/07,,Original Assignment
600309,100275,5,118,2025-11-03,,Original Assignment
600310,100276,9,129,2017-10-10,2026-01-11,Original Assignment
600311,100277,3,112,07/08/2014,,Original Assignment
600312,100278,9,129,27-08-2018,2023-01-18,Original Assignment
600313,100279,3,109,2026-01-27,,Original Assignment
600314,100280,5,119,2018-04-28,,Original Assignment
600315,100281,5,118,22-10-2025,,Original Assignment
600316,100282,1,103,2019-12-31,,Original Assignment
600317,100283,7,123,"Jan 20, 2025",2026-03-05,Original Assignment
600318,100284,9,130,2021-12-04,,Original Assignment
600319,100285,2,106,03/06/2018,,Original Assignment
600320,100286,1,104,2014-11-26,,Original Assignment
600321,100287,3,111,2014-03-07,,Original Assignment
600322,100288,2,105,12-04-2017,2023-06-30,Original Assignment
600323,100289,2,107,2016-12-03,,Original Assignment
600324,100290,2,107,2018-04-20,,Original Assignment
600325,100291,2,105,2022-10-02,,Original Assignment
600326,100292,9,131,2022/04/12,2025-03-01,Original Assignment
600327,100292,2,107,2025-03-02,,Manager Request
600328,100293,1,101,"Jan 03, 2024",,Original Assignment
600329,100294,7,125,2016-06-20,,Original Assignment
600330,100295,1,101,2020-08-27,,Original Assignment
600331,100296,8,127,2020-10-06,28-08-2025,
600332,100296,4,115,2025-08-29,,Department Transfer
600333,100297,7,124,2024-10-17,2025-06-08,Initial Hire
600334,100297,5,118,2025-06-09,,Promotion
600335,100298,2,106,2017-02-15,,Original Assignment
600336,100299,3,110,2018-02-03,,Original Assignment
600337,100300,2,105,2019-02-06,18-02-2024,Original Assignment
600338,100301,1,101,"May 22, 2016",,Original Assignment
600339,100302,3,110,2016-04-07,,Original Assignment
600340,100303,1,101,2022-09-11,2023-10-05,Original Assignment
600341,100304,7,124,2023-03-05,,Original Assignment
600342,100305,1,102,06/05/2024,,Original Assignment
600343,100306,9,131,2014-07-07,12/30/2020,Original Assignment
600344,100307,3,110,03/23/2014,,Original Assignment
600345,100308,10,134,2018-04-15,2024-08-04,Original Assignment
600346,100309,10,132,2016/03/23,,Original Assignment
600347,100310,1,101,2020-05-12,2022-05-13,Original Assignment
600348,100311,3,112,2016-10-31,,Original Assignment
600349,100312,7,123,2022-06-25,2025-06-14,
600350,100312,6,122,2025-06-15,,Lateral Transfer
600351,100313,7,123,2024-02-11,2025-10-23,Original Assignment
600352,100314,2,106,2016-01-24,,Original Assignment
600353,100315,3,109,2015-06-11,,Original Assignment
600354,100316,3,109,2018-10-05,,Original Assignment
600355,100317,1,101,2023-01-13,,Original Assignment
600356,100318,1,103,2015-12-23,,Original Assignment
600357,100319,1,104,2025-11-01,,Original Assignment
600358,100320,4,113,2024-03-08,,Original Assignment
600359,100321,3,110,2021-12-13,2024-08-25,Original Assignment
600360,100322,2,106,2022-10-16,2025/04/08,Original Assignment
600361,100323,9,129,2014-03-21,05/20/2018,Initial Hire
600362,100323,3,112,2018-05-21,,Career Growth
600363,100324,1,101,2024-11-11,2025-06-29,Original Assignment
600364,100325,7,124,2021-09-13,,Original Assignment
600365,100326,4,114,2025-04-05,,Original Assignment
600366,100327,3,111,04-05-2023,,Original Assignment
600367,100328,2,106,2025-06-27,,Original Assignment
600368,100329,1,101,2017-06-21,06/02/2024,Initial Hire
600369,100329,2,107,06/03/2024,,Manager Request
600370,100330,7,123,2017-03-06,"Oct 11, 2023",Original Assignment
600371,100331,2,105,2025-10-11,,Original Assignment
600372,100332,1,101,"Mar 14, 2019",,Original Assignment
600373,100333,3,111,2025-01-06,,Original Assignment
600374,100334,7,124,03-02-2017,,Original Assignment
600375,100335,9,130,2024-07-25,2025-05-12,Original Assignment
600376,100336,3,111,2021-11-09,,Original Assignment
600377,100337,3,110,not available,2018-04-01,
600378,100337,1,101,2018-04-02,,Department Transfer
600379,100338,3,111,2018-08-14,,Original Assignment
600380,100339,5,119,2019-04-10,2020-11-17,Original Assignment
600381,100340,4,113,"Nov 21, 2019",2026-03-23,
600382,100340,7,123,2026-03-24,,Department Transfer
600383,100341,3,109,2021-07-28,,Original Assignment
600384,100342,1,101,2020/03/12,2021-07-28,Original Assignment
600385,100343,5,117,2015-08-08,10/21/2017,Initial Hire
600386,100343,4,115,2017-10-22,,Manager Request
600387,100344,2,105,2017-05-14,,Original Assignment
600388,100345,1,101,2022-02-12,,Original Assignment
600389,100346,1,103,"Sep 28, 2017",2022-11-15,Original Assignment
600390,100347,2,108,10/10/2023,,Original Assignment
600391,100348,9,129,01-01-2018,,Original Assignment
600392,100349,7,123,2026-01-24,,Original Assignment
600393,100350,4,113,03-07-2025,,Original Assignment
600394,100351,3,112,2014-01-27,2018-03-26,Original Assignment
600395,100352,4,115,2021-02-25,,Original Assignment
600396,100353,1,101,2023-03-12,2024/04/01,Original Assignment
600397,100354,6,122,2014-06-14,,Original Assignment
600398,100355,1,103,10/10/2022,11-11-2023,Original Assignment
600399,100356,2,105,2020-12-19,,Original Assignment
600400,100357,2,105,16-04-2019,,Original Assignment
600401,100358,1,102,2017-09-21,2020-12-22,Original Assignment
600402,100359,2,105,2019-01-26,,Original Assignment
600403,100360,1,101,08/14/2024,2025-07-13,Original Assignment
600404,100361,1,102,2019-08-15,2022-09-06,Original Assignment
600405,100361,5,119,2022-09-07,2025-08-09,Department Transfer
600406,100362,1,101,"Sep 04, 2019",,Original Assignment
600407,100363,4,113,2018-05-10,,Original Assignment
600408,100364,2,106,2014-01-27,,Original Assignment
600409,100365,6,120,2017-02-24,2026-01-10,Initial Hire
600410,100365,3,112,2026/01/11,,Lateral Transfer
600411,100366,1,101,2020-01-13,,Original Assignment
600412,100367,3,112,2024-03-28,,Original Assignment
600413,100368,1,103,"Feb 17, 2017",,Original Assignment
600414,100369,7,123,2022-06-10,,Original Assignment
600415,100370,1,101,03/19/2025,2026-03-02,Original Assignment
600416,100371,6,121,2023-06-23,,Original Assignment
600417,100372,7,124,22-09-2016,,Original Assignment
600418,100373,3,109,2025-09-28,,Original Assignment
600419,100374,2,106,2015-02-05,,Original Assignment
600420,100375,3,112,2021-05-17,,Original Assignment
600421,100376,4,116,2017-09-27,,Original Assignment
600422,100377,3,112,2021-02-16,,Original Assignment
600423,100378,3,110,2021-04-16,,Original Assignment
600424,100379,7,124,2016-06-29,,Original Assignment
600425,100380,8,127,2023-11-14,2025-05-04,Original Assignment
600426,100380,2,106,2025-05-05,2025-05-18,Promotion
600427,100381,5,118,2022-02-19,,Original Assignment
600428,100382,3,111,30-06-2017,,Original Assignment
600429,100383,4,115,2022-12-09,,Original Assignment
600430,100384,1,102,2015-05-14,,Original Assignment
600431,100385,3,110,2020-01-27,,Original Assignment
600432,100386,1,101,2018-02-05,,Original Assignment
600433,100387,2,107,2017-04-02,,Original Assignment
600434,100388,1,101,2020-02-23,,Original Assignment
600435,100389,3,111,2015-12-22,,Original Assignment
600436,100390,4,116,2016-09-03,,Original Assignment
600437,100391,6,122,2018-04-13,,Original Assignment
600438,100392,4,114,2024-04-07,,Original Assignment
600439,100393,7,124,2017-01-29,,Original Assignment
600440,100394,3,112,2019-09-23,,Original Assignment
600441,100395,6,120,2024-07-15,,Original Assignment
600442,100396,8,126,2017-03-28,,Original Assignment
600443,100397,1,102,2016-10-27,,Original Assignment
600444,100398,1,101,2015-01-29,12/25/2024,Original Assignment
600445,100398,7,123,2024-12-26,,Promotion
600446,100399,6,121,2021-09-05,2023-05-24,Original Assignment
600447,100400,3,111,2025-11-25,,Original Assignment
600448,100401,5,119,2019-08-21,,Original Assignment
600449,100402,1,102,2017-05-28,,Original Assignment
600450,100403,5,117,2020-07-12,2022-06-04,Original Assignment
600451,100403,1,101,2022-06-05,,Promotion
600452,100404,3,112,2022-06-06,,Original Assignment
600453,100405,1,101,01/20/2018,,Original Assignment
600454,100406,4,115,2016-01-11,,Original Assignment
600455,100407,7,123,2023-01-28,2025-03-04,Original Assignment
600456,100408,2,108,2018-04-24,,Original Assignment
600457,100409,3,109,09-01-2019,,Original Assignment
600458,100410,6,121,2020-10-31,30-12-2023,Initial Hire
600459,100410,2,106,2023-12-31,2024-02-22,Department Transfer
600460,100411,1,101,2021-09-13,2023-07-01,Original Assignment
600461,100412,1,101,2026-01-02,,Original Assignment
600462,100413,6,121,2022-09-21,2025-02-25,
600463,100413,7,123,2025-02-26,,Career Growth
600464,100414,2,106,2018-06-11,,Original Assignment
600465,100415,6,122,2023-09-24,,Original Assignment
600466,100416,10,133,2023-01-06,2026-01-20,Initial Hire
600467,100416,1,102,2026-01-21,,Lateral Transfer
600468,100417,1,101,2024/12/16,2025-10-20,Original Assignment
600469,100418,6,120,"Apr 18, 2025",,Original Assignment
600470,100419,1,101,"Apr 10, 2015",,Original Assignment
600471,100420,5,119,2019/05/01,,Original Assignment
600472,100421,1,101,2021-12-01,,Original Assignment
600473,100422,1,103,2015/02/21,,Original Assignment
600474,100423,6,121,2016-03-06,2017-03-29,
600475,100423,7,123,2017-03-30,,Manager Request
600476,100424,10,134,08/06/2019,2021-06-01,Original Assignment
600477,100425,3,109,"Mar 12, 2021",2024-11-14,Initial Hire
600478,100425,2,106,2024-11-15,,Manager Request
600479,100426,6,120,2014-03-29,,Original Assignment
600480,100427,7,123,"Nov 18, 2016",,Original Assignment
600481,100428,3,110,2014-02-01,,Original Assignment
600482,100429,6,120,2021-03-17,,Original Assignment
600483,100430,3,111,02/21/2021,,Original Assignment
600484,100431,7,123,2014-07-20,,Original Assignment
600485,100432,5,119,04/02/2021,,Original Assignment
600486,100433,4,116,04-01-2021,,Original Assignment
600487,100434,3,110,2015-07-03,,Original Assignment
600488,100435,2,105,2018-05-16,2023-11-02,
600489,100435,3,111,2023-11-03,,Career Growth
600490,100436,2,106,2016-11-18,,Original Assignment
600491,100437,6,121,"Jan 23, 2016",,Original Assignment
600492,100438,9,129,2019-03-21,13-10-2023,Original Assignment
600493,100439,1,101,2021-07-03,,Original Assignment
600494,100440,7,124,2018-01-22,,Original Assignment
600495,100441,6,121,06/29/2023,,Original Assignment
600496,100442,6,120,2015-06-03,"Mar 18, 2021",Original Assignment
600497,100443,1,101,2019-03-12,2021-07-07,Initial Hire
600498,100443,5,119,07/08/2021,,Promotion
600499,100444,4,116,"Jan 17, 2022",,Original Assignment
600500,100445,6,122,2017-09-11,,Original Assignment
600501,100446,3,109,2018-09-11,2021-06-06,Original Assignment
600502,100447,10,134,2022-08-10,2024-12-04,
600503,100447,6,120,2024-12-05,,Promotion
600504,100448,1,102,02/17/2016,,Original Assignment
600505,100449,2,106,2014/02/16,,Original Assignment
600506,100450,1,101,2023/06/22,,Original Assignment
600507,100451,1,103,"Apr 10, 2014",19-08-2025,Original Assignment
600508,100452,1,103,2023-09-08,,Original Assignment
600509,100453,1,101,2022-04-16,,Original Assignment
600510,100454,3,111,2019-05-16,,Original Assignment
600511,100455,1,101,2021-07-26,,Original Assignment
600512,100456,2,106,05-09-2022,2024-07-29,Original Assignment
600513,100457,1,101,2022-08-06,,Original Assignment
600514,100458,1,101,2022-07-12,,Original Assignment
600515,100459,4,113,23-06-2019,,Original Assignment
600516,100460,6,121,2017-07-24,2019-09-28,Original Assignment
600517,100460,1,101,2019-09-29,2020-08-20,Career Growth
600518,100461,3,111,2024-05-17,2025-07-18,Original Assignment
600519,100462,7,125,2014-01-05,2015-03-14,Original Assignment
600520,100462,2,108,2015-03-15,,Manager Request
