attendance_id,employee_id,attendance_date,scheduled_hours,worked_hours,absence_flag,absence_type,late_minutes
800135,100006,20-04-2026,8.0,0.0,TRUE,UNKNOWN,0
800136,100006,2026-04-21,8.0,7.9,N,,15
800137,100006,2026-04-22,8.0,6.8,FALSE,,0
800138,100006,"Apr 24, 2026",8.0,0.0,TRUE,UNKNOWN,0
800139,100006,"Apr 29, 2026",8.0,8.7,No,,0
800140,100006,04/30/2026,8.0,7.2,N,,0
800141,100008,2025-09-03,8.0,8.8,N,,0
800142,100008,2025-09-17,8.0,7.6,N,,0
800143,100008,2025-09-25,8.0,7.8,No,,0
800144,100008,29-09-2025,8.0,7.7,No,,10
800145,100008,01-10-2025,8.0,7.6,No,,0
800146,100008,2025-10-03,9.0,8.4,N,,0
800147,100008,2025-10-09,8.0,8.3,0,,0
800148,100008,2025-10-20,8.0,8.1,0,,15
800149,100008,2025-10-21,9.0,8.8,FALSE,,0
800150,100008,23-10-2025,7.5,7.6,FALSE,,15
800151,100008,29-10-2025,8.0,7.8,0,,0
800152,100008,10/30/2025,8.0,7.7,No,,10
800153,100008,2025-11-06,8.0,7.5,No,,0
800154,100008,2025-11-18,7.5,8.3,0,,0
800155,100008,2025-11-24,8.0,7.6,FALSE,,0
800156,100008,2025-11-25,9.0,8.5,N,,0
800157,100008,2025-12-05,8.0,8.0,FALSE,,0
800158,100008,"Dec 12, 2025",9.0,9.4,FALSE,,0
800159,100008,2025-12-15,8.0,7.7,N,,0
800160,100008,2025-12-16,7.5,7.0,0,,0
800161,100008,18-12-2025,8.0,8.6,No,,0
800162,100008,2025-12-24,9.0,0.0,1,UNKNOWN,0
800163,100008,2026-01-14,8.0,8.0,No,,10
800164,100008,2026-02-09,8.0,7.6,No,,5
800165,100008,2026-02-10,9.0,9.4,FALSE,,5
800166,100008,"Feb 11, 2026",8.0,8.3,FALSE,,45
800167,100008,2026-02-17,8.0,0.0,TRUE,,0
800168,100008,2026-02-19,8.0,8.7,N,,30
800169,100008,2026-04-02,8.0,7.9,No,,60
800170,100008,2026-04-13,8.0,9.2,N,,0
800171,100008,2026-04-20,8.0,7.7,0,,5
800172,100008,2026-04-21,7.5,7.9,No,,0
800173,100008,2026-04-22,8.0,7.8,0,,5
800174,100008,2026-04-24,9.0,8.8,0,,0
800175,100008,04/29/2026,8.0,8.4,FALSE,,0
800176,100008,2026-04-30,8.0,7.3,N,,15
800177,100009,2025-09-03,8.0,7.5,N,,0
800178,100009,"Sep 17, 2025",8.0,7.3,0,,0
800179,100009,09/25/2025,7.5,6.8,0,,0
800180,100009,2025-09-29,7.5,7.4,0,,0
800181,100009,10/01/2025,9.0,9.9,0,,5
800182,100009,2025-10-03,9.0,8.9,0,,5
800183,100009,2025-10-09,8.0,8.3,0,,0
800184,100009,"Oct 20, 2025",8.0,7.7,FALSE,,0
800185,100009,2025-10-21,8.0,7.9,0,,0
800186,100009,2025-10-23,8.0,7.3,No,,0
800187,100009,2025-10-29,8.0,0.0,1,Personal Leave,0
800188,100009,2025-10-30,7.5,7.6,No,,0
800189,100009,2025-11-06,8.0,0.0,1,,0
800190,100009,2025-11-18,7.5,7.8,FALSE,,0
800191,100009,2025-11-24,8.0,8.0,0,,0
800192,100009,25-11-2025,7.5,7.7,No,,0
800193,100009,2025-12-05,8.0,7.3,No,,0
800194,100009,"Dec 12, 2025",8.0,7.7,No,,0
800195,100009,2025-12-15,8.0,7.5,0,,0
800196,100009,2025-12-16,9.0,9.3,FALSE,,5
800197,100009,2025-12-18,8.0,8.5,0,,0
800198,100009,2025-12-24,8.0,8.6,0,,45
800199,100009,2026-01-14,8.0,7.7,No,,0
800200,100009,09-02-2026,7.5,6.7,FALSE,,5
800201,100009,2026/02/10,8.0,20.0,No,,0
800202,100009,2026-02-11,8.0,7.6,N,,5
800203,100009,02/17/2026,8.0,7.6,FALSE,,0
800204,100009,2026/02/19,8.0,7.7,0,,0
800205,100009,2026/04/02,8.0,7.2,FALSE,,5
800206,100009,2026-04-13,9.0,7.9,FALSE,,15
800207,100009,2026-04-20,7.5,7.3,0,,0
800208,100009,2026-04-21,9.0,9.5,No,,0
800209,100009,2026-04-22,8.0,8.0,FALSE,,0
800210,100009,2026-04-24,7.5,7.2,FALSE,,0
800211,100009,29-04-2026,7.5,7.1,0,,5
800212,100009,2026-04-30,9.0,0.0,Yes,sick,0
800213,100010,2025-09-03,8.0,8.0,No,,0
800214,100010,2025/09/17,8.0,8.5,N,,10
800215,100010,25-09-2025,9.0,8.9,FALSE,,0
800216,100010,2025-09-29,8.0,8.0,0,,0
800217,100010,2025-10-01,8.0,0.0,Y,,0
800218,100010,2025-10-03,8.0,8.0,No,,10
800219,100010,09-10-2025,9.0,8.6,N,,0
800220,100010,2025-10-20,8.0,7.0,No,,0
800221,100010,2025-10-21,8.0,7.3,N,,0
800222,100010,2025-10-23,8.0,8.9,0,,0
800223,100010,2025-10-29,8.0,7.0,No,,0
800224,100010,"Oct 30, 2025",8.0,9.0,FALSE,,0
800225,100010,2025-11-06,7.5,7.7,No,,5
800226,100010,2025-11-18,8.0,8.8,N,,0
800227,100010,2025-11-24,8.0,0.0,TRUE,,0
800228,100010,2025-11-25,9.0,8.5,N,,0
800229,100010,2025-12-05,8.0,8.2,N,,0
800230,100010,2025-12-12,8.0,7.4,0,,0
800231,100010,2025-12-15,8.0,7.4,FALSE,,0
800232,100010,16-12-2025,7.5,7.9,No,,0
800233,100010,2025-12-18,9.0,9.3,FALSE,,0
800234,100010,12/24/2025,8.0,8.7,0,,0
800235,100010,2026-01-14,8.0,9.0,FALSE,,0
800236,100010,09-02-2026,8.0,8.3,No,,0
800237,100010,2026-02-10,9.0,8.4,0,,0
800238,100010,2026-02-11,8.0,8.1,N,,0
800239,100010,2026-02-17,8.0,8.8,N,,0
800240,100010,2026/02/19,8.0,7.4,N,,0
800241,100010,2026-04-02,9.0,9.1,0,,0
800242,100010,2026-04-13,7.5,7.3,No,,45
800243,100010,2026-04-20,8.0,7.9,N,,0
800244,100010,2026-04-21,9.0,9.6,No,,0
800245,100010,2026-04-22,9.0,9.1,N,,30
800246,100010,2026-04-24,8.0,9.4,0,,0
800247,100010,2026-04-29,7.5,7.5,N,,10
800248,100010,2026-04-30,7.5,0.0,TRUE,Unpaid Leave,0
800249,100011,09/03/2025,9.0,9.3,N,,0
800250,100011,2025-09-17,9.0,9.1,N,,0
800251,100011,2025-09-25,8.0,8.3,No,,0
800252,100011,"Sep 29, 2025",8.0,8.7,N,,0
800253,100011,2025-10-01,8.0,8.8,No,,0
800254,100011,2025-10-03,8.0,7.9,No,,0
800255,100011,2025-10-09,8.0,8.0,FALSE,,0
800256,100011,2025/10/20,8.0,8.0,0,,0
800257,100011,2025-10-21,8.0,8.9,No,,0
800258,100011,2025-10-23,8.0,8.3,FALSE,,0
800259,100011,10/29/2025,8.0,7.9,FALSE,,5
800260,100011,2025-10-30,8.0,8.0,FALSE,,0
800261,100011,06-11-2025,8.0,0.0,1,Personal Leave,0
800262,100011,2025-11-18,9.0,9.8,0,,0
800263,100011,2025-11-24,8.0,8.0,FALSE,,60
800264,100011,25-11-2025,8.0,8.1,0,,15
800265,100011,2025-12-05,7.5,7.6,N,,0
800266,100011,2025-12-12,8.0,8.8,0,,0
800267,100011,12/15/2025,8.0,8.1,No,,15
800268,100011,2025-12-16,8.0,7.3,No,,0
800269,100011,2025-12-18,9.0,9.0,N,,0
800270,100011,2025-12-24,9.0,10.0,No,,0
800271,100011,2026-01-14,8.0,8.4,N,,0
800272,100011,2026-02-09,8.0,7.4,FALSE,,0
800273,100011,2026-02-10,8.0,8.0,0,,0
800274,100011,02/11/2026,9.0,8.3,No,,0
800275,100011,2026-02-17,9.0,10.0,0,,0
800276,100011,2026-02-19,7.5,8.0,N,,0
800277,100011,2026-04-02,7.5,7.2,N,,10
800278,100011,2026-04-13,8.0,8.4,No,,0
800279,100011,"Apr 20, 2026",8.0,8.4,N,,0
800280,100011,2026-04-21,7.5,7.1,FALSE,,60
800281,100011,2026-04-22,7.5,0.0,Yes,Unpaid Leave,0
800282,100011,2026-04-24,9.0,8.9,FALSE,,60
800283,100011,2026-04-29,9.0,9.4,N,,0
800284,100011,2026-04-30,7.5,6.8,0,,0
800285,100012,2025-09-03,8.0,8.2,FALSE,,0
800286,100012,09/17/2025,8.0,8.3,FALSE,,0
800287,100012,2025/09/25,7.5,7.0,No,,10
800288,100012,2025-09-29,7.5,7.8,0,,5
800289,100012,2025-10-01,8.0,7.7,No,,0
800290,100012,03-10-2025,7.5,7.0,FALSE,,10
800291,100012,2025-10-09,8.0,7.8,FALSE,,0
800292,100012,10/20/2025,9.0,8.8,0,,0
800293,100012,2025-10-21,8.0,8.2,N,,0
800294,100012,2025-10-23,8.0,8.0,No,,0
800295,100012,2025-10-29,9.0,7.8,N,,0
800296,100012,2025-10-30,7.5,7.7,N,,0
800297,100012,11/06/2025,8.0,8.4,FALSE,,15
800298,100012,2025-11-18,8.0,7.7,0,,5
800299,100012,2025-11-24,8.0,7.8,No,,0
800300,100012,2025-11-25,8.0,8.3,No,,0
800301,100012,2025-12-05,7.5,7.4,N,,0
800302,100012,"Dec 12, 2025",8.0,8.4,N,,0
800303,100012,2025-12-15,9.0,9.1,N,,10
800304,100012,2025-12-16,8.0,7.7,N,,30
800305,100012,"Dec 18, 2025",7.5,7.8,FALSE,,0
800306,100012,24-12-2025,7.5,7.0,0,,0
800307,100012,2026-01-14,9.0,8.5,0,,10
800308,100012,not available,8.0,8.0,No,,0
800309,100012,10-02-2026,8.0,8.3,0,,0
800310,100012,2026-02-11,8.0,8.8,FALSE,,0
800311,100012,02/17/2026,8.0,8.3,No,,0
800312,100012,2026-02-19,7.5,8.5,N,,0
800313,100012,2026-04-02,7.5,7.6,0,,0
800314,100012,2026-04-13,8.0,8.0,0,,0
800315,100012,2026-04-20,9.0,9.2,N,,5
800316,100012,04/21/2026,9.0,8.7,No,,0
800317,100012,2026-04-22,8.0,9.5,No,,0
800318,100012,2026-04-24,8.0,8.0,FALSE,,0
800319,100012,04/29/2026,7.5,7.5,N,,0
800320,100012,"Apr 30, 2026",8.0,7.3,No,,0
800321,100013,2025-09-03,8.0,7.3,N,,0
800322,100013,2025-09-17,7.5,7.4,No,,0
800323,100013,2025-09-25,8.0,7.9,FALSE,,0
800324,100013,2025-09-29,8.0,8.4,FALSE,,0
800325,100013,10/01/2025,8.0,8.1,0,,10
800326,100013,03-10-2025,8.0,7.1,N,,30
800327,100013,2025-10-09,7.5,7.8,0,,5
800328,100013,10/20/2025,8.0,8.2,FALSE,,0
800329,100013,2025-10-21,9.0,9.0,FALSE,,0
800330,100013,2025/10/23,7.5,7.5,N,,30
800331,100013,2025-10-29,8.0,8.4,0,,0
800332,100013,2025-10-30,7.5,6.1,N,,0
800333,100013,2025-11-06,9.0,9.2,No,,5
800334,100013,"Nov 18, 2025",9.0,7.9,N,,0
800335,100013,2025-11-24,8.0,8.4,N,,15
800336,100013,2025-11-25,8.0,7.0,No,,0
800337,100013,12/05/2025,7.5,7.9,0,,45
800338,100013,2025-12-12,9.0,9.3,No,,30
800339,100013,2025-12-15,8.0,8.4,0,,0
800340,100013,2025-12-16,8.0,8.6,No,,5
800341,100013,18-12-2025,8.0,8.5,0,,0
800342,100013,2025-12-24,7.5,0.0,Y,Personal,0
800343,100013,2026-01-14,8.0,7.0,0,,0
800344,100013,2026-02-09,8.0,8.7,No,,0
800345,100013,2026-02-10,9.0,9.4,N,,0
800346,100013,2026/02/11,8.0,7.5,N,,0
800347,100013,17-02-2026,9.0,10.6,N,,0
800348,100013,2026-02-19,8.0,7.4,0,,0
800349,100013,02-04-2026,8.0,6.8,N,,0
800350,100013,13-04-2026,8.0,8.0,FALSE,,0
800351,100013,2026-04-20,8.0,8.2,No,,15
800352,100013,21-04-2026,8.0,7.5,N,,0
800353,100013,2026-04-22,8.0,8.2,No,,0
800354,100013,31/31/2024,8.0,7.7,FALSE,,0
800355,100013,2026-04-29,8.0,9.0,FALSE,,0
800356,100013,2026-04-30,8.0,8.1,FALSE,,0
800357,100014,2025/09/03,8.0,8.5,N,,0
800358,100014,"Sep 17, 2025",9.0,8.9,0,,0
800359,100014,2025-09-25,8.0,8.0,N,,0
800360,100014,2025-09-29,9.0,9.1,N,,0
800361,100014,2025-10-01,8.0,8.8,No,,60
800362,100014,2025-10-03,8.0,7.5,N,,0
800363,100014,2025-10-09,8.0,8.3,No,,0
800364,100014,2025-10-20,7.5,7.5,FALSE,,15
800365,100014,2025-10-21,7.5,8.6,0,,10
800366,100014,2025-10-23,9.0,9.9,0,,0
800367,100014,2025-10-29,7.5,7.0,FALSE,,0
800368,100014,2025-10-30,8.0,8.0,N,,0
800369,100014,"Nov 06, 2025",8.0,8.3,0,,0
800370,100014,2025-11-18,8.0,8.0,0,,5
800371,100014,2025-11-24,9.0,7.8,No,,0
800372,100014,2025-11-25,9.0,8.9,0,,60
800373,100014,2025-12-05,8.0,8.4,FALSE,,0
800374,100014,2025-12-12,8.0,8.3,0,,5
800375,100014,12/15/2025,9.0,8.7,N,,0
800376,100014,2025-12-16,8.0,8.3,No,,0
800377,100014,2025-12-18,7.5,7.7,FALSE,,0
800378,100014,2025-12-24,7.5,8.3,N,,5
800379,100014,14-01-2026,8.0,7.5,0,,0
800380,100014,2026-02-09,8.0,8.2,No,,0
800381,100014,2026-02-10,7.5,7.1,FALSE,,0
800382,100014,11-02-2026,8.0,8.0,N,,10
800383,100014,2026-02-17,9.0,9.2,FALSE,,0
800384,100014,02/19/2026,7.5,7.5,No,,0
800385,100014,2026-04-02,8.0,8.7,FALSE,,30
800386,100014,2026-04-13,8.0,7.1,0,,0
800387,100014,2026/04/20,8.0,7.8,No,,0
800388,100014,2026/04/21,8.0,8.8,0,,0
800389,100014,2026-04-22,8.0,8.6,N,,0
800390,100014,2026-04-24,8.0,8.0,No,,0
800391,100014,2026-04-29,7.5,7.1,No,,60
800392,100014,2026-04-30,9.0,8.9,No,,0
800393,100016,2025-09-03,7.5,8.3,0,,0
800394,100016,2025-09-17,8.0,8.2,N,,0
800395,100016,2025-09-25,9.0,8.6,N,,10
800396,100016,2025-09-29,7.5,8.0,0,,0
800397,100016,2025-10-01,8.0,7.9,FALSE,,0
800398,100016,2025-10-03,9.0,8.7,N,,0
800399,100016,2025-10-09,8.0,7.6,FALSE,,60
800400,100016,2025-10-20,8.0,8.3,FALSE,,0
800401,100016,2025-10-21,9.0,9.1,N,,15
800402,100016,23-10-2025,8.0,8.2,No,,10
800403,100016,2025-10-29,8.0,7.2,N,,0
800404,100016,2025-10-30,7.5,7.7,0,,0
800405,100016,2025-11-06,8.0,7.5,FALSE,,0
800406,100016,11/18/2025,7.5,7.3,No,,0
800407,100016,2025-11-24,8.0,7.8,FALSE,,15
800408,100016,2025-11-25,8.0,8.0,N,,0
800409,100016,2025-12-05,8.0,8.4,0,,0
800410,100016,2025-12-12,8.0,7.8,FALSE,,0
800411,100016,2025-12-15,8.0,7.2,FALSE,,60
800412,100016,2025-12-16,9.0,8.7,0,,0
800413,100016,2025-12-18,8.0,8.1,N,,0
800414,100016,2025-12-24,7.5,7.8,N,,0
800415,100016,2026-01-14,7.5,7.0,FALSE,,0
800416,100016,2026-02-09,8.0,7.5,0,,0
800417,100016,2026-02-10,9.0,10.2,0,,0
800418,100016,2026-02-11,8.0,8.1,N,,5
800419,100016,2026-02-17,8.0,8.5,N,,0
800420,100016,2026-02-19,7.5,7.1,FALSE,,5
800421,100016,2026-04-02,9.0,10.0,N,,0
800422,100016,04/13/2026,8.0,7.4,0,,0
800423,100016,2026-04-20,9.0,9.5,N,,30
800424,100016,2026-04-21,8.0,8.7,No,,0
800425,100016,2026/04/22,7.5,7.6,N,,0
800426,100016,24-04-2026,7.5,7.6,0,,45
800427,100016,2026-04-29,8.0,7.9,FALSE,,0
800428,100016,04/30/2026,8.0,8.6,0,,0
800429,100017,09/03/2025,8.0,7.4,N,,0
800430,100017,2025-09-17,8.0,8.4,N,,15
800431,100017,2025-09-25,7.5,8.3,No,,0
800432,100017,29-09-2025,8.0,7.5,0,,30
800433,100017,2025-10-01,7.5,8.7,FALSE,,0
800434,100017,2025/10/03,7.5,7.1,0,,0
800435,100017,2025-10-09,8.0,8.1,No,,15
800436,100017,20-10-2025,8.0,7.5,No,,0
800437,100017,2025-10-21,8.0,8.6,N,,30
800438,100017,2025-10-23,9.0,9.1,FALSE,,0
800439,100017,2025-10-29,8.0,7.9,0,,0
800440,100017,30-10-2025,8.0,8.1,No,,0
800441,100017,06-11-2025,8.0,8.8,N,,10
800442,100017,2025-11-18,8.0,7.8,FALSE,,0
800443,100017,2025-11-24,8.0,8.1,0,,10
800444,100017,2025-11-25,8.0,7.8,No,,0
800445,100017,2025-12-05,8.0,8.2,N,,0
800446,100017,12/12/2025,9.0,8.6,No,,0
800447,100017,2025-12-15,7.5,7.2,0,,30
800448,100017,2025-12-16,8.0,7.4,FALSE,,0
800449,100017,2025-12-18,9.0,8.4,No,,0
800450,100017,2025-12-24,8.0,6.8,No,,5
800451,100017,2026-01-14,9.0,8.3,0,,0
800452,100017,2026-02-09,9.0,10.0,FALSE,,0
800453,100017,02/10/2026,7.5,7.8,FALSE,,0
800454,100017,2026-02-11,9.0,9.5,N,,15
800455,100017,2026-02-17,8.0,7.6,FALSE,,0
800456,100017,2026-02-19,8.0,8.2,FALSE,,0
800457,100017,"Apr 02, 2026",8.0,8.8,No,,15
800458,100017,2026-04-13,7.5,7.5,N,,0
800459,100017,04/20/2026,7.5,8.6,No,,0
800460,100017,2026-04-21,9.0,9.0,No,,0
800461,100017,2026-04-22,8.0,7.8,N,,30
800462,100017,2026-04-24,8.0,8.3,0,,0
800463,100017,2026-04-29,8.0,8.3,N,,15
800464,100017,2026-04-30,8.0,7.8,0,,10
800465,100020,09/03/2025,8.0,8.0,No,,15
800466,100020,17-09-2025,8.0,8.5,No,,0
800467,100020,2025-09-25,7.5,7.3,FALSE,,10
800468,100020,09/29/2025,8.0,7.9,0,,0
800469,100020,2025-10-01,9.0,8.0,FALSE,,15
800470,100020,2025-10-03,7.5,8.8,No,,0
800471,100020,2025-10-09,9.0,9.3,No,,0
800472,100020,2025-10-20,8.0,8.1,No,,0
800473,100020,21-10-2025,8.0,7.8,0,,0
800474,100020,23-10-2025,8.0,9.1,0,,0
800475,100020,29-10-2025,8.0,7.8,N,,0
800476,100020,2025-10-30,8.0,8.3,N,,0
800477,100020,2025-11-06,8.0,7.8,N,,0
800478,100020,2025-11-18,8.0,7.9,FALSE,,0
800479,100020,24-11-2025,8.0,7.8,No,,0
800480,100020,2025-11-25,9.0,9.0,0,,45
800481,100020,2025-12-05,8.0,9.0,0,,0
800482,100020,2025-12-12,8.0,8.7,N,,15
800483,100020,2025-12-15,9.0,10.0,N,,30
800484,100020,2025-12-16,8.0,7.6,N,,0
800485,100020,18-12-2025,7.5,7.1,0,,0
800486,100020,12/24/2025,8.0,7.5,0,,0
800487,100020,"Jan 14, 2026",9.0,7.9,No,,0
800488,100020,2026-02-09,8.0,6.9,FALSE,,45
800489,100020,2026-02-10,8.0,8.3,N,,0
800490,100020,02/11/2026,8.0,7.7,0,,0
800491,100020,02/17/2026,9.0,8.2,No,,0
800492,100020,02/19/2026,7.5,7.8,N,,45
800493,100020,2026-04-02,8.0,7.8,0,,0
800494,100020,2026-04-13,9.0,8.9,N,,0
800495,100021,2025-09-03,8.0,8.0,N,,0
800496,100021,2025-09-17,8.0,8.1,FALSE,,15
800497,100021,2025-09-25,8.0,7.6,0,,0
800498,100021,2025-09-29,9.0,9.4,N,,30
800499,100021,01-10-2025,9.0,9.0,0,,0
800500,100021,2025/10/03,8.0,7.7,N,,10
800501,100021,2025-10-09,8.0,7.4,0,,5
800502,100021,2025-10-20,8.0,7.3,0,,0
800503,100021,2025-10-21,9.0,8.9,N,,0
800504,100021,10/23/2025,7.5,0.0,TRUE,Personal Leave,0
800505,100021,2025-10-29,7.5,7.3,No,,0
800506,100021,2025-10-30,8.0,8.2,0,,5
800507,100021,11/06/2025,8.0,7.6,N,,0
800508,100021,11/18/2025,8.0,8.0,0,,15
800509,100021,24-11-2025,8.0,8.2,0,,5
800510,100021,2025-11-25,8.0,8.8,No,,0
800511,100021,12/05/2025,9.0,10.3,N,,0
800512,100021,2025-12-12,8.0,8.6,FALSE,,30
